dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
1,t0.iso_country str EQUAL t1.iso_country str AND t0.scheduled_service str UNEQUAL t1.scheduled_service str,2,99068,13786,0,0.635541125724052,0.38554112572405197
2,t0.iata_code str UNEQUAL t1.iata_code str AND t0.wikipedia_link str EQUAL t1.wikipedia_link str AND t0.iso_country str EQUAL t1.iso_country str,3,1307,0,-1,0.0,0.0
3,t0.iso_country str EQUAL t1.iso_country str AND t0.municipality str EQUAL t1.municipality str,2,79985,0,-1,0.0,0.0
4,t0.ident str EQUAL t1.ident str,1,100000,0,-1,0.0,0.0
5,t0.municipality str EQUAL t1.municipality str AND t0.id str LESS_EQUAL t1.id str,2,80471,0,-1,0.0,0.0
6,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.longitude_deg float LESS_EQUAL t1.longitude_deg float,2,76356,0,-1,0.0,0.0
7,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.id str LESS_EQUAL t1.id str,2,76356,0,-1,0.0,0.0
8,t0.gps_code str EQUAL t1.gps_code str AND t0.home_link str UNEQUAL t1.home_link str,2,186,0,-1,0.0,0.0
9,t0.municipality str EQUAL t1.municipality str AND t0.wikipedia_link str UNEQUAL t1.wikipedia_link str,2,2788,0,-1,0.0,0.0
10,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.local_code str UNEQUAL t1.local_code str,2,26420,0,-1,0.0,0.0
11,t0.longitude_deg float EQUAL t1.longitude_deg float,1,100000,0,-1,0.0,0.0
12,t0.wikipedia_link str EQUAL t1.wikipedia_link str AND t0.iso_country str EQUAL t1.iso_country str AND t0.home_link str UNEQUAL t1.home_link str,3,144,0,-1,0.0,0.0
13,t0.wikipedia_link str EQUAL t1.wikipedia_link str AND t0.continent str EQUAL t1.continent str AND t0.home_link str UNEQUAL t1.home_link str,3,40,0,-1,0.0,0.0
14,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.scheduled_service str UNEQUAL t1.scheduled_service str,2,76356,0,-1,0.0,0.0
15,t0.type str EQUAL t1.type str AND t0.scheduled_service str UNEQUAL t1.scheduled_service str AND t0.keywords str UNEQUAL t1.keywords str,3,2884,630,0,0.40365309304491614,0.15365309304491614
