dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
1,t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
2,t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.Carrier String EQUAL t1.Carrier String,3,100000,0,-1,0.0,0.0
3,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int,3,100000,0,-1,0.0,0.0
4,t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.OriginStateFips int GREATER_EQUAL t1.OriginStateFips int,3,100000,0,-1,0.0,0.0
5,t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
6,t0.DayOfWeek int EQUAL t1.DayOfWeek int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.AirlineID int EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
7,t0.OriginWac int UNEQUAL t1.OriginWac int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int,2,100000,94152,1,0.9994982645017494,0.7494982645017494
8,t0.OriginStateFips int UNEQUAL t1.OriginStateFips int AND t0.OriginWac int EQUAL t1.OriginWac int,2,100000,94152,1,0.9994982645017494,0.7494982645017494
9,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginAirportID int GREATER t1.OriginAirportID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
10,t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,25003,2,0.34321637445905584,0.09321637445905584
11,t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.DayOfWeek int EQUAL t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
12,t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
