method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cells
del2ph,airport,home_link,0.008858442306518555,0.0,0.000965118408203125,0.0017251968383789062,0.22337399647872114,0.22337399647872114,-0.6400406631453878,1,4,4356,6
del2ph,airport,home_link,0.0017330646514892578,0.0,3.790855407714844e-05,0.0016951560974121094,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,4356,6
del2ph,airport,home_link,0.001676321029663086,0.0,2.9325485229492188e-05,0.0016469955444335938,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.001337289810180664,0.0,2.5987625122070312e-05,0.0013113021850585938,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,4356,6
del2ph,airport,home_link,0.0014951229095458984,0.0,2.6226043701171875e-05,0.0014688968658447266,0.22337399647872114,0.22337399647872114,-0.47337399647872114,1,3,4356,6
del2ph,airport,home_link,0.0015411376953125,0.0,2.5272369384765625e-05,0.0015158653259277344,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0016548633575439453,0.0,2.384185791015625e-05,0.001631021499633789,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.002249002456665039,0.0,3.910064697265625e-05,0.002209901809692383,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.0016617774963378906,0.0,2.8848648071289062e-05,0.0016329288482666016,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0015411376953125,0.0,4.506111145019531e-05,0.0014960765838623047,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0015323162078857422,0.0,3.409385681152344e-05,0.0014982223510742188,0.013132038880604324,0.22337399647872114,-0.2631320388806043,2,3,4356,6
del2ph,airport,home_link,0.001667022705078125,0.0,2.6941299438476562e-05,0.0016400814056396484,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.001622915267944336,0.0,2.384185791015625e-05,0.0015990734100341797,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.0014946460723876953,0.0,2.574920654296875e-05,0.0014688968658447266,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0014009475708007812,0.0,2.288818359375e-05,0.0013780593872070312,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.0017650127410888672,0.0,4.506111145019531e-05,0.0017199516296386719,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.001589059829711914,0.0,3.886222839355469e-05,0.0015501976013183594,0.003306804705818678,0.22337399647872114,-0.586640138039152,4,5,4356,6
del2ph,airport,home_link,0.0017740726470947266,0.0,4.124641418457031e-05,0.0017328262329101562,0.003306804705818678,0.22337399647872114,-0.4199734713724853,2,4,4356,6
del2ph,airport,home_link,0.0014500617980957031,0.0,2.6941299438476562e-05,0.0014231204986572266,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0014917850494384766,0.0,2.384185791015625e-05,0.0014679431915283203,0.003306804705818678,0.22337399647872114,-0.586640138039152,4,5,4356,6
del2ph,airport,home_link,0.0014927387237548828,0.0,3.2901763916015625e-05,0.0014598369598388672,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0015370845794677734,0.0,2.7179718017578125e-05,0.0015099048614501953,0.0,0.22337399647872114,-0.75,-1,6,4356,6
del2ph,airport,home_link,0.0015368461608886719,0.0,3.1948089599609375e-05,0.0015048980712890625,0.013132038880604324,0.22337399647872114,-0.2631320388806043,2,3,4356,6
del2ph,airport,home_link,0.0017380714416503906,0.0,4.410743713378906e-05,0.0016939640045166016,0.05853885744745513,0.22337399647872114,-0.47520552411412176,6,4,4356,6
del2ph,airport,home_link,0.0016338825225830078,0.0,2.4080276489257812e-05,0.00160980224609375,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0014259815216064453,0.0,2.3126602172851562e-05,0.0014028549194335938,0.013132038880604324,0.22337399647872114,-0.09646537221393764,1,2,4356,6
del2ph,airport,home_link,0.0014603137969970703,0.0,2.3126602172851562e-05,0.0014371871948242188,0.05010955345870127,0.22337399647872114,-0.3001095534587013,3,3,4356,6
del2ph,airport,home_link,0.0014393329620361328,0.0,2.6226043701171875e-05,0.001413106918334961,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.0017049312591552734,0.0,2.4080276489257812e-05,0.0016808509826660156,0.05010955345870127,0.22337399647872114,-0.3001095534587013,3,3,4356,6
del2ph,airport,home_link,0.001474142074584961,0.0,2.3126602172851562e-05,0.0014510154724121094,0.008222647309668152,0.22337399647872114,-0.25822264730966815,2,3,4356,6
del2ph,airport,home_link,0.0014142990112304688,0.0,2.3126602172851562e-05,0.0013911724090576172,0.05010955345870127,0.22337399647872114,-0.1334428867920346,2,2,4356,6
del2ph,airport,home_link,0.0016012191772460938,0.0,2.2172927856445312e-05,0.0015790462493896484,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0016789436340332031,0.0,3.886222839355469e-05,0.0016400814056396484,0.05010955345870127,0.22337399647872114,-0.3001095534587013,4,3,4356,6
del2ph,airport,home_link,0.0012347698211669922,0.0,3.1948089599609375e-05,0.0012028217315673828,0.008222647309668152,0.22337399647872114,-0.25822264730966815,2,3,4356,6
del2ph,airport,home_link,0.0011241436004638672,0.0,2.3126602172851562e-05,0.0011010169982910156,0.05010955345870127,0.22337399647872114,-0.1334428867920346,2,2,4356,6
del2ph,airport,home_link,0.0017092227935791016,0.0,4.315376281738281e-05,0.0016660690307617188,0.05010955345870127,0.22337399647872114,-0.4667762201253679,8,4,4356,6
del2ph,airport,home_link,0.0016260147094726562,0.0,2.9087066650390625e-05,0.0015969276428222656,0.03592524660768637,0.22337399647872114,0.047408086725646975,1,1,4356,6
del2ph,airport,home_link,0.001712799072265625,0.0,3.1948089599609375e-05,0.0016808509826660156,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0015287399291992188,0.0,2.47955322265625e-05,0.0015039443969726562,0.013132038880604324,0.22337399647872114,-0.09646537221393764,1,2,4356,6
del2ph,airport,home_link,0.0017499923706054688,0.0,2.6941299438476562e-05,0.0017230510711669922,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.0015392303466796875,0.0,2.5272369384765625e-05,0.0015139579772949219,0.05010955345870127,0.22337399647872114,-0.3001095534587013,4,3,4356,6
del2ph,airport,home_link,0.0014722347259521484,0.0,2.4080276489257812e-05,0.0014481544494628906,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.00243377685546875,0.0,0.0001049041748046875,0.0023288726806640625,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0021779537200927734,0.0,0.00016999244689941406,0.0020079612731933594,0.05010955345870127,0.22337399647872114,-0.3001095534587013,4,3,4356,6
del2ph,airport,home_link,0.0014431476593017578,0.0,0.00010800361633300781,0.00133514404296875,0.22337399647872114,0.22337399647872114,-0.47337399647872114,1,3,4356,6
del2ph,airport,home_link,0.0017042160034179688,0.0,2.5033950805664062e-05,0.0016791820526123047,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0015048980712890625,0.0,2.384185791015625e-05,0.0014810562133789062,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.001714944839477539,0.0,2.288818359375e-05,0.001692056655883789,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,4356,6
del2ph,airport,home_link,0.0015437602996826172,0.0,2.193450927734375e-05,0.0015218257904052734,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.0016629695892333984,0.0,2.193450927734375e-05,0.0016410350799560547,0.05010955345870127,0.22337399647872114,-0.4667762201253679,8,4,4356,6
del2ph,airport,home_link,0.0015468597412109375,0.0,2.5033950805664062e-05,0.0015218257904052734,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.0015468597412109375,0.0,2.288818359375e-05,0.0015239715576171875,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,4356,6
del2ph,airport,home_link,0.0014269351959228516,0.0,2.3126602172851562e-05,0.00140380859375,0.051126318247808444,0.22337399647872114,-0.30112631824780844,4,3,4356,6
del2ph,airport,home_link,0.0016107559204101562,0.0,2.288818359375e-05,0.0015878677368164062,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.001596689224243164,0.0,2.288818359375e-05,0.001573801040649414,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.001486063003540039,0.0,2.193450927734375e-05,0.0014641284942626953,0.05853885744745513,0.22337399647872114,-0.47520552411412176,6,4,4356,6
del2ph,airport,home_link,0.0016088485717773438,0.0,2.193450927734375e-05,0.0015869140625,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,4356,6
del2ph,airport,home_link,0.001522064208984375,0.0,2.2172927856445312e-05,0.0014998912811279297,0.22337399647872114,0.22337399647872114,-0.47337399647872114,1,3,4356,6
del2ph,airport,home_link,0.001680135726928711,0.0,2.09808349609375e-05,0.0016591548919677734,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.0018999576568603516,0.0,0.00016307830810546875,0.0017368793487548828,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.0015575885772705078,0.0,2.3603439331054688e-05,0.0015339851379394531,0.011469181810646378,0.22337399647872114,-0.428135848477313,4,4,4356,6
del2ph,airport,home_link,0.0016562938690185547,0.0,2.2172927856445312e-05,0.0016341209411621094,0.0,0.22337399647872114,-0.75,-1,6,4356,6
del2ph,airport,home_link,0.0013980865478515625,0.0,2.1219253540039062e-05,0.0013768672943115234,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.001438140869140625,0.0,2.3126602172851562e-05,0.0014150142669677734,0.013132038880604324,0.22337399647872114,-0.09646537221393764,1,2,4356,6
del2ph,airport,home_link,0.0021369457244873047,0.0,0.00021696090698242188,0.0019199848175048828,0.008222647309668152,0.22337399647872114,-0.4248893139763348,4,4,4356,6
del2ph,airport,home_link,0.0019462108612060547,0.0,0.00010013580322265625,0.0018460750579833984,0.22337399647872114,0.22337399647872114,-0.6400406631453878,1,4,4356,6
del2ph,airport,home_link,0.00146484375,0.0,2.47955322265625e-05,0.0014400482177734375,0.003306804705818678,0.22337399647872114,-0.586640138039152,4,5,4356,6
del2ph,airport,home_link,0.001608133316040039,0.0,2.193450927734375e-05,0.0015861988067626953,0.003306804705818678,0.22337399647872114,-0.4199734713724853,2,4,4356,6
del2ph,airport,home_link,0.0016698837280273438,0.0,2.9802322387695312e-05,0.0016400814056396484,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,4356,6
del2ph,airport,home_link,0.0017409324645996094,0.0,2.6941299438476562e-05,0.0017139911651611328,0.003306804705818678,0.22337399647872114,-0.586640138039152,4,5,4356,6
del2ph,airport,home_link,0.0016851425170898438,0.0,2.3126602172851562e-05,0.0016620159149169922,0.051126318247808444,0.22337399647872114,-0.4677929849144751,8,4,4356,6
del2ph,airport,home_link,0.0015411376953125,0.0,2.2172927856445312e-05,0.0015189647674560547,0.22337399647872114,0.22337399647872114,-0.47337399647872114,1,3,4356,6
del2ph,airport,home_link,0.0015130043029785156,0.0,2.09808349609375e-05,0.0014920234680175781,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.0013649463653564453,0.0,2.09808349609375e-05,0.0013439655303955078,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0018188953399658203,0.0,0.00010704994201660156,0.0017118453979492188,0.05010955345870127,0.22337399647872114,-0.3001095534587013,4,3,4356,6
del2ph,airport,home_link,0.0015120506286621094,0.0,2.8133392333984375e-05,0.001483917236328125,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.0015759468078613281,0.0,8.487701416015625e-05,0.0014910697937011719,0.015768127809462573,0.22337399647872114,-0.4324347944761292,6,4,4356,6
del2ph,airport,home_link,0.0015254020690917969,0.0,9.012222290039062e-05,0.0014352798461914062,0.0,0.22337399647872114,-0.41666666666666663,-1,4,4356,6
del2ph,airport,home_link,0.0017766952514648438,0.0,9.989738464355469e-05,0.001676797866821289,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.001692056655883789,0.0,0.000102996826171875,0.001589059829711914,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,4356,6
del2ph,airport,home_link,0.001596212387084961,0.0,9.131431579589844e-05,0.0015048980712890625,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0016987323760986328,0.0,2.47955322265625e-05,0.0016739368438720703,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.0018913745880126953,0.0,0.00012421607971191406,0.0017671585083007812,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,4356,6
del2ph,airport,home_link,0.0019750595092773438,0.0,7.009506225585938e-05,0.0019049644470214844,0.05010955345870127,0.22337399647872114,-0.3001095534587013,4,3,4356,6
del2ph,airport,home_link,0.0019078254699707031,0.0,0.00010895729064941406,0.001798868179321289,0.03592524660768637,0.22337399647872114,-0.11925857994101968,1,2,4356,6
del2ph,airport,home_link,0.0018568038940429688,0.0,8.702278137207031e-05,0.0017697811126708984,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,4356,6
del2ph,airport,home_link,0.001987934112548828,0.0,0.00011587142944335938,0.0018720626831054688,0.03592524660768637,0.22337399647872114,-0.28592524660768637,4,3,4356,6
del2ph,airport,home_link,0.002003192901611328,0.0,0.00010800361633300781,0.0018951892852783203,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.001988649368286133,0.0,0.00012683868408203125,0.0018618106842041016,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,4356,6
del2ph,airport,home_link,0.0020949840545654297,0.0,0.00010395050048828125,0.0019910335540771484,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,4356,6
del2ph,airport,home_link,0.002045154571533203,0.0,0.00012302398681640625,0.0019221305847167969,0.05853885744745513,0.22337399647872114,-0.47520552411412176,6,4,4356,6
del2ph,airport,home_link,0.002002239227294922,0.0,0.00013113021850585938,0.0018711090087890625,0.22337399647872114,0.22337399647872114,-0.6400406631453878,1,4,4356,6
del2ph,airport,home_link,0.0018787384033203125,0.0,0.0001227855682373047,0.0017559528350830078,0.003306804705818678,0.22337399647872114,-0.4199734713724853,2,4,4356,6
del2ph,airport,home_link,0.0017237663269042969,0.0,2.7179718017578125e-05,0.0016965866088867188,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
del2ph,airport,home_link,0.0016469955444335938,0.0,2.384185791015625e-05,0.0016231536865234375,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,4356,6
del2ph,airport,home_link,0.0017080307006835938,0.0,2.3126602172851562e-05,0.0016849040985107422,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,4356,6
del2ph,airport,home_link,0.0019011497497558594,0.0,0.0001971721649169922,0.0017039775848388672,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,4356,6
