dataset,target,hypergraph_mode,leakage_method,tau,mask,mask_size,inference_zone_size,leakage,utility
airport,scheduled_service,MAX,greedy_disjoint,,,0,6,0.7151856454814501,0.0
airport,scheduled_service,MAX,greedy_disjoint,,continent,1,6,0.682552015129659,-0.16666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,home_link,1,6,0.633267038153267,-0.16666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,iso_country,1,6,0.6646451700889366,-0.16666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,keywords,1,6,0.6328149070033673,-0.16666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,municipality,1,6,0.6377015566223647,-0.16666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,type,1,6,0.4697142498776278,-0.16666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link,2,6,0.5912472883588642,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,continent|iso_country,2,6,0.5598596569804244,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,continent|keywords,2,6,0.5907433526542352,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,continent|municipality,2,6,0.5961899077512927,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,continent|type,2,6,0.4697142498776278,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country,2,6,0.5681900575173376,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,home_link|keywords,2,6,0.527204740336032,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,home_link|municipality,2,6,0.5334968933116484,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,home_link|type,2,6,0.4697142498776278,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,iso_country|keywords,2,6,0.567657695427904,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,iso_country|municipality,2,6,0.5734114839073647,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,iso_country|type,2,6,0.37561473038408055,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,keywords|municipality,2,6,0.5329217593367891,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,keywords|type,2,6,0.46957305266532445,-0.3333333333333333
airport,scheduled_service,MAX,greedy_disjoint,,municipality|type,2,6,0.2288821396123376,-0.3122154729456709
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|iso_country,3,6,0.4332660237695529,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|keywords,3,6,0.47303252081418146,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|municipality,3,6,0.48004561987648753,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|type,3,6,0.4697142498776278,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|iso_country|keywords,3,6,0.4325673189597369,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|iso_country|municipality,3,6,0.44011894550313135,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|iso_country|type,3,6,0.312315565021691,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|keywords|municipality,3,6,0.4794045878552673,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|keywords|type,3,6,0.46957305266532445,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,continent|municipality|type,3,6,0.2288821396123376,-0.4788821396123376
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|keywords,3,6,0.4433069423225279,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|municipality,3,6,0.45071564155919097,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|type,3,6,0.37561473038408055,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,home_link|keywords|municipality,3,6,0.3985802193778676,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,home_link|keywords|type,3,6,0.460338407225221,-0.5
airport,scheduled_service,MAX,greedy_disjoint,,home_link|municipality|type,3,6,0.2288821396123376,-0.4788821396123376
