dc_file,target_attr,num_dcs_total,num_dcs_with_target,num_attrs_total,mask_size_excl_target,total_deleted_including_target,mask_attrs_excl_target,ilp_time_sec,max_depth,zone_cells_instantiated,zone_edges,ilp_num_vars,ilp_num_constrs,ilp_file_bytes
topHospitalDCs_parsed.py,City,39,7,13,9,10,EmergencyService;HospitalName;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;Sample;State;ZipCode,0.001222,2,11,29,22,77,0
topHospitalDCs_parsed.py,Condition,39,8,13,10,11,City;EmergencyService;HospitalName;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;Sample;State;ZipCode,0.001172,2,11,29,22,77,0
topHospitalDCs_parsed.py,EmergencyService,39,10,13,9,10,City;HospitalName;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;Sample;State;ZipCode,0.001159,3,11,29,22,77,0
topHospitalDCs_parsed.py,HospitalName,39,6,13,9,10,City;EmergencyService;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;Sample;State;ZipCode,0.001122,2,11,29,22,77,0
topHospitalDCs_parsed.py,HospitalOwner,39,12,13,9,10,City;EmergencyService;HospitalName;HospitalType;PhoneNumber;ProviderNumber;Sample;State;ZipCode,0.001113,2,11,29,22,77,0
topHospitalDCs_parsed.py,HospitalType,39,14,13,9,10,City;EmergencyService;HospitalName;HospitalOwner;PhoneNumber;ProviderNumber;Sample;State;ZipCode,0.001115,2,11,29,22,77,0
topHospitalDCs_parsed.py,MeasureCode,39,2,13,1,2,MeasureName,0.000161,1,2,1,4,5,0
topHospitalDCs_parsed.py,MeasureName,39,2,13,1,2,MeasureCode,0.000148,1,2,1,4,5,0
topHospitalDCs_parsed.py,PhoneNumber,39,6,13,9,10,City;EmergencyService;HospitalName;HospitalOwner;HospitalType;ProviderNumber;Sample;State;ZipCode,0.001124,2,11,29,22,77,0
topHospitalDCs_parsed.py,ProviderNumber,39,4,13,9,10,City;EmergencyService;HospitalName;HospitalOwner;HospitalType;PhoneNumber;Sample;State;ZipCode,0.001115,2,11,29,22,77,0
topHospitalDCs_parsed.py,Sample,39,6,13,9,10,City;EmergencyService;HospitalName;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;State;ZipCode,0.001132,3,11,29,22,77,0
topHospitalDCs_parsed.py,State,39,9,13,9,10,City;EmergencyService;HospitalName;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;Sample;ZipCode,0.001123,2,11,29,22,77,0
topHospitalDCs_parsed.py,ZipCode,39,3,13,9,10,City;EmergencyService;HospitalName;HospitalOwner;HospitalType;PhoneNumber;ProviderNumber;Sample;State,0.001114,3,11,29,22,77,0
