lambda,leakage,utility,mask_size
0.5,0.0,-0.5,5
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.682552015129659,-0.44127600756482954,1
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.0,-0.4,4
0.5,0.0,-0.4,4
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.0,-0.4,4
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.37561473038408055,-0.3878073651920403,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.4697142498776278,-0.5348571249388139,3
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.0,-0.4,4
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.0920468199405825,-0.4460234099702913,4
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.633267038153267,-0.4166335190766335,1
0.5,0.4325673189597369,-0.5162836594798684,3
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.37561473038408055,-0.3878073651920403,2
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.0,-0.4,4
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.6328149070033673,-0.4164074535016836,1
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.0,-0.4,4
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.4697142498776278,-0.4348571249388139,2
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.0,-0.5,5
0.5,0.633267038153267,-0.4166335190766335,1
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.6328149070033673,-0.4164074535016836,1
0.5,0.7151856454814501,-0.35759282274072507,0
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.6328149070033673,-0.4164074535016836,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.4144410698061688,3
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.0920468199405825,-0.34602340997029124,3
0.5,0.4697142498776278,-0.3348571249388139,1
0.5,0.2288821396123376,-0.3144410698061688,2
0.5,0.4697142498776278,-0.4348571249388139,2
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.5053837288882768,-0.419358531110805,1
0.5,0.5053837288882768,-0.419358531110805,1
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6005002201919581,-0.8002501100959791,3
0.5,0.5053837288882768,-0.419358531110805,1
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6005002201919581,-0.46691677676264576,1
0.5,0.5053837288882768,-0.419358531110805,1
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.5626500316767806,-0.44799168250505694,1
0.5,0.6623992294064142,-0.3311996147032071,0
0.5,0.6623992294064142,-0.3311996147032071,0
