lambda,leakage,utility,mask_size
0.8,0.6328149070033673,-0.5462519256026939,1
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.633267038153267,-0.5466136305226137,1
0.8,0.4697142498776278,-0.4157713999021022,1
0.8,0.2693617282096118,-0.4154893825676894,5
0.8,0.0,-0.19999999999999996,5
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.527204740336032,-0.5017637922688256,2
0.8,0.37561473038408055,-0.3804917843072645,2
0.8,0.0,-0.23999999999999994,6
0.8,0.0920468199405825,-0.19363745595246595,3
0.8,0.2288821396123376,-0.26310571168987007,2
0.8,0.2288821396123376,-0.3431057116898701,4
0.8,0.0920468199405825,-0.233637455952466,4
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.0,-0.23999999999999994,6
0.8,0.0,-0.15999999999999998,4
0.8,0.31213245784760435,-0.4097059662780835,4
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.0920468199405825,-0.27363745595246597,5
0.8,0.0,-0.23999999999999994,6
0.8,0.5681900575173376,-0.5345520460138701,2
0.8,0.633267038153267,-0.5466136305226137,1
0.8,0.0,-0.23999999999999994,6
0.8,0.4500384497208755,-0.4800307597767004,3
0.8,0.0,-0.23999999999999994,6
0.8,0.0920468199405825,-0.27363745595246597,5
0.8,0.0,-0.15999999999999998,4
0.8,0.682552015129659,-0.5860416121037273,1
0.8,0.0920468199405825,-0.27363745595246597,5
0.8,0.5734114839073647,-0.5387291871258918,2
0.8,0.46957305266532445,-0.4556584421322596,2
0.8,0.6377015566223647,-0.5501612452978918,1
0.8,0.2288821396123376,-0.3031057116898701,3
0.8,0.2790853616047787,-0.38326828928382295,4
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.2288821396123376,-0.3031057116898701,3
0.8,0.4433069423225279,-0.4746455538580223,3
0.8,0.6377015566223647,-0.5501612452978918,1
0.8,0.0,-0.23999999999999994,6
0.8,0.6646451700889366,-0.5717161360711494,1
0.8,0.0,-0.23999999999999994,6
0.8,0.0,-0.15999999999999998,4
0.8,0.0,-0.23999999999999994,6
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.4697142498776278,-0.4157713999021022,1
0.8,0.2288821396123376,-0.3431057116898701,4
0.8,0.0,-0.19999999999999996,5
0.8,0.0,-0.15999999999999998,4
0.8,0.0,-0.19999999999999996,5
0.8,0.6377015566223647,-0.5501612452978918,1
0.8,0.31213245784760435,-0.4097059662780835,4
0.8,0.0,-0.19999999999999996,5
0.8,0.6646451700889366,-0.5717161360711494,1
0.8,0.4794045878552673,-0.5035236702842139,3
0.8,0.0920468199405825,-0.233637455952466,4
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.37561473038408055,-0.3804917843072645,2
0.8,0.0,-0.23999999999999994,6
0.8,0.2288821396123376,-0.3031057116898701,3
0.8,0.45071564155919097,-0.48057251324735273,3
0.8,0.07059070463900075,-0.25647256371120053,5
0.8,0.6646451700889366,-0.5717161360711494,1
0.8,0.0,-0.19999999999999996,5
0.8,0.682552015129659,-0.5860416121037273,1
0.8,0.2693617282096118,-0.4154893825676894,5
0.8,0.0920468199405825,-0.19363745595246595,3
0.8,0.0920468199405825,-0.27363745595246597,5
0.8,0.0,-0.19999999999999996,5
0.8,0.0,-0.23999999999999994,6
0.8,0.31213245784760435,-0.4097059662780835,4
0.8,0.5681900575173376,-0.5345520460138701,2
0.8,0.0,-0.19999999999999996,5
0.8,0.4697142498776278,-0.49577139990210217,3
0.8,0.0,-0.19999999999999996,5
0.8,0.0,-0.19999999999999996,5
0.8,0.4697142498776278,-0.4157713999021022,1
0.8,0.6377015566223647,-0.5501612452978918,1
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.0,-0.23999999999999994,6
0.8,0.0,-0.19999999999999996,5
0.8,0.45071564155919097,-0.48057251324735273,3
0.8,0.0,-0.23999999999999994,6
0.8,0.5912472883588642,-0.5529978306870914,2
0.8,0.31213245784760435,-0.4097059662780835,4
0.8,0.0,-0.23999999999999994,6
0.8,0.0,-0.19999999999999996,5
0.8,0.527204740336032,-0.5017637922688256,2
0.8,0.2693617282096118,-0.4154893825676894,5
0.8,0.5912472883588642,-0.5529978306870914,2
0.8,0.5734114839073647,-0.5387291871258918,2
0.8,0.5961899077512927,-0.5569519262010342,2
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.07059070463900075,-0.25647256371120053,5
0.8,0.2693617282096118,-0.37548938256768943,4
0.8,0.46957305266532445,-0.4556584421322596,2
0.8,0.0,-0.15999999999999998,4
0.8,0.7151856454814501,-0.5721485163851602,0
0.8,0.0,-0.23999999999999994,6
0.8,0.5468475106079831,-0.492023463031841,3
0.8,0.24315756576632586,-0.3581624162494243,9
0.8,0.5468475106079831,-0.5283870993954773,5
0.8,0.24315756576632586,-0.3399805980676061,8
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.0,-0.19999999999999996,11
0.8,0.5065292841479625,-0.514314336409279,6
0.8,0.0,-0.19999999999999996,11
0.8,0.6623992294064142,-0.5662830198887677,2
0.8,0.6086948858179753,-0.5051377268361984,1
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.6623992294064142,-0.5481012017069495,1
0.8,0.0002521225070323263,-0.20020169800562582,11
0.8,0.0,-0.19999999999999996,11
0.8,0.6086948858179753,-0.5051377268361984,1
0.8,0.5627711589443901,-0.5774896544282393,7
0.8,0.6086948858179753,-0.577864999563471,5
0.8,0.385599188513301,-0.5084793508106408,11
0.8,0.48321731969835446,-0.4593011284859563,4
0.8,0.029167650999047168,-0.2051523026174195,10
0.8,0.6009727293422886,-0.5353236380192855,3
0.8,0.385599188513301,-0.4902975326288226,10
0.8,0.0002521225070323263,-0.20020169800562582,11
0.8,0.385599188513301,-0.4902975326288226,10
0.8,0.6623992294064142,-0.5844648380705859,3
0.8,0.0,-0.19999999999999996,11
0.8,0.42853421735144903,-0.48828191933570464,8
0.8,0.26187931623708605,-0.3367761802623961,7
0.8,0.4156135985944347,-0.5143090606937295,10
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.0,-0.19999999999999996,11
0.8,0.0002521225070323263,-0.20020169800562582,11
0.8,0.4694541344903692,-0.4664723985013863,5
0.8,0.42853421735144903,-0.47010010115388645,7
0.8,0.4694541344903692,-0.5028360348650226,7
0.8,0.5627711589443901,-0.5047623817009667,3
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.4156135985944347,-0.44158178796645686,6
0.8,0.505574395670396,-0.49536860744540767,5
0.8,0.48321731969835446,-0.4593011284859563,4
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.26187931623708605,-0.3004125438987597,5
0.8,0.04096074580812714,-0.16004132391922896,7
0.8,0.505574395670396,-0.44082315289995316,2
0.8,0.4694541344903692,-0.4482905803195681,4
0.8,0.385599188513301,-0.4721157144470044,9
0.8,0.385599188513301,-0.4721157144470044,9
0.8,0.505574395670396,-0.49536860744540767,5
0.8,0.24315756576632586,-0.3945260526130606,11
0.8,0.0002521225070323263,-0.18201987982380763,10
0.8,0.6009727293422886,-0.5716872743829218,5
0.8,0.16715725920573166,-0.2791803528191308,8
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.6623992294064142,-0.5481012017069495,1
0.8,0.44440927545847886,-0.5373456021849649,10
0.8,0.0,-0.19999999999999996,11
0.8,0.6623992294064142,-0.5662830198887677,2
0.8,0.6623992294064142,-0.5299193835251313,0
0.8,0.385599188513301,-0.4539338962651862,8
0.8,0.0002521225070323263,-0.20020169800562582,11
0.8,0.0002521225070323263,-0.20020169800562582,11
0.8,0.42853421735144903,-0.47010010115388645,7
