epsilon,leakage,utility,mask_size
0.15,0.48004561987648753,-0.5100342149073657,3
0.15,0.0,-0.3,6
0.15,0.4365917791396565,-0.5274438343547424,4
0.15,0.2693617282096118,-0.40202129615720883,4
0.15,0.0,-0.3,6
0.15,0.2288821396123376,-0.4216616047092532,5
0.15,0.07059070463900075,-0.3029430284792506,5
0.15,0.682552015129659,-0.5619140113472443,1
0.15,0.0,-0.25,5
0.15,0.6377015566223647,-0.5282761674667735,1
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.312315565021691,-0.38423667376626824,3
0.15,0.3296703821603769,-0.44725278662028267,4
0.15,0.6328149070033673,-0.5246111802525255,1
0.15,0.6377015566223647,-0.5282761674667735,1
0.15,0.2693617282096118,-0.4520212961572089,5
0.15,0.4697142498776278,-0.5022856874082209,3
0.15,0.2288821396123376,-0.3216616047092532,3
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.2790853616047787,-0.40931402120358407,4
0.15,0.0,-0.25,5
0.15,0.567657695427904,-0.525743271570928,2
0.15,0.29185792416741285,-0.41889344312555965,4
0.15,0.0,-0.3,6
0.15,0.37544847764307687,-0.4315863582323076,3
0.15,0.48004561987648753,-0.5100342149073657,3
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.2288821396123376,-0.37166160470925325,4
0.15,0.0,-0.3,6
0.15,0.4500384497208755,-0.48752883729065666,3
0.15,0.2693617282096118,-0.40202129615720883,4
0.15,0.4365917791396565,-0.5274438343547424,4
0.15,0.0920468199405825,-0.26903511495543686,4
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.37561473038408055,-0.3817110477880604,2
0.15,0.2790853616047787,-0.40931402120358407,4
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.6646451700889366,-0.5484838775667025,1
0.15,0.3296703821603769,-0.44725278662028267,4
0.15,0.4697142498776278,-0.40228568740822085,1
0.15,0.6328149070033673,-0.5246111802525255,1
0.15,0.0,-0.3,6
0.15,0.2288821396123376,-0.37166160470925325,4
0.15,0.4697142498776278,-0.40228568740822085,1
0.15,0.2781965733082593,-0.4086474299811945,4
0.15,0.4433069423225279,-0.48248020674189596,3
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.4697142498776278,-0.45228568740822084,2
0.15,0.312315565021691,-0.4342366737662683,4
0.15,0.3985802193778676,-0.44893516453340065,3
0.15,0.0,-0.3,6
0.15,0.682552015129659,-0.5619140113472443,1
0.15,0.2693617282096118,-0.40202129615720883,4
0.15,0.31213245784760435,-0.4340993433857033,4
0.15,0.4697142498776278,-0.45228568740822084,2
0.15,0.07059070463900075,-0.3029430284792506,5
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.2288821396123376,-0.4216616047092532,5
0.15,0.2790853616047787,-0.40931402120358407,4
0.15,0.0920468199405825,-0.3190351149554369,5
0.15,0.4697142498776278,-0.5022856874082209,3
0.15,0.37561473038408055,-0.3817110477880604,2
0.15,0.0,-0.2,4
0.15,0.0,-0.3,6
0.15,0.6377015566223647,-0.5282761674667735,1
0.15,0.0920468199405825,-0.3190351149554369,5
0.15,0.2288821396123376,-0.4216616047092532,5
0.15,0.0,-0.25,5
0.15,0.5907433526542352,-0.5430575144906764,2
0.15,0.0,-0.3,6
0.15,0.0,-0.25,5
0.15,0.682552015129659,-0.5619140113472443,1
0.15,0.4365917791396565,-0.5274438343547424,4
0.15,0.0,-0.3,6
0.15,0.0,-0.3,6
0.15,0.6646451700889366,-0.5484838775667025,1
0.15,0.0920468199405825,-0.3190351149554369,5
0.15,0.48004561987648753,-0.5100342149073657,3
0.15,0.0,-0.3,6
0.15,0.0,-0.25,5
0.15,0.46957305266532445,-0.4521797894989933,2
0.15,0.46957305266532445,-0.5021797894989933,3
0.15,0.0,-0.3,6
0.15,0.2288821396123376,-0.4216616047092532,5
0.15,0.0,-0.3,6
0.15,0.0,-0.25,5
0.15,0.0,-0.25,5
0.15,0.2288821396123376,-0.37166160470925325,4
0.15,0.633267038153267,-0.5249502786149502,1
0.15,0.682552015129659,-0.5619140113472443,1
0.15,0.567657695427904,-0.525743271570928,2
0.15,0.48004561987648753,-0.5100342149073657,3
0.15,0.6377015566223647,-0.5282761674667735,1
0.15,0.0920468199405825,-0.26903511495543686,4
0.15,0.0,-0.25,5
0.15,0.2693617282096118,-0.40202129615720883,4
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.7151856454814501,-0.5363892341110876,0
0.15,0.3985802193778676,-0.44893516453340065,3
0.15,0.07059070463900075,-0.3029430284792506,5
0.15,0.6005002201919581,-0.5892640540328575,5
0.15,0.6086948858179753,-0.5676322754745926,4
0.15,0.5053837288882768,-0.4345933522217631,2
0.15,0.0,-0.2777777777777778,10
0.15,0.6086948858179753,-0.512076719919037,2
0.15,0.0,-0.2777777777777778,10
0.15,0.0,-0.2777777777777778,10
0.15,0.41469597047666695,-0.4221330889686113,4
0.15,0.6623992294064142,-0.49679942205481065,0
0.15,0.5626500316767806,-0.477543079313141,2
0.15,0.24315756576632586,-0.4323681743247444,9
0.15,0.42850099142022324,-0.4602646324540563,5
0.15,0.0,-0.2777777777777778,10
0.15,0.0,-0.2777777777777778,10
0.15,0.41469597047666695,-0.5054664223019446,7
0.15,0.6623992294064142,-0.5245771998325884,1
0.15,0.5468475106079831,-0.49346896628932063,3
0.15,0.0,-0.2777777777777778,10
0.15,0.24175913958548945,-0.4035415769113393,8
0.15,0.035544277937330504,-0.2488804306752201,8
0.15,0.2902622119955647,-0.4676966589966735,9
0.15,0.42850099142022324,-0.48804241023183403,6
0.15,0.21940735109689347,-0.3867777355448923,8
0.15,0.5626500316767806,-0.44976530153536326,1
0.15,0.24175913958548945,-0.3479860213557837,6
0.15,0.6090400455538584,-0.5956689230542827,5
0.15,0.6005002201919581,-0.533708498477302,3
0.15,0.6623992294064142,-0.49679942205481065,0
0.15,0.24315756576632586,-0.4045903965469666,8
0.15,0.44440927545847886,-0.5277514010383035,7
0.15,0.42853421735144903,-0.46028955190247567,5
0.15,0.24175913958548945,-0.3757637991335615,7
0.15,0.44440927545847886,-0.5833069565938591,9
0.15,0.6623992294064142,-0.5523549776103662,2
0.15,0.26303652729247295,-0.3361662843582436,5
0.15,0.5053837288882768,-0.40681557444398536,1
0.15,0.6623992294064142,-0.5245771998325884,1
0.15,0.0,-0.2777777777777778,10
0.15,0.505574395670396,-0.4625141300861303,3
0.15,0.6623992294064142,-0.5245771998325884,1
0.15,0.2902622119955647,-0.4676966589966735,9
0.15,0.385599188513301,-0.42808828027386464,5
0.15,0.385599188513301,-0.40031050249608685,4
0.15,0.4694541344903692,-0.4909794897566658,5
0.15,0.6086948858179753,-0.5676322754745926,4
0.15,0.6009727293422886,-0.47850732478449426,1
0.15,0.21940735109689347,-0.3867777355448923,8
0.15,0.24175913958548945,-0.4313193546891171,9
0.15,0.26303652729247295,-0.39172183991379916,7
0.15,0.0,-0.2777777777777778,10
0.15,0.0,-0.2777777777777778,10
0.15,0.6623992294064142,-0.49679942205481065,0
0.15,0.21940735109689347,-0.3867777355448923,8
0.15,0.24175913958548945,-0.4313193546891171,9
0.15,0.6623992294064142,-0.49679942205481065,0
0.15,0.6623992294064142,-0.49679942205481065,0
0.15,0.6090400455538584,-0.6234467008320604,6
0.15,0.24175913958548945,-0.3479860213557837,6
0.15,0.3592419527878562,-0.3527647979242255,3
0.15,0.0,-0.2777777777777778,10
0.15,0.24175913958548945,-0.3757637991335615,7
0.15,0.6623992294064142,-0.5245771998325884,1
0.15,0.0,-0.2777777777777778,10
0.15,0.0,-0.2777777777777778,10
0.15,0.24315756576632586,-0.4045903965469666,8
0.15,0.0,-0.2777777777777778,10
0.15,0.0,-0.25,9
0.15,0.385599188513301,-0.40031050249608685,4
0.15,0.6623992294064142,-0.49679942205481065,0
