lambda,leakage,utility,mask_size
0.3,0.03592524660768637,-0.35,3
0.3,0.05010955345870127,-0.4666666666666666,4
0.3,0.0,-0.4666666666666666,4
0.3,0.05010955345870127,-0.35,3
0.3,0.05010955345870127,-0.4666666666666666,4
0.3,0.015768127809462573,-0.5833333333333334,5
0.3,0.22337399647872114,-0.0,0
0.3,0.05010955345870127,-0.35,3
0.3,0.0,-0.4666666666666666,4
0.3,0.03592524660768637,-0.11666666666666665,1
0.3,0.22337399647872114,-0.11666666666666665,1
0.3,0.05010955345870127,-0.2333333333333333,2
0.3,0.05010955345870127,-0.35,3
0.3,0.003609042830710618,-0.5833333333333334,5
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.22337399647872114,-0.2333333333333333,2
0.3,0.03592524660768637,-0.35,3
0.3,0.009414806213275395,-0.2333333333333333,2
0.3,0.009414806213275395,-0.35,3
0.3,0.015768127809462573,-0.4666666666666666,4
0.3,0.03592524660768637,-0.35,3
0.3,0.22337399647872114,-0.35,3
0.3,0.003306804705818678,-0.5833333333333334,5
0.3,0.22337399647872114,-0.11666666666666665,1
0.3,0.22337399647872114,-0.11666666666666665,1
0.3,0.015768127809462573,-0.5833333333333334,5
0.3,0.03592524660768637,-0.35,3
0.3,0.22337399647872114,-0.11666666666666665,1
0.3,0.051126318247808444,-0.4666666666666666,4
0.3,0.015768127809462573,-0.5833333333333334,5
0.3,0.06016840572859605,-0.4666666666666666,4
0.3,0.22337399647872114,-0.35,3
0.3,0.009414806213275395,-0.35,3
0.3,0.0,-0.4666666666666666,4
0.3,0.22337399647872114,-0.2333333333333333,2
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.22337399647872114,-0.2333333333333333,2
0.3,0.03592524660768637,-0.35,3
0.3,0.22337399647872114,-0.4666666666666666,4
0.3,0.051126318247808444,-0.35,3
0.3,0.05010955345870127,-0.4666666666666666,4
0.3,0.05853885744745513,-0.4666666666666666,4
0.3,0.05853885744745513,-0.4666666666666666,4
0.3,0.051126318247808444,-0.35,3
0.3,0.015768127809462573,-0.4666666666666666,4
0.3,0.013132038880604324,-0.4666666666666666,4
0.3,0.003609042830710618,-0.5833333333333334,5
0.3,0.008222647309668152,-0.35,3
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.003306804705818678,-0.4666666666666666,4
0.3,0.003306804705818678,-0.5833333333333334,5
0.3,0.015768127809462573,-0.4666666666666666,4
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.22337399647872114,-0.2333333333333333,2
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.22337399647872114,-0.35,3
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.05853885744745513,-0.35,3
0.3,0.03592524660768637,-0.2333333333333333,2
0.3,0.015768127809462573,-0.4666666666666666,4
0.3,0.015768127809462573,-0.5833333333333334,5
0.3,0.015768127809462573,-0.5833333333333334,5
0.3,0.03592524660768637,-0.11666666666666665,1
0.3,0.22337399647872114,-0.11666666666666665,1
0.3,0.22337399647872114,-0.35,3
0.3,0.013132038880604324,-0.4666666666666666,4
