method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
del2ph,airport,scheduled_service,0.0030770301818847656,0.0,0.0013360977172851562,0.0017409324645996094,0.2288821396123376,,-0.20833333333333334,0,1,0,1,5,39163,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0030770301818847656
del2ph,airport,scheduled_service,0.0016167163848876953,0.0,4.696846008300781e-05,0.0015697479248046875,0.31213245784760435,,-0.21326601005236992,1,2,1,2,4,38856,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016167163848876953
del2ph,airport,scheduled_service,0.0016751289367675781,0.0,3.314018249511719e-05,0.001641988754272461,0.312315565021691,,-0.17173667376626825,2,3,2,3,3,38807,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016751289367675781
del2ph,airport,scheduled_service,0.0015876293182373047,0.0,2.6941299438476562e-05,0.0015606880187988281,0.37561473038408055,,-0.17754438112139376,4,5,4,5,2,38757,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015876293182373047
del2ph,airport,scheduled_service,0.0016317367553710938,0.0,2.47955322265625e-05,0.0016069412231445312,0.4433069423225279,,-0.26998020674189593,1,3,1,3,3,38811,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016317367553710938
del2ph,airport,scheduled_service,0.0013110637664794922,0.0,2.4080276489257812e-05,0.0012869834899902344,0.2288821396123376,,-0.16666666666666666,0,1,0,1,4,38857,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0013110637664794922
del2ph,airport,scheduled_service,0.001619100570678711,0.0,2.2172927856445312e-05,0.0015969276428222656,0.2288821396123376,,-0.125,0,1,0,1,3,38808,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.001619100570678711
del2ph,airport,scheduled_service,0.0015377998352050781,0.0,2.193450927734375e-05,0.0015158653259277344,0.2288821396123376,,-0.08333333333333333,0,1,0,1,2,38758,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015377998352050781
del2ph,airport,scheduled_service,0.0015747547149658203,0.0,2.193450927734375e-05,0.0015528202056884766,0.312315565021691,,-0.17173667376626825,2,3,2,3,3,38807,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015747547149658203
del2ph,airport,scheduled_service,0.0016961097717285156,0.0,2.2172927856445312e-05,0.0016739368438720703,0.2288821396123376,,-0.16666666666666666,0,1,0,1,4,38858,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016961097717285156
del2ph,airport,scheduled_service,0.001592874526977539,0.0,2.2172927856445312e-05,0.0015707015991210938,0.312315565021691,,-0.17173667376626825,2,3,2,3,3,38807,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.001592874526977539
del2ph,airport,scheduled_service,0.0016088485717773438,0.0,2.1696090698242188e-05,0.0015871524810791016,0.29185792416741285,,-0.1980601097922263,2,3,2,3,4,38864,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016088485717773438
del2ph,airport,scheduled_service,0.001676797866821289,0.0,2.09808349609375e-05,0.0016558170318603516,0.36457513891655857,,-0.25259802085408556,2,3,2,3,4,38856,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.001676797866821289
del2ph,airport,scheduled_service,0.0016319751739501953,0.0,2.4080276489257812e-05,0.0016078948974609375,0.37561473038408055,,-0.17754438112139376,4,5,4,5,2,38757,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016319751739501953
del2ph,airport,scheduled_service,0.0016672611236572266,0.0,2.09808349609375e-05,0.001646280288696289,0.3296703821603769,,-0.22641945328694935,2,3,2,3,4,38862,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016672611236572266
del2ph,airport,scheduled_service,0.001753091812133789,0.0,3.314018249511719e-05,0.0017199516296386719,0.37561473038408055,,-0.17754438112139376,4,5,4,5,2,38757,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.001753091812133789
del2ph,airport,scheduled_service,0.0018672943115234375,0.0,5.412101745605469e-05,0.0018131732940673828,0.2288821396123376,,-0.16666666666666666,0,1,0,1,4,38858,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0018672943115234375
del2ph,airport,scheduled_service,0.0015940666198730469,0.0,5.817413330078125e-05,0.0015358924865722656,0.45071564155919097,,-0.27553673116939326,2,4,2,4,3,38815,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015940666198730469
del2ph,airport,scheduled_service,0.001928091049194336,0.0,6.914138793945312e-05,0.0018589496612548828,0.2288821396123376,,-0.08333333333333333,0,1,0,1,2,38758,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.001928091049194336
del2ph,airport,scheduled_service,0.0015578269958496094,0.0,5.4836273193359375e-05,0.00150299072265625,0.2288821396123376,,-0.125,0,1,0,1,3,38807,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015578269958496094
del2ph,airport,scheduled_service,0.0023040771484375,0.0,4.00543212890625e-05,0.0022640228271484375,0.2288821396123376,,-0.125,0,1,0,1,3,38807,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0023040771484375
