method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
del2ph,airport,scheduled_service,0.007887840270996094,0.004975795745849609,0.0011131763458251953,0.001798868179321289,0.0,,-0.1650461514981757,0,-1,0,-1,4,38764,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0029120445251464844
del2ph,airport,scheduled_service,0.001638174057006836,0.0,3.600120544433594e-05,0.0016021728515625,0.0,,-0.24837948483150904,0,-1,0,-1,6,39215,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.001638174057006836
del2ph,airport,scheduled_service,0.0018153190612792969,0.0,4.7206878662109375e-05,0.0017681121826171875,0.6377015566223647,,-0.20258245902143018,1,5,1,5,1,38713,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0018153190612792969
del2ph,airport,scheduled_service,0.0016632080078125,0.0,3.695487976074219e-05,0.0016262531280517578,0.2288821396123376,,-0.12356462028324416,0,1,0,1,2,38758,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016632080078125
del2ph,airport,scheduled_service,0.0017123222351074219,0.0,2.9087066650390625e-05,0.0016832351684570312,0.312315565021691,,-0.22529452885092527,1,2,1,2,4,38857,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0017123222351074219
del2ph,airport,scheduled_service,0.0015609264373779297,0.0,2.7179718017578125e-05,0.0015337467193603516,0.4500384497208755,,-0.21944067228889885,2,4,2,4,3,38814,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015609264373779297
del2ph,airport,scheduled_service,0.0016331672668457031,0.0,2.4080276489257812e-05,0.0016090869903564453,0.4697142498776278,,-0.1835995158454135,2,4,2,4,2,38755,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016331672668457031
del2ph,airport,scheduled_service,0.0015609264373779297,0.0,2.288818359375e-05,0.0015380382537841797,0.5734114839073647,,-0.21830621784921272,2,5,2,5,2,38765,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0015609264373779297
del2ph,airport,scheduled_service,0.0016100406646728516,0.0,4.100799560546875e-05,0.0015690326690673828,0.460338407225221,,-0.22246422800072066,1,3,1,3,3,38804,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.0016100406646728516
del2ph,airport,scheduled_service,0.00151824951171875,0.0,3.123283386230469e-05,0.0014870166778564453,0.0,,-0.20671281816484238,0,-1,0,-1,5,39166,6,0,25.0,,0.75,,,greedy_disjoint,,,,,,0.00151824951171875
