method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
del2ph,airport,scheduled_service,0.0036661624908447266,0.0,0.001074075698852539,0.0025920867919921875,0.2288821396123376,,-0.3216616047092532,0,1,0,1,3,38828,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0036661624908447266
del2ph,airport,scheduled_service,0.0023071765899658203,0.0,4.100799560546875e-05,0.0022661685943603516,0.0,,-0.25,0,-1,0,-1,5,39186,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0023071765899658203
del2ph,airport,scheduled_service,0.0019676685333251953,0.0,2.9802322387695312e-05,0.0019378662109375,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0019676685333251953
del2ph,airport,scheduled_service,0.002017974853515625,0.0,2.7894973754882812e-05,0.001990079879760742,0.5907433526542352,,-0.5430575144906764,2,4,2,4,2,38780,6,0,25.0,,0.75,,,noisy_or,,,,,,0.002017974853515625
del2ph,airport,scheduled_service,0.002135038375854492,0.0,3.814697265625e-05,0.002096891403198242,0.0920468199405825,,-0.21903511495543687,2,1,2,1,3,38831,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002135038375854492
del2ph,airport,scheduled_service,0.0025620460510253906,0.0,4.291534423828125e-05,0.0025191307067871094,0.0920468199405825,,-0.26903511495543686,2,1,2,1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0025620460510253906
del2ph,airport,scheduled_service,0.0023031234741210938,0.0,3.1948089599609375e-05,0.0022711753845214844,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0023031234741210938
del2ph,airport,scheduled_service,0.0025093555450439453,0.0,4.220008850097656e-05,0.0024671554565429688,0.0,,-0.25,0,-1,0,-1,5,39187,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0025093555450439453
del2ph,airport,scheduled_service,0.002341032028198242,0.0,3.1948089599609375e-05,0.002309083938598633,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002341032028198242
del2ph,airport,scheduled_service,0.001993894577026367,0.0,3.1948089599609375e-05,0.001961946487426758,0.07059070463900075,,-0.3029430284792506,2,1,2,1,5,39191,6,1,25.0,,0.75,,,noisy_or,,,,,,0.001993894577026367
del2ph,airport,scheduled_service,0.002215862274169922,0.0,5.0067901611328125e-05,0.0021657943725585938,0.0920468199405825,,-0.21903511495543687,2,1,2,1,3,38831,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002215862274169922
del2ph,airport,scheduled_service,0.0021729469299316406,0.0,5.1021575927734375e-05,0.0021219253540039062,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0021729469299316406
del2ph,airport,scheduled_service,0.0020990371704101562,0.0,6.508827209472656e-05,0.0020339488983154297,0.0,,-0.25,0,-1,0,-1,5,39187,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0020990371704101562
del2ph,airport,scheduled_service,0.0019490718841552734,0.0,3.62396240234375e-05,0.001912832260131836,0.2288821396123376,,-0.2716616047092532,0,1,0,1,2,38779,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0019490718841552734
del2ph,airport,scheduled_service,0.0021820068359375,0.0,4.506111145019531e-05,0.0021369457244873047,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0021820068359375
del2ph,airport,scheduled_service,0.002235889434814453,0.0,6.604194641113281e-05,0.0021698474884033203,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002235889434814453
del2ph,airport,scheduled_service,0.002454042434692383,0.0,6.198883056640625e-05,0.0023920536041259766,0.0,,-0.25,0,-1,0,-1,5,39186,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002454042434692383
del2ph,airport,scheduled_service,0.0024111270904541016,0.0,5.602836608886719e-05,0.0023550987243652344,0.0,,-0.3,0,-1,0,-1,6,39236,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0024111270904541016
del2ph,airport,scheduled_service,0.0027272701263427734,0.0,6.604194641113281e-05,0.0026612281799316406,0.0,,-0.3,0,-1,0,-1,6,39236,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0027272701263427734
del2ph,airport,scheduled_service,0.0021638870239257812,0.0,4.9114227294921875e-05,0.0021147727966308594,0.0,,-0.25,0,-1,0,-1,5,39186,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0021638870239257812
del2ph,airport,scheduled_service,0.002079010009765625,0.0,4.792213439941406e-05,0.002031087875366211,0.0,,-0.25,0,-1,0,-1,5,39187,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002079010009765625
del2ph,airport,scheduled_service,0.002274036407470703,0.0,5.1975250244140625e-05,0.0022220611572265625,0.31213245784760435,,-0.4340993433857033,2,2,2,2,4,38877,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002274036407470703
del2ph,airport,scheduled_service,0.002153158187866211,0.0,6.103515625e-05,0.002092123031616211,0.0,,-0.25,0,-1,0,-1,5,39186,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002153158187866211
del2ph,airport,scheduled_service,0.002283334732055664,0.0,5.316734313964844e-05,0.0022301673889160156,0.0920468199405825,,-0.21903511495543687,2,1,2,1,3,38831,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002283334732055664
del2ph,airport,scheduled_service,0.0025789737701416016,0.0,8.58306884765625e-05,0.002493143081665039,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0025789737701416016
del2ph,airport,scheduled_service,0.0023963451385498047,0.0,0.00011277198791503906,0.0022835731506347656,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0023963451385498047
del2ph,airport,scheduled_service,0.0023779869079589844,0.0,9.894371032714844e-05,0.002279043197631836,0.2693617282096118,,-0.4520212961572089,0,1,0,1,5,39183,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0023779869079589844
del2ph,airport,scheduled_service,0.0026268959045410156,0.0,8.893013000488281e-05,0.002537965774536133,0.0920468199405825,,-0.21903511495543687,2,1,2,1,3,38831,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0026268959045410156
del2ph,airport,scheduled_service,0.0026662349700927734,0.0,0.00011706352233886719,0.0025491714477539062,0.45071564155919086,,-0.48803673116939317,4,4,4,4,3,38836,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0026662349700927734
del2ph,airport,scheduled_service,0.002519845962524414,0.0,0.00017905235290527344,0.0023407936096191406,0.0920468199405825,,-0.21903511495543687,2,1,2,1,3,38831,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002519845962524414
del2ph,airport,scheduled_service,0.003052949905395508,0.0,9.489059448242188e-05,0.002958059310913086,0.0920468199405825,,-0.26903511495543686,2,1,2,1,4,38880,6,1,25.0,,0.75,,,noisy_or,,,,,,0.003052949905395508
del2ph,airport,scheduled_service,0.0022711753845214844,0.0,9.107589721679688e-05,0.0021800994873046875,0.2288821396123376,,-0.37166160470925325,0,1,0,1,4,38878,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0022711753845214844
del2ph,airport,scheduled_service,0.0031731128692626953,0.0,0.00013518333435058594,0.0030379295349121094,0.0,,-0.2,0,-1,0,-1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0031731128692626953
del2ph,airport,scheduled_service,0.0025739669799804688,0.0,0.00010085105895996094,0.002473115921020508,0.2288821396123376,,-0.3216616047092532,0,1,0,1,3,38828,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0025739669799804688
del2ph,airport,scheduled_service,0.002773761749267578,0.0,0.00011610984802246094,0.002657651901245117,0.0920468199405825,,-0.26903511495543686,2,1,2,1,4,38881,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002773761749267578
del2ph,airport,scheduled_service,0.002662181854248047,0.0,0.00012683868408203125,0.0025353431701660156,0.0,,-0.25,0,-1,0,-1,5,39186,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002662181854248047
del2ph,airport,scheduled_service,0.0029230117797851562,0.0,0.00010704994201660156,0.0028159618377685547,0.0920468199405825,,-0.3190351149554369,2,1,2,1,5,39186,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0029230117797851562
del2ph,airport,scheduled_service,0.0026526451110839844,0.0,0.00010085105895996094,0.0025517940521240234,0.0920468199405825,,-0.21903511495543687,2,1,2,1,3,38831,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0026526451110839844
del2ph,airport,scheduled_service,0.0027310848236083984,0.0,0.00011110305786132812,0.0026199817657470703,0.2288821396123376,,-0.3216616047092532,0,1,0,1,3,38829,6,1,25.0,,0.75,,,noisy_or,,,,,,0.0027310848236083984
del2ph,airport,scheduled_service,0.003145933151245117,0.0,0.00015473365783691406,0.002991199493408203,0.0,,-0.25,0,-1,0,-1,5,39187,6,1,25.0,,0.75,,,noisy_or,,,,,,0.003145933151245117
del2ph,airport,scheduled_service,0.002961874008178711,0.0,0.00015091896057128906,0.002810955047607422,0.0920468199405825,,-0.26903511495543686,2,1,2,1,4,38880,6,1,25.0,,0.75,,,noisy_or,,,,,,0.002961874008178711
