method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delexp_canonical,airport,scheduled_service,0.015887975692749023,0.011578798294067383,0.0022420883178710938,0.002067089080810547,0.6328149070033673,0.7151856454814502,0.06969466052142,0,4,0,4,1,8748,7,0,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004309177398681641
delexp_canonical,airport,scheduled_service,0.006003141403198242,0.0030601024627685547,0.0008289813995361328,0.0021140575408935547,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0029430389404296875
delexp_canonical,airport,scheduled_service,0.006281852722167969,0.0033111572265625,0.0006515979766845703,0.0023190975189208984,0.4697142498776278,0.7151856454814502,0.09355782129512674,2,3,2,3,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0029706954956054688
delexp_canonical,airport,scheduled_service,0.00818014144897461,0.003920316696166992,0.0014138221740722656,0.0028460025787353516,0.4697142498776278,0.7151856454814502,0.09355782129512674,2,3,2,3,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004259824752807617
delexp_canonical,airport,scheduled_service,0.010085105895996094,0.0050830841064453125,0.0016050338745117188,0.0033969879150390625,0.40177218427809114,0.7151856454814502,0.12340434723619348,6,4,6,4,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.005002021789550781
delexp_canonical,airport,scheduled_service,0.00913691520690918,0.005075216293334961,0.0016219615936279297,0.002439737319946289,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004061698913574219
delexp_canonical,airport,scheduled_service,0.008761167526245117,0.005036830902099609,0.0014362335205078125,0.0022881031036376953,0.35257182612971993,0.7151856454814502,0.1482726757240596,4,3,4,3,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.003724336624145508
delexp_canonical,airport,scheduled_service,0.008733987808227539,0.004703998565673828,0.0014750957489013672,0.0025548934936523438,0.5007565718104581,0.7151856454814502,0.0979703831693784,4,4,4,4,2,8820,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004029989242553711
delexp_canonical,airport,scheduled_service,0.009909868240356445,0.004758119583129883,0.0019006729125976562,0.0032510757446289062,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0051517486572265625
delexp_canonical,airport,scheduled_service,0.00865626335144043,0.004616975784301758,0.0017321109771728516,0.0023071765899658203,0.7151856454814502,0.7151856454814502,0.06279786046464084,0,5,0,5,0,8676,7,0,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004039287567138672
delexp_canonical,airport,scheduled_service,0.010609149932861328,0.004948139190673828,0.0033559799194335938,0.0023050308227539062,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0056610107421875
delexp_canonical,airport,scheduled_service,0.0060269832611083984,0.003062009811401367,0.0008900165557861328,0.0020749568939208984,0.4919295802745304,0.7151856454814502,0.10137741082302493,4,4,4,4,2,8820,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0029649734497070312
delexp_canonical,airport,scheduled_service,0.010248899459838867,0.005810976028442383,0.002073049545288086,0.0023648738861083984,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004437923431396484
delexp_canonical,airport,scheduled_service,0.009601116180419922,0.0063838958740234375,0.00150299072265625,0.0017142295837402344,0.7151856454814502,0.7151856454814502,0.06279786046464084,0,5,0,5,0,8676,7,0,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0032172203063964844
delexp_canonical,airport,scheduled_service,0.008091926574707031,0.004038095474243164,0.0013699531555175781,0.002683877944946289,0.6377015566223647,0.7151856454814502,0.06821460997518301,2,5,2,5,1,8748,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004053831100463867
delexp_canonical,airport,scheduled_service,0.008912086486816406,0.004201173782348633,0.0014200210571289062,0.003290891647338867,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0047109127044677734
delexp_canonical,airport,scheduled_service,0.007328033447265625,0.003567934036254883,0.0011150836944580078,0.0026450157165527344,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.003760099411010742
delexp_canonical,airport,scheduled_service,0.008382558822631836,0.004681110382080078,0.0013041496276855469,0.002397298812866211,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.003701448440551758
delexp_canonical,airport,scheduled_service,0.007948875427246094,0.0043790340423583984,0.0015299320220947266,0.0020399093627929688,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0035698413848876953
delexp_canonical,airport,scheduled_service,0.010919570922851562,0.006349802017211914,0.0020029544830322266,0.002566814422607422,0.6377015566223647,0.7151856454814502,0.06821460997518301,2,5,2,5,1,8748,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0045697689056396484
delexp_canonical,airport,scheduled_service,0.008311748504638672,0.004937887191772461,0.001435995101928711,0.0019378662109375,0.7151856454814502,0.7151856454814502,0.06279786046464084,0,5,0,5,0,8676,7,0,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.003373861312866211
delexp_canonical,airport,scheduled_service,0.008266210556030273,0.004580974578857422,0.001741170883178711,0.0019440650939941406,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0036852359771728516
delexp_canonical,airport,scheduled_service,0.010175704956054688,0.0069348812103271484,0.0013637542724609375,0.0018770694732666016,0.6328149070033673,0.7151856454814502,0.06969466052142,0,4,0,4,1,8748,7,0,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.003240823745727539
delexp_canonical,airport,scheduled_service,0.0061800479888916016,0.0030269622802734375,0.0010380744934082031,0.002115011215209961,0.4697142498776278,0.7151856454814502,0.09355782129512674,2,3,2,3,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.003153085708618164
delexp_canonical,airport,scheduled_service,0.009584903717041016,0.004781961441040039,0.0013930797576904297,0.003409862518310547,0.5217987710088933,0.7151856454814502,0.10674703513088517,6,5,6,5,1,8748,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0048029422760009766
delexp_canonical,airport,scheduled_service,0.007344961166381836,0.003002166748046875,0.0017199516296386719,0.002622842788696289,0.682552015129659,0.7151856454814502,0.05512975455632044,2,5,2,5,1,8748,7,0,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.004342794418334961
delexp_canonical,airport,scheduled_service,0.0058248043060302734,0.0029027462005615234,0.0006961822509765625,0.0022258758544921875,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.00292205810546875
delexp_canonical,airport,scheduled_service,0.005598306655883789,0.0029921531677246094,0.0008089542388916016,0.0017971992492675781,0.2288821396123376,0.7151856454814502,0.2298173438766652,0,1,0,1,3,8892,7,1,10.0,,0.9,0.9,,noisy_or,5,7,,,,0.0026061534881591797
