method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delexp_canonical,airport,scheduled_service,0.015222787857055664,0.010020971298217773,0.0027549266815185547,0.002446889877319336,0.6377015566223647,0.7151856454814501,0.029067730534874735,1,5,1,5,1,6188,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.005201816558837891
delexp_canonical,airport,scheduled_service,0.006258249282836914,0.0030782222747802734,0.0007731914520263672,0.0024068355560302734,0.4697142498776278,0.7151856454814501,0.036298184412605614,2,4,2,4,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0031800270080566406
delexp_canonical,airport,scheduled_service,0.006322145462036133,0.0032181739807128906,0.00067901611328125,0.002424955368041992,0.2288821396123376,0.7151856454814501,0.10818111989722101,0,1,0,1,3,6332,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.003103971481323242
delexp_canonical,airport,scheduled_service,0.005995988845825195,0.00333404541015625,0.0007040500640869141,0.0019578933715820312,0.6646451700889366,0.7151856454814501,0.022430052516111763,1,5,1,5,1,6188,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0026619434356689453
delexp_canonical,airport,scheduled_service,0.006358146667480469,0.003353118896484375,0.0007808208465576172,0.0022242069244384766,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0030050277709960938
delexp_canonical,airport,scheduled_service,0.006281852722167969,0.00323486328125,0.0007121562957763672,0.0023348331451416016,0.5734114839073647,0.7151856454814501,0.004426051585784185,2,5,2,5,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0030469894409179688
delexp_canonical,airport,scheduled_service,0.006135225296020508,0.0031251907348632812,0.000640869140625,0.0023691654205322266,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0030100345611572266
delexp_canonical,airport,scheduled_service,0.0057108402252197266,0.002972841262817383,0.0006630420684814453,0.0020749568939208984,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0027379989624023438
delexp_canonical,airport,scheduled_service,0.005926370620727539,0.002975940704345703,0.0006573200225830078,0.002293109893798828,0.4697142498776278,0.7151856454814501,0.036298184412605614,2,4,2,4,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.002950429916381836
delexp_canonical,airport,scheduled_service,0.005839109420776367,0.0029439926147460938,0.0006320476531982422,0.0022630691528320312,0.2288821396123376,0.7151856454814501,0.10818111989722101,0,1,0,1,3,6332,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0028951168060302734
delexp_canonical,airport,scheduled_service,0.006654262542724609,0.003298044204711914,0.0010170936584472656,0.0023391246795654297,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0033562183380126953
delexp_canonical,airport,scheduled_service,0.00545501708984375,0.0028967857360839844,0.0006952285766601562,0.0018630027770996094,0.37561473038408055,0.7151856454814501,0.07185906085948947,4,5,4,5,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0025582313537597656
delexp_canonical,airport,scheduled_service,0.006552219390869141,0.0033359527587890625,0.0007731914520263672,0.002443075180053711,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.003216266632080078
delexp_canonical,airport,scheduled_service,0.006597280502319336,0.003328084945678711,0.0008060932159423828,0.002463102340698242,0.4697142498776278,0.7151856454814501,0.036298184412605614,2,4,2,4,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.003269195556640625
delexp_canonical,airport,scheduled_service,0.006335735321044922,0.0033140182495117188,0.0007138252258300781,0.002307891845703125,0.2288821396123376,0.7151856454814501,0.10818111989722101,0,1,0,1,3,6332,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.003021717071533203
delexp_canonical,airport,scheduled_service,0.00620579719543457,0.0030999183654785156,0.0007510185241699219,0.002354860305786133,0.4697142498776278,0.7151856454814501,0.036298184412605614,2,4,2,4,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0031058788299560547
delexp_canonical,airport,scheduled_service,0.006268978118896484,0.0034651756286621094,0.0006978511810302734,0.0021059513092041016,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.002803802490234375
delexp_canonical,airport,scheduled_service,0.006358146667480469,0.003240346908569336,0.0007879734039306641,0.0023298263549804688,0.2288821396123376,0.7151856454814501,0.1498477865638877,0,1,0,1,2,6260,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.003117799758911133
delexp_canonical,airport,scheduled_service,0.00591588020324707,0.003186941146850586,0.0006840229034423828,0.0020449161529541016,0.4697142498776278,0.7151856454814501,0.07796485107927228,3,5,3,5,1,6188,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0027289390563964844
delexp_canonical,airport,scheduled_service,0.00589299201965332,0.0031549930572509766,0.0006320476531982422,0.0021059513092041016,0.633267038153267,0.7151856454814501,0.03018659652646826,0,4,0,4,1,6188,7,0,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.0027379989624023438
delexp_canonical,airport,scheduled_service,0.0056209564208984375,0.0028977394104003906,0.0007150173187255859,0.002008199691772461,0.2288821396123376,0.7151856454814501,0.10818111989722101,0,1,0,1,3,6332,7,1,25.0,,0.75,0.9,,greedy_disjoint,5,7,,,,0.002723217010498047
