method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delgum,airport,scheduled_service,0.00475311279296875,0.00011301040649414062,0.0020380020141601562,0.002602100372314453,0.2288821396123376,,-0.4216616047092532,0,1,0,1,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0019860267639160156,6,5,0.004640102386474609
delgum,airport,scheduled_service,0.003326892852783203,0.00015020370483398438,0.0008256435394287109,0.002351045608520508,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007669925689697266,6,5,0.0031766891479492188
delgum,airport,scheduled_service,0.005529165267944336,0.00011992454528808594,0.0025391578674316406,0.0028700828552246094,0.4365917791396565,,-0.5274438343547424,0,2,0,2,4,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0024671554565429688,6,5,0.00540924072265625
delgum,airport,scheduled_service,0.005313873291015625,0.00011801719665527344,0.002112865447998047,0.0030829906463623047,0.4325673189597369,,-0.47442548921980265,0,2,0,2,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.002065896987915039,6,5,0.0051958560943603516
delgum,airport,scheduled_service,0.0048520565032958984,0.0001399517059326172,0.0026102066040039062,0.002101898193359375,0.2288821396123376,,-0.37166160470925325,0,1,0,1,4,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0025739669799804688,6,5,0.004712104797363281
delgum,airport,scheduled_service,0.007069110870361328,0.00015497207641601562,0.0035331249237060547,0.003381013870239258,0.312315565021691,,-0.38423667376626824,2,3,2,3,3,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0034379959106445312,6,5,0.0069141387939453125
delgum,airport,scheduled_service,0.0047037601470947266,7.581710815429688e-05,0.0024900436401367188,0.002137899398803711,0.0,,-0.25,0,-1,0,-1,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0024449825286865234,6,5,0.00462794303894043
delgum,airport,scheduled_service,0.006003141403198242,0.0001220703125,0.0028400421142578125,0.0030410289764404297,0.0920468199405825,,-0.26903511495543686,1,1,1,1,4,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.002774953842163086,6,5,0.005881071090698242
delgum,airport,scheduled_service,0.006235599517822266,0.00017786026000976562,0.0031287670135498047,0.0029289722442626953,0.0,,-0.3,0,-1,0,-1,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0030679702758789062,6,5,0.0060577392578125
delgum,airport,scheduled_service,0.006666898727416992,0.00024390220642089844,0.003801107406616211,0.002621889114379883,0.0,,-0.25,0,-1,0,-1,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0037429332733154297,6,5,0.006422996520996094
