method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delgum,airport,scheduled_service,0.004689931869506836,6.29425048828125e-05,0.0014851093292236328,0.0031418800354003906,0.37561473038408055,,-0.035093511847470775,3,4,3,4,3,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0014379024505615234,6,5,0.0046269893646240234
delgum,airport,scheduled_service,0.003698110580444336,5.817413330078125e-05,0.0009179115295410156,0.002722024917602539,0.0,,0.04328718183515763,0,-1,0,-1,5,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0008919239044189453,6,5,0.0036399364471435547
delgum,airport,scheduled_service,0.0020508766174316406,5.507469177246094e-05,0.00030493736267089844,0.0016908645629882812,0.7151856454814501,,-0.12771567680359244,0,5,0,5,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0002837181091308594,6,5,0.0019958019256591797
delgum,airport,scheduled_service,0.003954172134399414,4.410743713378906e-05,0.0009100437164306641,0.003000020980834961,0.0,,0.03733480088277668,0,-1,0,-1,6,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0008890628814697266,6,5,0.003910064697265625
delgum,airport,scheduled_service,0.0029730796813964844,4.792213439941406e-05,0.0006520748138427734,0.002273082733154297,0.527204740336032,,-0.0791892710344344,0,3,0,3,2,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0006289482116699219,6,5,0.0029251575469970703
delgum,airport,scheduled_service,0.003518819808959961,5.1975250244140625e-05,0.0008089542388916016,0.0026578903198242188,0.0,,0.03733480088277668,0,-1,0,-1,6,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007879734039306641,6,5,0.0034668445587158203
delgum,airport,scheduled_service,0.003451824188232422,4.9114227294921875e-05,0.0008058547973632812,0.0025968551635742188,0.2693617282096118,,-0.012365780139979021,0,1,0,1,4,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007867813110351562,6,5,0.0034027099609375
delgum,airport,scheduled_service,0.0032269954681396484,4.506111145019531e-05,0.0006489753723144531,0.002532958984375,0.5912472883588642,,-0.10770316190384102,1,4,1,4,2,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0006189346313476562,6,5,0.003181934356689453
delgum,airport,scheduled_service,0.0031981468200683594,5.1975250244140625e-05,0.0006589889526367188,0.0024871826171875,0.5961899077512927,,-0.11004875461933736,2,5,2,5,2,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0006308555603027344,6,5,0.0031461715698242188
delgum,airport,scheduled_service,0.003166675567626953,4.887580871582031e-05,0.0007150173187255859,0.002402782440185547,0.0,,0.05162051516849097,0,-1,0,-1,4,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0006971359252929688,6,5,0.003117799758911133
delgum,airport,scheduled_service,0.0033059120178222656,4.601478576660156e-05,0.000759124755859375,0.002500772476196289,0.0,,0.03733480088277668,0,-1,0,-1,6,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.00074005126953125,6,5,0.003259897232055664
delgum,airport,scheduled_service,0.0032129287719726562,4.410743713378906e-05,0.0007207393646240234,0.0024480819702148438,0.2288821396123376,,-0.0016753939305277146,0,1,0,1,4,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.000701904296875,6,5,0.003168821334838867
delgum,airport,scheduled_service,0.0027790069580078125,4.029273986816406e-05,0.00044798851013183594,0.0022907257080078125,0.4697142498776278,,-0.033980463746783665,3,5,3,5,1,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0004253387451171875,6,5,0.0027387142181396484
delgum,airport,scheduled_service,0.003393888473510742,4.00543212890625e-05,0.0008099079132080078,0.002543926239013672,0.0,,0.04328718183515763,0,-1,0,-1,5,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007941722869873047,6,5,0.0033538341522216797
delgum,airport,scheduled_service,0.002975940704345703,4.00543212890625e-05,0.00044989585876464844,0.002485990524291992,0.4697142498776278,,-0.033980463746783665,3,5,3,5,1,0,,1,25.0,0.75,0.75,,,greedy_disjoint,,,0.00042700767517089844,6,5,0.0029358863830566406
