method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delgum,airport,scheduled_service,0.007339000701904297,0.0002148151397705078,0.0035440921783447266,0.0035800933837890625,0.2288821396123376,,-0.24856462028324416,0,1,0,1,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0034439563751220703,6,5,0.007124185562133789
delgum,airport,scheduled_service,0.0059680938720703125,0.000141143798828125,0.0027599334716796875,0.0030670166015625,0.0,,-0.24837948483150904,0,-1,0,-1,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0026738643646240234,6,5,0.0058269500732421875
delgum,airport,scheduled_service,0.003910541534423828,0.0001246929168701172,0.0012218952178955078,0.002563953399658203,0.4697142498776278,,-0.14193284917874685,3,5,3,5,1,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0011560916900634766,6,5,0.003785848617553711
delgum,airport,scheduled_service,0.005110979080200195,0.0001220703125,0.0024728775024414062,0.002516031265258789,0.0,,-0.24837948483150904,0,-1,0,-1,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.002415180206298828,6,5,0.004988908767700195
delgum,airport,scheduled_service,0.0032110214233398438,0.0001468658447265625,0.00080108642578125,0.0022630691528320312,0.7151856454814501,,-0.1989192654332299,0,5,0,5,0,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007479190826416016,6,5,0.0030641555786132812
delgum,airport,scheduled_service,0.0059735774993896484,0.0001289844512939453,0.002658843994140625,0.003185749053955078,0.0,,-0.24837948483150904,0,-1,0,-1,6,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0026001930236816406,6,5,0.005844593048095703
delgum,airport,scheduled_service,0.004586935043334961,0.0001380443572998047,0.0020830631256103516,0.0023658275604248047,0.07059070463900075,,-0.21851276339497985,1,1,1,1,5,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0020279884338378906,6,5,0.004448890686035156
delgum,airport,scheduled_service,0.004855632781982422,0.00016689300537109375,0.0020668506622314453,0.002621889114379883,0.5334968933116484,,-0.20405868215273104,1,4,1,4,2,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0019881725311279297,6,5,0.004688739776611328
delgum,airport,scheduled_service,0.006536245346069336,0.00019598007202148438,0.0028281211853027344,0.003512144088745117,0.2693617282096118,,-0.21556436039616508,0,1,0,1,4,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0027608871459960938,6,5,0.0063402652740478516
delgum,airport,scheduled_service,0.0076825618743896484,0.0002028942108154297,0.004210948944091797,0.003268718719482422,0.31213245784760435,,-0.22525179176352428,1,2,1,2,4,0,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.004112958908081055,6,5,0.007479667663574219
