method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,epsil,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,num_instantiated_cells,denom_I_minus_1,total_time_minus_init
delgum,airport,scheduled_service,0.005003213882446289,0.0027070045471191406,0.0004680156707763672,0.0018281936645507812,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00043964385986328125,6,5,0.0022962093353271484
delgum,airport,scheduled_service,0.0024716854095458984,0.0001900196075439453,0.0007789134979248047,0.0015027523040771484,0.2288821396123376,,-0.3216616047092532,0,1,0,1,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007569789886474609,6,5,0.002281665802001953
delgum,airport,scheduled_service,0.002603292465209961,0.0001690387725830078,0.0008530616760253906,0.0015811920166015625,0.3985802193778676,,-0.44893516453340065,1,3,1,3,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0008242130279541016,6,5,0.002434253692626953
delgum,airport,scheduled_service,0.00275421142578125,0.0001609325408935547,0.0009150505065917969,0.0016782283782958984,0.37561473038408055,,-0.43171104778806046,3,4,3,4,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.000881195068359375,6,5,0.0025932788848876953
delgum,airport,scheduled_service,0.0023331642150878906,0.000141143798828125,0.0008199214935302734,0.0013720989227294922,0.4697142498776278,,-0.5022856874082209,1,3,1,3,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007910728454589844,6,5,0.0021920204162597656
delgum,airport,scheduled_service,0.0022118091583251953,0.0001399517059326172,0.00045180320739746094,0.0016200542449951172,0.6646451700889366,,-0.5484838775667025,1,5,1,5,1,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0004296302795410156,6,5,0.002071857452392578
delgum,airport,scheduled_service,0.0031349658966064453,0.00012803077697753906,0.0012040138244628906,0.0018029212951660156,0.0,,-0.3,0,-1,0,-1,6,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0011830329895019531,6,5,0.0030069351196289062
delgum,airport,scheduled_service,0.0020537376403808594,0.00018286705017089844,0.00029397010803222656,0.0015769004821777344,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0002727508544921875,6,5,0.001870870590209961
delgum,airport,scheduled_service,0.002091646194458008,0.00013899803161621094,0.0006029605865478516,0.0013496875762939453,0.2288821396123376,,-0.2716616047092532,0,1,0,1,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005829334259033203,6,5,0.0019526481628417969
delgum,airport,scheduled_service,0.002233266830444336,0.00013113021850585938,0.0008111000061035156,0.001291036605834961,0.0,,-0.3,0,-1,0,-1,6,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007929801940917969,6,5,0.0021021366119384766
delgum,airport,scheduled_service,0.0019431114196777344,0.0001201629638671875,0.0004048347473144531,0.0014181137084960938,0.633267038153267,,-0.5249502786149502,0,4,0,4,1,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00038814544677734375,6,5,0.0018229484558105469
delgum,airport,scheduled_service,0.0022513866424560547,0.00011515617370605469,0.0007770061492919922,0.0013592243194580078,0.2790853616047787,,-0.40931402120358407,1,2,1,2,4,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007548332214355469,6,5,0.00213623046875
delgum,airport,scheduled_service,0.002152681350708008,0.00015282630920410156,0.0005879402160644531,0.0014119148254394531,0.2288821396123376,,-0.2716616047092532,0,1,0,1,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005691051483154297,6,5,0.0019998550415039062
delgum,airport,scheduled_service,0.002183198928833008,0.00012993812561035156,0.0005750656127929688,0.0014781951904296875,0.5912472883588642,,-0.5434354662691482,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005519390106201172,6,5,0.0020532608032226562
delgum,airport,scheduled_service,0.0024700164794921875,0.00014209747314453125,0.0007867813110351562,0.0015411376953125,0.0,,-0.25,0,-1,0,-1,5,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007669925689697266,6,5,0.0023279190063476562
delgum,airport,scheduled_service,0.0024352073669433594,0.0001430511474609375,0.0006971359252929688,0.0015950202941894531,0.2288821396123376,,-0.3216616047092532,0,1,0,1,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0006778240203857422,6,5,0.002292156219482422
delgum,airport,scheduled_service,0.0028858184814453125,0.00024175643920898438,0.0009160041809082031,0.001728057861328125,0.48004561987648753,,-0.5100342149073657,2,4,2,4,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0008859634399414062,6,5,0.002644062042236328
delgum,airport,scheduled_service,0.003074169158935547,0.0003261566162109375,0.0008540153503417969,0.0018939971923828125,0.36457513891655857,,-0.47343135418741894,2,3,2,3,4,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0008287429809570312,6,5,0.0027480125427246094
