method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delgum,airport,scheduled_service,0.00429987907409668,0.0013167858123779297,0.0004811286926269531,0.002501964569091797,0.6646451700889366,,-0.41565591837780164,2,5,2,5,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0004570484161376953,6,5
delgum,airport,scheduled_service,0.0030417442321777344,4.076957702636719e-05,0.0006060600280761719,0.0023949146270751953,0.45071564155919097,,-0.4753578207795955,4,4,4,4,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0005807876586914062,6,5
delgum,airport,scheduled_service,0.003037691116333008,3.5762786865234375e-05,0.0006501674652099609,0.0023517608642578125,0.4332660237695529,,-0.46663301188477646,0,2,0,2,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006241798400878906,6,5
delgum,airport,scheduled_service,0.0029070377349853516,3.2901763916015625e-05,0.0007071495056152344,0.0021669864654541016,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006799697875976562,6,5
delgum,airport,scheduled_service,0.003529787063598633,6.699562072753906e-05,0.0009639263153076172,0.0024988651275634766,0.5734114839073647,,-0.453372408620349,4,5,4,5,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0009179115295410156,6,5
delgum,airport,scheduled_service,0.002499103546142578,3.218650817871094e-05,0.0003440380096435547,0.0021228790283203125,0.6328149070033673,,-0.39974078683501696,0,4,0,4,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0003287792205810547,6,5
delgum,airport,scheduled_service,0.0033669471740722656,0.00011801719665527344,0.0007088184356689453,0.002540111541748047,0.6377015566223647,,-0.4021841116445157,2,5,2,5,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006721019744873047,6,5
delgum,airport,scheduled_service,0.002158641815185547,7.200241088867188e-05,0.0003829002380371094,0.0017037391662597656,0.7151856454814502,,-0.3575928227407251,0,5,0,5,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.00035309791564941406,6,5
delgum,airport,scheduled_service,0.004290103912353516,7.104873657226562e-05,0.00186920166015625,0.002349853515625,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0018351078033447266,6,5
delgum,airport,scheduled_service,0.0021071434020996094,6.818771362304688e-05,0.0003769397735595703,0.0016620159149169922,0.7151856454814502,,-0.3575928227407251,0,5,0,5,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0003497600555419922,6,5
delgum,airport,scheduled_service,0.0038421154022216797,7.128715515136719e-05,0.0012428760528564453,0.002527952194213867,0.0920468199405825,,-0.46269007663695794,2,1,2,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012028217315673828,6,5
delgum,airport,scheduled_service,0.003584146499633789,7.510185241699219e-05,0.0010223388671875,0.002486705780029297,0.5961899077512927,,-0.46476162054231296,4,5,4,5,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0009772777557373047,6,5
delgum,airport,scheduled_service,0.0036172866821289062,6.29425048828125e-05,0.0012621879577636719,0.002292156219482422,0.2288821396123376,,-0.5311077364728355,0,1,0,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012290477752685547,6,5
delgum,airport,scheduled_service,0.003865957260131836,8.106231689453125e-05,0.0013308525085449219,0.002454042434692383,0.07059070463900075,,-0.45196201898616706,2,1,2,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012941360473632812,6,5
delgum,airport,scheduled_service,0.003567934036254883,6.604194641113281e-05,0.0011830329895019531,0.002318859100341797,0.2288821396123376,,-0.4477744031395021,0,1,0,1,4,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0011548995971679688,6,5
delgum,airport,scheduled_service,0.0039937496185302734,7.891654968261719e-05,0.0012509822845458984,0.002663850784301758,0.0,,-0.4166666666666667,0,-1,0,-1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012180805206298828,6,5
delgum,airport,scheduled_service,0.0034792423248291016,5.1975250244140625e-05,0.000762939453125,0.002664327621459961,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0007340908050537109,6,5
delgum,airport,scheduled_service,0.0031261444091796875,4.100799560546875e-05,0.0007228851318359375,0.0023622512817382812,0.45071564155919097,,-0.4753578207795955,4,4,4,4,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006821155548095703,6,5
delgum,airport,scheduled_service,0.001840829849243164,3.0994415283203125e-05,0.00020384788513183594,0.001605987548828125,0.7151856454814502,,-0.3575928227407251,0,5,0,5,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.00018906593322753906,6,5
delgum,airport,scheduled_service,0.0026209354400634766,4.601478576660156e-05,0.00038504600524902344,0.0021898746490478516,0.633267038153267,,-0.3999668524099668,0,4,0,4,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0003669261932373047,6,5
delgum,airport,scheduled_service,0.0032303333282470703,3.719329833984375e-05,0.0007579326629638672,0.0024352073669433594,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0007288455963134766,6,5
delgum,airport,scheduled_service,0.003044605255126953,3.3855438232421875e-05,0.0006608963012695312,0.002349853515625,0.40177218427809114,,-0.45088609213904557,6,4,6,4,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006251335144042969,6,5
delgum,airport,scheduled_service,0.002615213394165039,2.9802322387695312e-05,0.00038313865661621094,0.002202272415161133,0.682552015129659,,-0.4246093408981628,2,5,2,5,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0003631114959716797,6,5
delgum,airport,scheduled_service,0.003056049346923828,3.0040740966796875e-05,0.0007529258728027344,0.002273082733154297,0.0,,-0.4166666666666667,0,-1,0,-1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0007259845733642578,6,5
