dataset,lambda,leakage,utility,mask_size
airport,10,0.22337399647872114,-0.0,0
airport,10,0.008222647309668152,-0.6666666666666666,4
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.05853885744745513,-0.5,3
airport,10,0.22337399647872114,-0.0,0
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.03592524660768637,-0.5,3
airport,10,0.05853885744745513,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.5,3
airport,10,0.22337399647872114,-0.5,3
airport,10,0.05010955345870127,-0.5,3
airport,10,0.0,-0.8333333333333334,5
airport,10,0.22337399647872114,-0.5,3
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.015768127809462573,-0.8333333333333334,5
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.22337399647872114,-0.5,3
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.3333333333333333,2
airport,10,0.003609042830710618,-0.8333333333333334,5
airport,10,0.05010955345870127,-0.5,3
airport,10,0.013132038880604324,-0.5,3
airport,10,0.03592524660768637,-0.5,3
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.008222647309668152,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.5,3
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.013132038880604324,-0.5,3
airport,10,0.05010955345870127,-0.5,3
airport,10,0.013132038880604324,-0.5,3
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.5,3
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.013132038880604324,-0.5,3
airport,10,0.004612425044516089,-0.6666666666666666,4
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.015768127809462573,-0.6666666666666666,4
airport,10,0.0,-0.6666666666666666,4
airport,10,0.009414806213275395,-0.5,3
airport,10,0.015768127809462573,-0.8333333333333334,5
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.05853885744745513,-0.5,3
airport,10,0.0008907266304110095,-0.8333333333333334,5
airport,10,0.013132038880604324,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.5,3
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.5,3
airport,10,0.003609042830710618,-0.8333333333333334,5
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.051126318247808444,-0.5,3
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.015768127809462573,-0.8333333333333334,5
airport,10,0.013132038880604324,-0.5,3
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.05010955345870127,-0.5,3
airport,10,0.009414806213275395,-0.5,3
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.009414806213275395,-0.6666666666666666,4
airport,10,0.013132038880604324,-0.5,3
airport,10,0.03592524660768637,-0.5,3
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.22337399647872114,-0.5,3
airport,10,0.05010955345870127,-0.3333333333333333,2
airport,10,0.004612425044516089,-0.6666666666666666,4
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.05010955345870127,-0.5,3
airport,10,0.22337399647872114,-0.5,3
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.011469181810646378,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.5,3
airport,10,0.015768127809462573,-0.8333333333333334,5
airport,10,0.0,-0.6666666666666666,4
airport,10,0.06016840572859605,-0.6666666666666666,4
airport,10,0.03592524660768637,-0.3333333333333333,2
airport,10,0.003306804705818678,-0.8333333333333334,5
airport,10,0.05010955345870127,-0.5,3
airport,10,0.0,-1.0,6
airport,10,0.22337399647872114,-0.16666666666666666,1
airport,10,0.22337399647872114,-0.6666666666666666,4
airport,10,0.05010955345870127,-0.6666666666666666,4
airport,10,0.011469181810646378,-0.6666666666666666,4
airport,10,0.015768127809462573,-0.6666666666666666,4
airport,10,0.011469181810646378,-0.6666666666666666,4
airport,10,0.06016840572859605,-0.6666666666666666,4
airport,10,0.013132038880604324,-0.5,3
airport,10,0.011469181810646378,-0.5,3
airport,10,0.03592524660768637,-0.5,3
airport,10,0.008222647309668152,-0.6666666666666666,4
airport,10,0.004612425044516089,-0.6666666666666666,4
hospital,10,0.46992211475481305,-10.5,5
hospital,10,0.5422684587046469,-10.3,3
hospital,10,0.5422684587046469,-10.4,4
hospital,10,0.385599188513301,-10.7,7
hospital,10,0.5107698719387217,-10.6,6
hospital,10,0.6623992294064142,-10.3,3
hospital,10,0.26187931623708605,-0.6,6
hospital,10,0.44440927545847886,-10.7,7
hospital,10,0.24175913958548945,-0.6,6
hospital,10,0.5860822545816282,-10.5,5
hospital,10,0.42850099142022324,-10.4,4
hospital,10,0.6623992294064142,-10.3,3
hospital,10,0.5065292841479625,-10.6,6
hospital,10,0.5422684587046469,-10.4,4
hospital,10,0.4694541344903692,-10.4,4
hospital,10,0.3764851312661076,-10.5,5
hospital,10,0.5065005929742044,-10.4,4
hospital,10,0.5468475106079831,-10.7,7
hospital,10,0.385599188513301,-10.6,6
hospital,10,0.42853421735144903,-10.5,5
hospital,10,0.6086948858179753,-10.3,3
hospital,10,0.5422684587046469,-10.5,5
hospital,10,0.6090400455538584,-10.3,3
hospital,10,0.5065292841479625,-10.4,4
hospital,10,0.5422684587046469,-10.4,4
hospital,10,0.5742552604116484,-10.5,5
hospital,10,0.42850099142022324,-10.5,5
hospital,10,0.5422684587046469,-10.1,1
hospital,10,0.4967909547833075,-10.3,3
hospital,10,0.0,-1.0,10
hospital,10,0.46992211475481305,-10.3,3
hospital,10,0.5422684587046469,-10.4,4
hospital,10,0.6090400455538584,-10.2,2
hospital,10,0.6090400455538584,-10.4,4
hospital,10,0.5468475106079831,-10.6,6
hospital,10,0.5468475106079831,-10.5,5
hospital,10,0.385599188513301,-10.6,6
hospital,10,0.6623992294064142,-10.4,4
hospital,10,0.26187931623708605,-0.5,5
hospital,10,0.49676169740756204,-10.5,5
hospital,10,0.46992211475481305,-10.5,5
hospital,10,0.4967909547833075,-10.3,3
hospital,10,0.385599188513301,-10.7,7
hospital,10,0.4967909547833075,-10.4,4
hospital,10,0.0,-0.9,9
hospital,10,0.5065292841479625,-10.4,4
hospital,10,0.46992211475481305,-10.5,5
hospital,10,0.4967909547833075,-10.6,6
hospital,10,0.4967909547833075,-10.5,5
hospital,10,0.26303652729247295,-0.3,3
hospital,10,0.261836400724347,-0.5,5
hospital,10,0.6090400455538584,-10.4,4
hospital,10,0.24315756576632586,-0.7,7
hospital,10,0.6623992294064142,-10.5,5
hospital,10,0.21945273335876703,-0.6,6
hospital,10,0.6086948858179753,-10.5,5
hospital,10,0.3764851312661076,-10.5,5
hospital,10,0.6090400455538584,-10.3,3
hospital,10,0.46992211475481305,-10.7,7
hospital,10,0.37644887911807723,-10.5,5
hospital,10,0.3764851312661076,-10.6,6
hospital,10,0.3594889549228737,-10.7,7
hospital,10,0.385599188513301,-10.8,8
hospital,10,0.6623992294064142,-10.2,2
hospital,10,0.37644887911807723,-10.5,5
hospital,10,0.5422684587046469,-10.5,5
hospital,10,0.4967909547833075,-10.5,5
hospital,10,0.261836400724347,-0.6,6
hospital,10,0.5107698719387217,-10.6,6
hospital,10,0.5422684587046469,-10.2,2
hospital,10,0.5422684587046469,-10.3,3
hospital,10,0.4967909547833075,-10.5,5
hospital,10,0.46992211475481305,-10.5,5
hospital,10,0.6086948858179753,-10.4,4
hospital,10,0.6086948858179753,-10.2,2
hospital,10,0.5742552604116484,-10.1,1
hospital,10,0.5742552604116484,-10.4,4
hospital,10,0.42853421735144903,-10.6,6
hospital,10,0.5202376749670268,-10.7,7
hospital,10,0.6090400455538584,-10.2,2
hospital,10,0.42850099142022324,-10.7,7
hospital,10,0.42853421735144903,-10.5,5
hospital,10,0.49676169740756204,-10.5,5
hospital,10,0.6623992294064142,-10.2,2
hospital,10,0.5422684587046469,-10.5,5
hospital,10,0.4967909547833075,-10.5,5
hospital,10,0.5422684587046469,-10.3,3
hospital,10,0.5468475106079831,-10.5,5
hospital,10,0.46992211475481305,-10.3,3
hospital,10,0.4694541344903692,-10.8,8
hospital,10,0.4694541344903692,-10.5,5
hospital,10,0.5468475106079831,-10.4,4
hospital,10,0.5742552604116484,-10.5,5
hospital,10,0.16715725920573166,-0.7,7
hospital,10,0.26187931623708605,-0.6,6
hospital,10,0.26187931623708605,-0.6,6
hospital,10,0.385599188513301,-10.7,7
hospital,10,0.6086948858179753,-10.5,5
hospital,10,0.26187931623708605,-0.4,4
hospital,10,0.5468475106079831,-10.3,3
adult,10,0.19205292448357247,-0.5,6
adult,10,0.36827548533646537,-10.25,3
adult,10,0.34735545652072686,-10.416666666666666,5
adult,10,0.13053632519572766,-0.25,3
adult,10,0.13560492711125438,-0.5,6
adult,10,0.07172331490686623,-0.6666666666666666,8
adult,10,0.07129118921968924,-0.5833333333333334,7
adult,10,0.35484756549382646,-10.333333333333334,4
adult,10,0.11782852757561879,-0.5833333333333334,7
adult,10,0.055460658126493256,-0.75,9
adult,10,0.07848724333584078,-0.6666666666666666,8
adult,10,0.07153705234156527,-0.5,6
adult,10,0.135682350389002,-0.25,3
adult,10,0.24866303299843384,-0.5,6
adult,10,0.13053632519572766,-0.5,6
adult,10,0.08898291563852445,-0.4166666666666667,5
adult,10,0.06572538199279632,-0.6666666666666666,8
adult,10,0.04164231935793272,-0.5833333333333334,7
adult,10,0.07458490752541724,-0.75,9
adult,10,0.035913256810058414,-0.75,9
adult,10,0.08129409482449701,-0.5833333333333334,7
adult,10,0.010021246092574043,-0.75,9
adult,10,0.0016564055234935537,-0.75,9
adult,10,0.05401868758400663,-0.75,9
adult,10,0.35205501024780084,-10.5,6
adult,10,0.09199866320537664,-0.4166666666666667,5
adult,10,0.35205501024780084,-10.5,6
adult,10,0.05556162746092319,-0.6666666666666666,8
adult,10,0.07140439139942545,-0.5833333333333334,7
adult,10,0.20036608478191653,-0.3333333333333333,4
adult,10,0.40940983353048355,-10.5,6
adult,10,0.19004939214744843,-0.3333333333333333,4
adult,10,0.20375348447597397,-0.3333333333333333,4
adult,10,0.0717180161570583,-0.6666666666666666,8
adult,10,0.2726821726489278,-0.5,6
adult,10,0.13973029018528993,-0.75,9
adult,10,0.0051095612352280995,-0.6666666666666666,8
adult,10,0.0736203522030674,-0.5,6
adult,10,0.4007261300524779,-10.5,6
adult,10,0.2726821726489278,-0.25,3
adult,10,0.4019002090788759,-10.25,3
adult,10,0.17085424768265522,-0.3333333333333333,4
adult,10,0.13053632519572766,-0.3333333333333333,4
adult,10,0.25255535815055186,-0.5833333333333334,7
adult,10,0.1886157481530516,-0.3333333333333333,4
adult,10,0.004855399527073034,-0.5833333333333334,7
adult,10,0.11023352473050418,-0.5833333333333334,7
adult,10,0.12077819213930197,-0.3333333333333333,4
adult,10,0.443789132193782,-10.166666666666666,2
adult,10,0.14812295795010155,-0.3333333333333333,4
adult,10,0.13053632519572766,-0.5,6
adult,10,0.13729095120846657,-0.4166666666666667,5
adult,10,0.3570987456406054,-10.333333333333334,4
adult,10,0.17085424768265522,-0.4166666666666667,5
adult,10,0.2619944952694371,-0.25,3
adult,10,0.13053632519572766,-0.6666666666666666,8
adult,10,0.07035713434806612,-0.5833333333333334,7
adult,10,0.0878679316721257,-0.5833333333333334,7
adult,10,0.2726821726489278,-0.3333333333333333,4
adult,10,0.04348704400858039,-0.6666666666666666,8
adult,10,0.3602428188084117,-10.416666666666666,5
adult,10,0.35205501024780084,-10.583333333333334,7
adult,10,0.25440458601097704,-0.4166666666666667,5
adult,10,0.060532446949075225,-0.6666666666666666,8
adult,10,0.35205501024780084,-10.333333333333334,4
adult,10,0.06600256526198245,-0.5,6
adult,10,0.18027118594343727,-0.5,6
adult,10,0.38715465280892436,-10.583333333333334,7
adult,10,0.06494594038142054,-0.5833333333333334,7
adult,10,0.0400457539403426,-0.75,9
adult,10,0.098503853030243,-0.5,6
adult,10,0.06600256526198245,-0.4166666666666667,5
adult,10,0.20856853444910772,-0.5833333333333334,7
adult,10,0.02398324457406853,-0.5833333333333334,7
adult,10,0.36827548533646537,-10.5,6
adult,10,0.49122554744404323,-10.25,3
adult,10,0.0,-0.8333333333333334,10
adult,10,0.12964246975491212,-0.4166666666666667,5
adult,10,0.0736203522030674,-0.5833333333333334,7
adult,10,0.330605692346426,-10.5,6
