method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsdel2ph,airport,continent,0.007638216018676758,0.0052280426025390625,0.0008392333984375,0.0015709400177001953,0.024793890495394266,0.49830908053361767,-3.0,4,3,4356,6,epsilon_m,L0
del2ph,airport,continent,0.0018329620361328,0.0,5.507469177246094e-05,0.0017778873443603,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0014772415161132,0.0,5.1021575927734375e-05,0.0014262199401855,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0014972686767578,0.0,4.124641418457031e-05,0.0014560222625732,0.0,0.4983090805336176,-4.0,-1,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0015709400177001,0.0,3.2901763916015625e-05,0.0015380382537841,0.0,0.4983090805336176,-6.0,-1,6,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0014741420745849,0.0,4.6253204345703125e-05,0.0014278888702392,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0014069080352783,0.0,4.100799560546875e-05,0.0013659000396728,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017669200897216,0.0,3.314018249511719e-05,0.0017337799072265,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0018134117126464,0.0,3.218650817871094e-05,0.0017812252044677,0.0360790473597515,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0014147758483886,0.0,2.8848648071289062e-05,0.0013859272003173,0.0,0.4983090805336176,-4.0,-1,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0054073333740234,0.0,0.0002002716064453,0.0052070617675781,0.0,0.4983090805336176,-4.0,-1,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0028817653656005,0.0,0.0001978874206542,0.0026838779449462,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0022072792053222,0.0,0.0001401901245117,0.0020670890808105,0.0359252466076863,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0016801357269287,0.0,5.817413330078125e-05,0.0016219615936279,0.0360790473597515,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017871856689453,0.0,5.1975250244140625e-05,0.0017352104187011,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0016629695892333,0.0,3.981590270996094e-05,0.0016231536865234,0.0359252466076863,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.001612901687622,0.0,3.0040740966796875e-05,0.0015828609466552,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0023450851440429,0.0,0.0001728534698486,0.0021722316741943,0.0,0.4983090805336176,-5.0,-1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0021519660949707,0.0,0.0002250671386718,0.0019268989562988,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017521381378173,0.0,0.0002291202545166,0.0015230178833007,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.001857042312622,0.0,4.9114227294921875e-05,0.0018079280853271,0.0113531051614955,0.4983090805336176,-5.0,12,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017564296722412,0.0,3.5762786865234375e-05,0.0017206668853759,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0043909549713134,0.0,0.0020208358764648,0.0023701190948486,0.0360790473597515,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0015788078308105,0.0,6.198883056640625e-05,0.0015168190002441,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.002610445022583,0.0,0.0002093315124511,0.0024011135101318,0.0247938904953942,0.4983090805336176,-5.0,1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0025622844696044,0.0,0.0002472400665283,0.0023150444030761,0.0,0.4983090805336176,-5.0,-1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017342567443847,0.0,0.0002381801605224,0.0014960765838623,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0016369819641113,0.0,5.602836608886719e-05,0.0015809535980224,0.0,0.4983090805336176,-6.0,-1,6,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.002521276473999,0.0,0.0002632141113281,0.0022580623626708,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0016689300537109,0.0,0.0002379417419433,0.0014309883117675,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0019059181213378,0.0,9.703636169433594e-05,0.0018088817596435,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017280578613281,0.0,4.887580871582031e-05,0.0016791820526123,0.0,0.4983090805336176,-6.0,-1,6,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0020511150360107,0.0,0.0001900196075439,0.0018610954284667,0.0,0.4983090805336176,-4.0,-1,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0020878314971923,0.0,0.0001180171966552,0.0019698143005371,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0018439292907714,0.0,5.888938903808594e-05,0.0017850399017333,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.001533031463623,0.0,5.602836608886719e-05,0.0014770030975341,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0020256042480468,0.0,0.0001838207244873,0.0018417835235595,0.0,0.4983090805336176,-4.0,-1,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0016789436340332,0.0,5.5789947509765625e-05,0.0016231536865234,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0013086795806884,0.0,4.57763671875e-05,0.0012629032135009,0.0247938904953942,0.4983090805336176,-5.0,1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0015456676483154,0.0,4.38690185546875e-05,0.0015017986297607,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0013449192047119,0.0,3.2901763916015625e-05,0.0013120174407958,0.0247938904953942,0.4983090805336176,-5.0,1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0021648406982421,0.0,0.0002477169036865,0.0019171237945556,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0012950897216796,0.0,4.696846008300781e-05,0.0012481212615966,0.0433214548924665,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0016469955444335,0.0,3.409385681152344e-05,0.001612901687622,0.0359252466076863,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0019540786743164,0.0,0.0001971721649169,0.0017569065093994,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0022637844085693,0.0,3.1948089599609375e-05,0.0022318363189697,0.0,0.4983090805336176,-5.0,-1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.002577781677246,0.0,0.0001788139343261,0.0023989677429199,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0023589134216308,0.0,0.0002219676971435,0.0021369457244873,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0020978450775146,0.0,0.0002057552337646,0.00189208984375,0.0247938904953942,0.4983090805336176,-3.0,4,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0020530223846435,0.0,0.000169038772583,0.0018839836120605,0.0433214548924665,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0018329620361328,0.0,0.0001640319824218,0.0016689300537109,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0013408660888671,0.0,4.1961669921875e-05,0.0012989044189453,0.0359252466076863,0.4983090805336176,-2.0,3,2,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017762184143066,0.0,0.0001039505004882,0.0016722679138183,0.0247938904953942,0.4983090805336176,-5.0,1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017433166503906,0.0,0.0001223087310791,0.0016210079193115,0.0113531051614955,0.4983090805336176,-5.0,12,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.001734972000122,0.0,0.0001242160797119,0.0016107559204101,0.0359252466076863,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0018219947814941,0.0,0.0001039505004882,0.0017180442810058,0.0359252466076863,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0028350353240966,0.0,0.0001161098480224,0.0027189254760742,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0019299983978271,0.0,0.000129222869873,0.0018007755279541,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0021002292633056,0.0,0.0001490116119384,0.0019512176513671,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0024511814117431,0.0,0.0002062320709228,0.0022449493408203,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0022459030151367,0.0,0.0002439022064208,0.0020020008087158,0.0433214548924665,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0025851726531982,0.0,0.0001862049102783,0.0023989677429199,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0027363300323486,0.0,0.000241994857788,0.0024943351745605,0.0433214548924665,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0031518936157226,0.0,0.0004007816314697,0.0027511119842529,0.0,0.4983090805336176,-5.0,-1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0034518241882324,0.0,0.000295877456665,0.0031559467315673,0.0247938904953942,0.4983090805336176,-3.0,4,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.002479076385498,0.0,0.0001959800720214,0.0022830963134765,0.0,0.4983090805336176,-4.0,-1,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0020179748535156,0.0,0.0002119541168212,0.0018060207366943,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0017743110656738,0.0,6.818771362304688e-05,0.0017061233520507,0.0,0.4983090805336176,-6.0,-1,6,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0015399456024169,0.0,5.602836608886719e-05,0.0014839172363281,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0013439655303955,0.0,4.00543212890625e-05,0.0013039112091064,0.0360790473597515,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0018870830535888,0.0,0.0001490116119384,0.0017380714416503,0.0360790473597515,0.4983090805336176,-3.0,6,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0019481182098388,0.0,0.000241994857788,0.0017061233520507,0.0359252466076863,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0026307106018066,0.0,0.000201940536499,0.0024287700653076,0.0247938904953942,0.4983090805336176,-3.0,4,3,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0022468566894531,0.0,0.0002238750457763,0.0020229816436767,0.0247938904953942,0.4983090805336176,-5.0,1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0025227069854736,0.0,0.0001966953277587,0.0023260116577148,0.0247938904953942,0.4983090805336176,-5.0,1,5,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0015003681182861,0.0,5.91278076171875e-05,0.0014412403106689,0.0360790473597515,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0018208026885986,0.0,0.0001149177551269,0.0017058849334716,0.0360790473597515,0.4983090805336176,-4.0,12,4,4356,6,,,,,,,,,,,,,,0.1,0.1
del2ph,airport,continent,0.0014851093292236,0.0,6.103515625e-05,0.0014240741729736,0.0247938904953942,0.4983090805336176,-4.0,7,4,4356,6,,,,,,,,,,,,,,0.1,0.1
