method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsdel2ph,airport,continent,0.007638216018676758,0.0052280426025390625,0.0008392333984375,0.0015709400177001953,0.024793890495394266,0.49830908053361767,-3.0,4,3,4356,6,epsilon_m,L0
del2ph,tax,city,0.0054771900177001,0.0036461353302001,4.9114227294921875e-05,0.001781940460205,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0015652179718017,0.0,3.814697265625e-05,0.0015270709991455,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0018630027770996,0.0,3.2901763916015625e-05,0.0018301010131835,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0019621849060058,0.0,2.8133392333984375e-05,0.0019340515136718,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0021207332611083,0.0,2.694129943847656e-05,0.0020937919616699,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0036952495574951,0.0,2.5033950805664062e-05,0.0036702156066894,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0015347003936767,0.0,0.0001528263092041,0.0013818740844726,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0017287731170654,0.0,4.982948303222656e-05,0.0016789436340332,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0025577545166015,0.0,0.0001049041748046,0.0024528503417968,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.002643346786499,0.0,0.0001380443572998,0.0025053024291992,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0034685134887695,0.0,0.0002276897430419,0.0032408237457275,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0058057308197021,0.0,0.000248908996582,0.0055568218231201,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0043210983276367,0.0,0.0002121925354003,0.0041089057922363,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0033211708068847,0.0,0.0002071857452392,0.0031139850616455,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0042128562927246,0.0,0.0002558231353759,0.0039570331573486,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0040149688720703,0.0,0.0003349781036376,0.0036799907684326,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0033900737762451,0.0,0.0002899169921875,0.0031001567840576,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0028736591339111,0.0,0.0001568794250488,0.0027167797088623,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.002763032913208,0.0,0.0002188682556152,0.0025441646575927,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0019638538360595,0.0,0.0001509189605712,0.0018129348754882,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0018706321716308,0.0,0.0001835823059082,0.0016870498657226,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0022192001342773,0.0,0.0002310276031494,0.0019881725311279,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0023603439331054,0.0,0.0001263618469238,0.0022339820861816,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0025491714477539,0.0,0.0003211498260498,0.0022280216217041,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0036773681640625,0.0,0.0002281665802001,0.0034492015838623,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0024399757385253,0.0,0.0002968311309814,0.0021431446075439,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0019078254699707,0.0,0.0001940727233886,0.001713752746582,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0014858245849609,0.0,0.0001838207244873,0.0013020038604736,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0026781558990478,0.0,6.008148193359375e-05,0.0026180744171142,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0039658546447753,0.0,0.0002398490905761,0.0037260055541992,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0029139518737792,0.0,0.0004949569702148,0.0024189949035644,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0022041797637939,0.0,0.0004069805145263,0.0017971992492675,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.002047061920166,0.0,0.000241994857788,0.0018050670623779,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0017585754394531,0.0,0.0002455711364746,0.0015130043029785,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0016698837280273,0.0,0.0001358985900878,0.0015339851379394,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0020451545715332,0.0,0.0001811981201171,0.001863956451416,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0017108917236328,0.0,0.0001969337463378,0.0015139579772949,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0017523765563964,0.0,0.0002403259277343,0.0015120506286621,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0021266937255859,0.0,0.0001757144927978,0.001950979232788,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0041680335998535,0.0,0.0002591609954833,0.0039088726043701,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0027470588684082,0.0,0.0002110004425048,0.0025360584259033,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0020039081573486,0.0,0.0001740455627441,0.0018298625946044,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0018792152404785,0.0,0.0002062320709228,0.0016729831695556,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0020489692687988,0.0,0.0001688003540039,0.0018801689147949,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0020027160644531,0.0,0.0001497268676757,0.0018529891967773,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.001493215560913,0.0,0.0003151893615722,0.0011780261993408,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0015656948089599,0.0,0.0003228187561035,0.0012428760528564,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0024540424346923,0.0,0.0002570152282714,0.0021970272064208,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0017101764678955,0.0,0.0001921653747558,0.0015180110931396,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0026478767395019,0.0,0.0002050399780273,0.0024428367614746,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0030651092529296,0.0,0.0005559921264648,0.0025091171264648,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0042939186096191,0.0,0.0002927780151367,0.0040011405944824,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0025560855865478,0.0,0.0003769397735595,0.0021791458129882,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0016977787017822,0.0,0.0002298355102539,0.0014679431915283,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0019023418426513,0.0,0.0002422332763671,0.0016601085662841,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0017061233520507,0.0,0.0001699924468994,0.0015361309051513,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0022907257080078,0.0,0.0001757144927978,0.0021150112152099,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0016422271728515,0.0,0.000129222869873,0.0015130043029785,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.001683235168457,0.0,0.0001132488250732,0.0015699863433837,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0018157958984375,0.0,0.0001337528228759,0.0016820430755615,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
del2ph,tax,city,0.0015790462493896,0.0,0.0001001358032226,0.0014789104461669,0.0,0.5548418449270073,-3.0,-1,3,989,3,,,,,,,,,,,,,,0.1,0.1
