method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,tax,city,0.003271818161010742,0.0003707408905029297,0.0003771781921386719,0.0025238990783691406,0.0,Unnamed: 21,-3.0,1,3,201,3.1,epsilon_m,L0
marginal_em,tax,city,0.0034472942352294,0.0003421306610107,0.0004212856292724,0.0026838779449462,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0037200450897216,0.0003840923309326,0.0004549026489257,0.0028810501098632,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.004256248474121,0.0005171298980712,0.0004439353942871,0.0032951831817626,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0040929317474365,0.0004222393035888,0.0004198551177978,0.0032508373260498,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0057930946350097,0.000568151473999,0.0006237030029296,0.004601240158081,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048019886016845,0.0005717277526855,0.0007193088531494,0.0035109519958496,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0052294731140136,0.0006515979766845,0.0007150173187255,0.0038628578186035,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.005070686340332,0.0004220008850097,0.001227855682373,0.0034208297729492,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0058917999267578,0.000762939453125,0.0009348392486572,0.0041940212249755,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048832893371582,0.0005922317504882,0.0008089542388916,0.0034821033477783,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.004300832748413,0.0004730224609375,0.0005667209625244,0.0032610893249511,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050258636474609,0.0005049705505371,0.0007538795471191,0.0037670135498046,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0041267871856689,0.0006148815155029,0.0006690025329589,0.002842903137207,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0051500797271728,0.0005159378051757,0.0005660057067871,0.0040681362152099,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050439834594726,0.0004332065582275,0.0006196498870849,0.0039911270141601,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050008296966552,0.0004279613494873,0.0009160041809082,0.0036568641662597,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.004929780960083,0.000483751296997,0.0008101463317871,0.0036358833312988,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0047121047973632,0.0003910064697265,0.0005991458892822,0.0037219524383544,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0051629543304443,0.0006768703460693,0.0008270740509033,0.0036590099334716,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.006221055984497,0.0004770755767822,0.0007359981536865,0.0050079822540283,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0038120746612548,0.0005590915679931,0.0006790161132812,0.0025739669799804,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0033631324768066,0.0004372596740722,0.0006639957427978,0.0022618770599365,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0025482177734375,0.0001730918884277,0.0002110004425048,0.0021641254425048,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0037837028503417,0.0002729892730712,0.0004527568817138,0.0030579566955566,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0042638778686523,0.0006299018859863,0.0008389949798583,0.0027949810028076,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
