Dataset,Mechanism,Total Budget (tau),Best ε_m,Best L0,Best Mask Improvement (%),Worst ε_m,Worst L0,Worst Mask Improvement (%)
airport,Exp,0.15,1.0,0.05,54.8,2.0,0.025,39.6
airport,Exp,0.32,2.0,0.05,59.6,0.1,0.3,39.8
airport,Exp,0.52,1.0,0.3,75.6,0.1,0.5,53.2
airport,Exp,0.73,1.0,0.5,93.8,0.1,0.7,53.2
hospital,Exp,0.15,1.0,0.05,21.89,2.0,0.025,11.11
hospital,Exp,0.32,0.1,0.3,40.78,1.5,0.1,22.22
hospital,Exp,0.52,0.5,0.4,71.11,1.5,0.2,33.33
hospital,Exp,0.73,0.75,0.6,86.44,2.5,0.2,33.33
adult,Exp,0.15,0.5,0.1,63.11,2.0,0.025,44.44
adult,Exp,0.32,0.75,0.2,77.11,0.1,0.3,48.22
adult,Exp,0.52,1.0,0.3,88.89,0.1,0.5,54.11
adult,Exp,0.73,1.0,0.5,99.89,0.1,0.7,53.0
flight,Exp,0.15,0.5,0.1,33.91,1.0,0.05,0.0
flight,Exp,0.32,0.75,0.2,81.09,2.0,0.05,0.0
flight,Exp,0.52,1.5,0.2,81.82,0.1,0.5,47.27
flight,Exp,0.73,1.5,0.4,81.82,0.1,0.7,46.73
tax,Exp,0.15,0.5,0.1,0.0,0.5,0.1,0.0
tax,Exp,0.32,0.1,0.3,16.33,0.5,0.2,0.0
tax,Exp,0.52,0.5,0.4,48.0,1.5,0.2,0.0
tax,Exp,0.73,0.75,0.6,75.0,2.5,0.2,0.0
airport,Gum,0.15,2.0,0.025,39.8,0.5,0.1,34.4
airport,Gum,0.32,0.75,0.2,58.2,1.5,0.1,39.4
airport,Gum,0.52,1.0,0.3,79.0,0.1,0.5,54.4
airport,Gum,0.73,1.0,0.5,98.6,2.5,0.2,60.0
hospital,Gum,0.15,1.0,0.05,0.0,0.5,0.1,-0.78
hospital,Gum,0.32,0.1,0.3,55.56,1.5,0.1,0.0
hospital,Gum,0.52,0.5,0.4,76.78,1.5,0.2,11.11
hospital,Gum,0.73,0.75,0.6,88.89,2.5,0.2,11.11
adult,Gum,0.15,0.5,0.1,54.89,1.0,0.05,33.22
adult,Gum,0.32,0.1,0.3,75.78,2.0,0.05,33.33
adult,Gum,0.52,1.0,0.3,88.89,1.5,0.2,66.67
adult,Gum,0.73,1.0,0.5,100.0,2.5,0.2,66.67
flight,Gum,0.15,0.5,0.1,-18.18,0.5,0.1,-18.18
flight,Gum,0.32,0.75,0.2,81.73,1.5,0.1,-18.18
flight,Gum,0.52,1.5,0.2,81.82,0.1,0.5,72.27
flight,Gum,0.73,1.0,0.5,81.82,0.1,0.7,71.45
tax,Gum,0.15,0.5,0.1,0.0,0.5,0.1,0.0
tax,Gum,0.32,0.1,0.3,0.0,0.1,0.3,0.0
tax,Gum,0.52,0.5,0.4,47.67,1.0,0.3,0.0
tax,Gum,0.73,0.75,0.6,84.33,2.0,0.3,0.0
