method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,airport,continent,0,1000,0.025,0.002309083938598633,0.0,0.0005559921264648438,0.001753091812133789,0.40707400180527975,0.49830908053361767,-1004.0,-1,4,3057,6
del2ph,airport,continent,0,1000,0.025,0.0022919178009033203,0.0,0.00013494491577148438,0.002156972885131836,0.4236357747645122,0.49830908053361767,-1003.0,-1,3,3057,6
del2ph,airport,continent,0,1000,0.025,0.002454519271850586,0.0,0.00019884109497070312,0.002255678176879883,0.10235490787551138,0.49830908053361767,-1005.0,-1,5,3057,6
del2ph,airport,continent,0,1000,0.025,0.0021550655364990234,0.0,0.00021505355834960938,0.001940011978149414,0.4236357747645122,0.49830908053361767,-1003.0,-1,3,3057,6
del2ph,airport,continent,0,1000,0.025,0.002071857452392578,0.0,0.00010275840759277344,0.0019690990447998047,0.03592524660768637,0.49830908053361767,-1004.0,-1,4,3057,6
del2ph,airport,continent,0,1000,0.025,0.0022728443145751953,0.0,0.00015592575073242188,0.0021169185638427734,0.0,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0,1000,0.025,0.002480745315551758,0.0,0.00014781951904296875,0.002332925796508789,0.40778672427873675,0.49830908053361767,-1003.0,-1,3,3057,6
del2ph,airport,continent,0,1000,0.025,0.001802682876586914,0.0,0.00015592575073242188,0.0016467571258544922,0.12466526184245019,0.49830908053361767,-1002.0,-1,2,3057,6
del2ph,airport,continent,0,1000,0.025,0.0021431446075439453,0.0,0.0001780986785888672,0.001965045928955078,0.4236357747645122,0.49830908053361767,-1001.0,-1,1,3057,6
del2ph,airport,continent,0,1000,0.025,0.001917123794555664,0.0,0.00013208389282226562,0.0017850399017333984,0.024793890495394266,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0,1000,0.025,0.0022029876708984375,0.0,0.00015401840209960938,0.002048969268798828,0.4070950471803544,0.49830908053361767,-1004.0,-1,4,3057,6
del2ph,airport,continent,0,1000,0.025,0.0027494430541992188,0.0,0.00021028518676757812,0.0025391578674316406,0.024793890495394266,0.49830908053361767,-4.0,-1,4,3057,6
del2ph,airport,continent,0,1000,0.025,0.0023729801177978516,0.0,0.00017714500427246094,0.0021958351135253906,0.49830908053361767,0.49830908053361767,-1003.0,-1,3,3057,6
del2ph,airport,continent,0,1000,0.025,0.0027039051055908203,0.0,0.00017905235290527344,0.002524852752685547,0.03607904735975154,0.49830908053361767,-1004.0,-1,4,3057,6
del2ph,airport,continent,0,1000,0.025,0.002996206283569336,0.0,0.00016021728515625,0.002835988998413086,0.23807295734272593,0.49830908053361767,-1002.0,-1,2,3057,6
