method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,flight,FlightDate,0,1000,0.025,0.005337953567504883,0.0,0.0005719661712646484,0.004765987396240234,0.9826408586840785,0.9826408586840785,-1007.0,-1,7,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.0025827884674072266,0.0,0.0005700588226318359,0.0020127296447753906,0.9680567115073361,0.9826408586840785,-1007.0,-1,7,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.004470348358154297,0.0,0.0015952587127685547,0.002875089645385742,0.9680567115073361,0.9826408586840785,-1004.0,-1,4,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.0035600662231445312,0.0,0.0012869834899902344,0.002273082733154297,0.9680567115073361,0.9826408586840785,-1006.0,-1,6,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.0036008358001708984,0.0,0.0014688968658447266,0.002131938934326172,0.7637041577312637,0.9826408586840785,-1004.0,-1,4,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.005151271820068359,0.0,0.001316070556640625,0.0038352012634277344,0.9680567115073361,0.9826408586840785,-1007.0,-1,7,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.0033957958221435547,0.0,0.0016548633575439453,0.0017409324645996094,0.9680567115073361,0.9826408586840785,-1007.0,-1,7,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.003429889678955078,0.0,0.0010218620300292969,0.0024080276489257812,0.9826408586840785,0.9826408586840785,-1006.0,-1,6,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.004748106002807617,0.0,0.001811981201171875,0.002936124801635742,0.9680567115073361,0.9826408586840785,-1006.0,-1,6,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.005334138870239258,0.0,0.0019750595092773438,0.003359079360961914,0.9826408586840785,0.9826408586840785,-1004.0,-1,4,473685,13
del2ph,flight,FlightDate,0,1000,0.025,0.0037980079650878906,0.0,0.0013339519500732422,0.0024640560150146484,0.9680567115073361,0.9826408586840785,-1008.0,-1,8,473685,13
