method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em,airport,continent,0,1000,0.025,0.008857965469360352,0.0044879913330078125,0.0024068355560302734,0.0019631385803222656,0.0,,-6.0,2,6,458,6
marginal_em,airport,continent,0,1000,0.025,0.0022020339965820312,0.0002307891845703125,0.00034308433532714844,0.0016281604766845703,0.024793890495394266,,-3.0,2,3,458,6
marginal_em,airport,continent,0,1000,0.025,0.0033957958221435547,0.0003457069396972656,0.0006041526794433594,0.0024459362030029297,0.0,,-6.0,2,6,458,6
marginal_em,airport,continent,0,1000,0.025,0.0032105445861816406,0.00047779083251953125,0.0006756782531738281,0.0020570755004882812,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em,airport,continent,0,1000,0.025,0.004580974578857422,0.0003342628479003906,0.0019118785858154297,0.0023348331451416016,0.12466526184245019,,-1002.0,2,2,458,6
marginal_em,airport,continent,0,1000,0.025,0.003049135208129883,0.0003349781036376953,0.0006721019744873047,0.002042055130004883,0.024793890495394266,,-5.0,2,5,458,6
marginal_em,airport,continent,0,1000,0.025,0.0025315284729003906,0.00035691261291503906,0.0006308555603027344,0.0015437602996826172,0.0,,-6.0,2,6,458,6
marginal_em,airport,continent,0,1000,0.025,0.002850055694580078,0.00035309791564941406,0.0006530284881591797,0.0018439292907714844,0.12466526184245019,,-1002.0,2,2,458,6
marginal_em,airport,continent,0,1000,0.025,0.0030510425567626953,0.0008730888366699219,0.0005559921264648438,0.0016219615936279297,0.024793890495394266,,-3.0,2,3,458,6
marginal_em,airport,continent,0,1000,0.025,0.0037136077880859375,0.00039076805114746094,0.000644683837890625,0.0026781558990478516,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em,airport,continent,0,1000,0.025,0.0026397705078125,0.0004589557647705078,0.0004868507385253906,0.0016939640045166016,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em,airport,continent,0,1000,0.025,0.003210783004760742,0.0003807544708251953,0.0006561279296875,0.002173900604248047,0.23807295734272593,,-1001.0,2,1,458,6
marginal_em,airport,continent,0,1000,0.025,0.0034542083740234375,0.0007071495056152344,0.0009489059448242188,0.0017981529235839844,0.12466526184245019,,-1002.0,2,2,458,6
marginal_em,airport,continent,0,1000,0.025,0.0024366378784179688,0.0003116130828857422,0.0005240440368652344,0.0016009807586669922,0.0,,-6.0,2,6,458,6
