method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.03247213363647461,0.005482912063598633,0.024893999099731445,0.0020952224731445312,0.0,,-10.0,4,10,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.02031540870666504,0.0008742809295654297,0.017175912857055664,0.0022652149200439453,0.24175913958548945,,-1003.0,4,3,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018886089324951172,0.0008180141448974609,0.01643991470336914,0.0016281604766845703,0.16101836952116722,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018929719924926758,0.0008409023284912109,0.016598939895629883,0.001489877700805664,0.3592419527878562,,-1002.0,4,2,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01919102668762207,0.0008499622344970703,0.016683101654052734,0.0016579627990722656,0.21945273335876703,,-1005.0,4,5,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018863201141357422,0.0007994174957275391,0.016444921493530273,0.0016188621520996094,0.018199449314831084,,-8.0,4,8,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.019108057022094727,0.0007939338684082031,0.01635599136352539,0.001958131790161133,0.0,,-10.0,4,10,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.019379377365112305,0.0008449554443359375,0.01687026023864746,0.0016641616821289062,0.0,,-10.0,4,10,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.019781112670898438,0.0008187294006347656,0.017132043838500977,0.0018303394317626953,0.16101836952116722,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018805742263793945,0.0008068084716796875,0.016445159912109375,0.0015537738800048828,0.5053837288882768,,-1001.0,4,1,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.019299030303955078,0.0008649826049804688,0.0166928768157959,0.001741170883178711,0.21945273335876703,,-1004.0,4,4,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018996000289916992,0.0008068084716796875,0.01640915870666504,0.0017800331115722656,0.21945273335876703,,-1005.0,4,5,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.019016027450561523,0.0007979869842529297,0.016623973846435547,0.0015940666198730469,0.0002521225070323263,,-9.0,4,9,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.019180774688720703,0.0008180141448974609,0.016592741012573242,0.00177001953125,0.0,,-10.0,4,10,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018615245819091797,0.0007979869842529297,0.01651310920715332,0.0013041496276855469,0.16101836952116722,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.018916845321655273,0.0008041858673095703,0.0164029598236084,0.0017096996307373047,0.0002521225070323263,,-9.0,4,9,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01882648468017578,0.0007848739624023438,0.016468286514282227,0.001573324203491211,0.0002521225070323263,,-9.0,4,9,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01921224594116211,0.0008029937744140625,0.016547203063964844,0.0018620491027832031,0.21945273335876703,,-1006.0,4,6,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01914215087890625,0.0008273124694824219,0.016626834869384766,0.0016880035400390625,0.24175913958548945,,-1003.0,4,3,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01910543441772461,0.0008392333984375,0.016638994216918945,0.001627206802368164,0.16101836952116722,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.029819011688232422,0.0007927417755126953,0.02735114097595215,0.0016751289367675781,0.6623992294064142,,-1000.0,4,0,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.0190889835357666,0.0008237361907958984,0.01665210723876953,0.0016131401062011719,0.6623992294064142,,-1000.0,4,0,1823,10
