method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em,tax,city,0,1000,0.025,0.006481170654296875,0.0028481483459472656,0.0006339550018310547,0.0029990673065185547,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.004325151443481445,0.0006937980651855469,0.0008063316345214844,0.002825021743774414,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.002620220184326172,0.00030803680419921875,0.00036215782165527344,0.0019500255584716797,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.0039141178131103516,0.0006401538848876953,0.0007910728454589844,0.002482891082763672,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.002299070358276367,0.00026607513427734375,0.0003159046173095703,0.0017170906066894531,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.005262851715087891,0.0006687641143798828,0.0007457733154296875,0.0038483142852783203,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.004081249237060547,0.00032782554626464844,0.0008902549743652344,0.002863168716430664,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.003821849822998047,0.0005588531494140625,0.0007240772247314453,0.002538919448852539,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.0038764476776123047,0.0003762245178222656,0.0006921291351318359,0.002808094024658203,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.002897977828979492,0.0004889965057373047,0.0005030632019042969,0.0019059181213378906,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.0032491683959960938,0.0006070137023925781,0.0005919933319091797,0.002050161361694336,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.0027780532836914062,0.00036597251892089844,0.000308990478515625,0.002103090286254883,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.002017974853515625,0.0002529621124267578,0.00030303001403808594,0.0014619827270507812,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.0023779869079589844,0.0002627372741699219,0.00047016143798828125,0.0016450881958007812,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.004326343536376953,0.00041222572326660156,0.0004849433898925781,0.0034291744232177734,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.0021445751190185547,0.00025391578674316406,0.0003399848937988281,0.0015506744384765625,0.2290091161470067,,-1002.0,1,2,201,3
marginal_em,tax,city,0,1000,0.025,0.0021622180938720703,0.00028586387634277344,0.0003292560577392578,0.001547098159790039,0.2290091161470067,,-1002.0,1,2,201,3
marginal_em,tax,city,0,1000,0.025,0.002504110336303711,0.0002620220184326172,0.00030994415283203125,0.0019321441650390625,0.2290091161470067,,-1002.0,1,2,201,3
marginal_em,tax,city,0,1000,0.025,0.0024399757385253906,0.000553131103515625,0.00043892860412597656,0.001447916030883789,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.003438711166381836,0.0005459785461425781,0.0005438327789306641,0.0023488998413085938,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.004122018814086914,0.0009100437164306641,0.0008759498596191406,0.0023360252380371094,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.003627777099609375,0.0005218982696533203,0.0007259845733642578,0.002379894256591797,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.003670215606689453,0.0005052089691162109,0.0006737709045410156,0.0024912357330322266,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.002917766571044922,0.00021982192993164062,0.0002961158752441406,0.0024018287658691406,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.0034101009368896484,0.0005450248718261719,0.000640869140625,0.0022242069244384766,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.004090070724487305,0.0005900859832763672,0.0009410381317138672,0.0025589466094970703,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.003278017044067383,0.0002570152282714844,0.0004570484161376953,0.002563953399658203,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.0032143592834472656,0.00034308433532714844,0.0005533695220947266,0.0023179054260253906,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.003019094467163086,0.00034308433532714844,0.0005240440368652344,0.002151966094970703,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.003937959671020508,0.0005669593811035156,0.0007929801940917969,0.0025780200958251953,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.0043849945068359375,0.000782012939453125,0.0008580684661865234,0.002744913101196289,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.004807233810424805,0.0007431507110595703,0.0008459091186523438,0.0032181739807128906,0.2290091161470067,,-1002.0,1,2,201,3
marginal_em,tax,city,0,1000,0.025,0.004475116729736328,0.0005278587341308594,0.0009641647338867188,0.00298309326171875,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.0042340755462646484,0.0005810260772705078,0.0009949207305908203,0.0026581287384033203,0.2290091161470067,,-1002.0,1,2,201,3
marginal_em,tax,city,0,1000,0.025,0.003164052963256836,0.0005369186401367188,0.0006818771362304688,0.0019452571868896484,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em,tax,city,0,1000,0.025,0.004136800765991211,0.0006029605865478516,0.0008730888366699219,0.0026607513427734375,0.3057912208405609,,-1001.0,1,1,201,3
marginal_em,tax,city,0,1000,0.025,0.003968954086303711,0.0003902912139892578,0.0006468296051025391,0.002931833267211914,0.0,,-3.0,1,3,201,3
marginal_em,tax,city,0,1000,0.025,0.0040972232818603516,0.00036406517028808594,0.0005550384521484375,0.003178119659423828,0.2290091161470067,,-1002.0,1,2,201,3
marginal_em,tax,city,0,1000,0.025,0.004980802536010742,0.0010979175567626953,0.0008299350738525391,0.003052949905395508,0.0,,-3.0,1,3,201,3
