method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0044772624969482,0.0,9.512901306152344e-05,0.0043821334838867,0.0,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0016248226165771,0.0,6.4849853515625e-05,0.0015599727630615,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0016460418701171,0.0,9.512901306152344e-05,0.0015509128570556,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0014548301696777,0.0,7.104873657226562e-05,0.0013837814331054,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0014996528625488,0.0,7.486343383789062e-05,0.0014247894287109,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.001439094543457,0.0,6.699562072753906e-05,0.0013720989227294,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0014739036560058,0.0,6.008148193359375e-05,0.0014138221740722,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0015428066253662,0.0,6.389617919921875e-05,0.0014789104461669,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0015349388122558,0.0,5.793571472167969e-05,0.0014770030975341,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0014679431915283,0.0,5.602836608886719e-05,0.0014119148254394,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0013878345489501,0.0,5.2928924560546875e-05,0.0013349056243896,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0015888214111328,0.0,6.29425048828125e-05,0.00152587890625,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0025200843811035,0.0,0.0002808570861816,0.0022392272949218,0.0,0.6623992294064142,-10.0,-1,10,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0027260780334472,0.0,0.0002970695495605,0.0024290084838867,0.0,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0026910305023193,0.0,0.0002920627593994,0.0023989677429199,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0038020610809326,0.0,0.0004298686981201,0.0033721923828125,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0023117065429687,0.0,0.0003778934478759,0.0019338130950927,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0025582313537597,0.0,0.000309944152832,0.0022482872009277,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0031309127807617,0.0,0.000356912612915,0.0027740001678466,0.018182333338914,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0030951499938964,0.0,0.0003101825714111,0.0027849674224853,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0025608539581298,0.0,0.0004360675811767,0.0021247863769531,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0027787685394287,0.0,0.0004248619079589,0.0023539066314697,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0044529438018798,0.0,0.0003409385681152,0.0041120052337646,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0024111270904541,0.0,0.0003330707550048,0.0020780563354492,0.018182333338914,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0027077198028564,0.0,0.0003917217254638,0.0023159980773925,0.018182333338914,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0027248859405517,0.0,0.0003108978271484,0.0024139881134033,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0030550956726074,0.0,0.0003430843353271,0.0027120113372802,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0035097599029541,0.0,0.0003969669342041,0.00311279296875,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0029106140136718,0.0,0.0003724098205566,0.0025382041931152,0.018182333338914,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0031452178955078,0.0,0.0006530284881591,0.0024921894073486,0.018182333338914,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0038707256317138,0.0,0.0004677772521972,0.0034029483795166,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0022459030151367,0.0,0.0002999305725097,0.0019459724426269,0.0,0.6623992294064142,-10.0,-1,10,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0031168460845947,0.0,0.0004258155822753,0.0026910305023193,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0029349327087402,0.0,0.0003259181976318,0.0026090145111083,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0030961036682128,0.0,0.0004031658172607,0.0026929378509521,0.0,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0022530555725097,0.0,0.0002510547637939,0.0020020008087158,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0028431415557861,0.0,0.0003511905670166,0.0024919509887695,0.0,0.6623992294064142,-10.0,-1,10,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0025477409362792,0.0,0.000356912612915,0.0021908283233642,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0029108524322509,0.0,0.0003867149353027,0.0025241374969482,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0017108917236328,0.0,8.988380432128906e-05,0.0016210079193115,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0013971328735351,0.0,9.202957153320312e-05,0.0013051033020019,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0037164688110351,0.0,0.0001642704010009,0.0035521984100341,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0021021366119384,0.0,0.0001840591430664,0.001918077468872,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0019190311431884,0.0,0.0001828670501708,0.0017361640930175,0.0,0.6623992294064142,-10.0,-1,10,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.001896858215332,0.0,0.0001928806304931,0.0017039775848388,0.0,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0021581649780273,0.0,0.0002341270446777,0.0019240379333496,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0018961429595947,0.0,0.0001859664916992,0.0017101764678955,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0024912357330322,0.0,0.0003590583801269,0.0021321773529052,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0019099712371826,0.0,0.0002350807189941,0.0016748905181884,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0025262832641601,0.0,0.0003981590270996,0.0021281242370605,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0018336772918701,0.0,0.0001988410949707,0.0016348361968994,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0022141933441162,0.0,0.000378131866455,0.0018360614776611,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0025978088378906,0.0,0.000417947769165,0.0021798610687255,0.0,0.6623992294064142,-10.0,-1,10,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0023648738861083,0.0,0.0003929138183593,0.001971960067749,0.0002521225070323,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0017709732055664,0.0,0.0002219676971435,0.0015490055084228,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0022439956665039,0.0,0.0002760887145996,0.0019679069519042,0.0,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.001871109008789,0.0,0.0002968311309814,0.0015742778778076,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.001878023147583,0.0,0.0002648830413818,0.0016131401062011,0.0291676509990471,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0027458667755126,0.0,0.0004539489746093,0.0022919178009033,0.0,0.6623992294064142,-10.0,-1,10,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0027003288269042,0.0,0.000284194946289,0.0024161338806152,0.0409607458081271,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.001857042312622,0.0,0.0002260208129882,0.0016310214996337,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.1,0.0021779537200927,0.0,0.0002970695495605,0.0018808841705322,0.0355442779373305,0.6623992294064142,-8.0,-1,8,54661,10
