method,dataset,avg_mask_size,mask_improvement_percent,avg_leakage,leakage_ci_lower,leakage_ci_upper,avg_deletion_ratio,avg_efficiency,avg_time_ms,avg_memory_bytes,avg_paths
min,airport,4.0,0.0,0.0,0.0,0.0,0.6666666666666669,0.19999999999999996,10.867543220519966,1097.0,0.0
min,hospital,9.0,0.0,0.0,0.0,0.0,0.9000000000000005,0.09999999999999998,20.969917774200397,2884.0,0.0
min,adult,9.0,0.0,0.0,0.0,0.0,0.75,0.09999999999999998,36.01096391677852,5611.19,0.0
min,flight,11.0,0.0,0.0,0.0,0.0,0.8461538461538458,0.08333333333333336,61.02660417556759,6924.0,0.0
min,tax,3.0,0.0,0.0,0.0,0.0,1.0,0.25,7.541131973266552,560.0,0.0
exp,airport,3.15,21.250000000000004,0.10928050733318984,0.09086835769383146,0.12769265697254822,0.525,0.22986980375734314,1.5331363677977972,3057.0,-1.0
exp,hospital,4.86,45.99999999999999,0.3189766309536667,0.30646600464152707,0.3314872572658063,0.486,0.12047635973755344,3.446424007415726,54661.0,-1.0
exp,adult,4.43,50.77777777777778,0.2106130692501763,0.1880440901288813,0.23318204837147133,0.36916666666666664,0.1548607898343373,1.9553804397582506,231901.0,-1.0
exp,flight,5.89,46.45454545454546,0.17085258925751912,0.16349025385229424,0.178214924662744,0.45307692307692315,0.12676020518811876,4.556958675384466,473685.0,-1.0
exp,tax,1.97,34.333333333333336,0.22159834526438246,0.19881084237843494,0.24438584815033,0.6566666666666666,0.26941188811298433,2.2510862350463388,619.0,-1.0
gumbel,airport,2.72,31.999999999999996,0.10615104871524285,0.08738340579227069,0.12491869163821501,0.4533333333333334,0.2744278507247077,3.5982799530028804,458.0,2.0
gumbel,hospital,3.61,59.888888888888886,0.3026613516200343,0.28740100770850047,0.3179216955315682,0.361,0.16753621323665432,18.96702527999873,1823.0,4.0
gumbel,adult,2.52,72.0,0.20044270038461595,0.18183627440757733,0.21904912636165458,0.21,0.27153818414240505,61.40030384063717,2858.0,7.0
gumbel,flight,2.87,73.90909090909089,0.1759551458680985,0.17564021464468765,0.17627007709150933,0.22076923076923072,0.22750521448495092,438.65429401397705,5949.0,3.0
gumbel,tax,1.91,36.333333333333336,0.21711176679679822,0.18977849246622294,0.2444450411273735,0.6366666666666667,0.28076263374783167,3.3890318870543923,201.0,1.0
