Mask Size 0 Mask set() Leakage 0.4912255474440431
Mask Size 1 Mask {'age'} Leakage 0.48390655849303243
Mask Size 1 Mask {'capital_gain'} Leakage 0.44119241053623615
Mask Size 1 Mask {'capital_loss'} Leakage 0.4912255474440431
Mask Size 1 Mask {'class'} Leakage 0.4421302651304688
Mask Size 1 Mask {'education_num'} Leakage 0.46042813003242167
Mask Size 1 Mask {'hours_per_week'} Leakage 0.4912255474440431
Mask Size 1 Mask {'marital_status'} Leakage 0.4912255474440431
Mask Size 1 Mask {'native_country'} Leakage 0.3969281531160326
Mask Size 1 Mask {'occupation'} Leakage 0.4912255474440431
Mask Size 1 Mask {'race'} Leakage 0.4912255474440431
Mask Size 1 Mask {'relationship'} Leakage 0.3876575545157146
Mask Size 1 Mask {'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'age', 'capital_gain'} Leakage 0.43736415669853557
Mask Size 2 Mask {'age', 'capital_loss'} Leakage 0.4839317246711282
Mask Size 2 Mask {'age', 'class'} Leakage 0.4341050146386227
Mask Size 2 Mask {'age', 'education_num'} Leakage 0.4527523729267935
Mask Size 2 Mask {'age', 'hours_per_week'} Leakage 0.48392620978159184
Mask Size 2 Mask {'age', 'marital_status'} Leakage 0.48447398909222794
Mask Size 2 Mask {'age', 'native_country'} Leakage 0.38825264639230594
Mask Size 2 Mask {'age', 'occupation'} Leakage 0.48390655849303243
Mask Size 2 Mask {'age', 'race'} Leakage 0.483913191052453
Mask Size 2 Mask {'age', 'relationship'} Leakage 0.3854242869319815
Mask Size 2 Mask {'age', 'sex'} Leakage 0.26384839770732416
Mask Size 2 Mask {'capital_loss', 'capital_gain'} Leakage 0.4509615589922883
Mask Size 2 Mask {'capital_gain', 'class'} Leakage 0.4032957695576078
Mask Size 2 Mask {'capital_gain', 'education_num'} Leakage 0.4104707532910399
Mask Size 2 Mask {'hours_per_week', 'capital_gain'} Leakage 0.45227859648556834
Mask Size 2 Mask {'capital_gain', 'marital_status'} Leakage 0.3840032729145847
Mask Size 2 Mask {'capital_gain', 'native_country'} Leakage 0.38607319087108916
Mask Size 2 Mask {'occupation', 'capital_gain'} Leakage 0.44119241053623615
Mask Size 2 Mask {'capital_gain', 'race'} Leakage 0.4419942753939222
Mask Size 2 Mask {'relationship', 'capital_gain'} Leakage 0.12413500321044513
Mask Size 2 Mask {'capital_gain', 'sex'} Leakage 0.23918590959922814
Mask Size 2 Mask {'capital_loss', 'class'} Leakage 0.4424367964455269
Mask Size 2 Mask {'capital_loss', 'education_num'} Leakage 0.46046277809509195
Mask Size 2 Mask {'hours_per_week', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'native_country'} Leakage 0.40027545116798646
Mask Size 2 Mask {'occupation', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'capital_loss'} Leakage 0.38861661219322874
Mask Size 2 Mask {'capital_loss', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'education_num', 'class'} Leakage 0.40850223977961175
Mask Size 2 Mask {'hours_per_week', 'class'} Leakage 0.44223887901283754
Mask Size 2 Mask {'marital_status', 'class'} Leakage 0.44962268479175194
Mask Size 2 Mask {'native_country', 'class'} Leakage 0.3659163513198489
Mask Size 2 Mask {'occupation', 'class'} Leakage 0.4421302651304688
Mask Size 2 Mask {'race', 'class'} Leakage 0.4422648068725308
Mask Size 2 Mask {'relationship', 'class'} Leakage 0.33767484007115856
Mask Size 2 Mask {'sex', 'class'} Leakage 0.20488153303225753
Mask Size 2 Mask {'hours_per_week', 'education_num'} Leakage 0.4604477303905746
Mask Size 2 Mask {'education_num', 'marital_status'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'native_country'} Leakage 0.36047651096201316
Mask Size 2 Mask {'occupation', 'education_num'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'race'} Leakage 0.46053677277980687
Mask Size 2 Mask {'relationship', 'education_num'} Leakage 0.35586534552810667
Mask Size 2 Mask {'education_num', 'sex'} Leakage 0.26298439687777797
Mask Size 2 Mask {'hours_per_week', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'occupation', 'hours_per_week'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'hours_per_week'} Leakage 0.3876575545157146
Mask Size 2 Mask {'hours_per_week', 'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'native_country', 'marital_status'} Leakage 0.3979672789901215
Mask Size 2 Mask {'occupation', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'marital_status'} Leakage 0.2727656282026826
Mask Size 2 Mask {'sex', 'marital_status'} Leakage 0.293584189251586
Mask Size 2 Mask {'occupation', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'native_country', 'race'} Leakage 0.39759034718430664
Mask Size 2 Mask {'relationship', 'native_country'} Leakage 0.2907061934465176
Mask Size 2 Mask {'sex', 'native_country'} Leakage 0.13622427654319103
Mask Size 2 Mask {'occupation', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'occupation', 'relationship'} Leakage 0.4074419571733059
Mask Size 2 Mask {'occupation', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'relationship', 'race'} Leakage 0.3876575545157146
Mask Size 2 Mask {'sex', 'race'} Leakage 0.2726821726489277
Mask Size 2 Mask {'relationship', 'sex'} Leakage 0.2685467517834049
Mask Size 3 Mask {'age', 'capital_gain', 'capital_loss'} Leakage 0.4465650350312288
Mask Size 3 Mask {'age', 'capital_gain', 'class'} Leakage 0.39882177278765873
Mask Size 3 Mask {'age', 'capital_gain', 'education_num'} Leakage 0.40636245149318784
Mask Size 3 Mask {'age', 'hours_per_week', 'capital_gain'} Leakage 0.44780662321167464
Mask Size 3 Mask {'age', 'capital_gain', 'marital_status'} Leakage 0.3884433438927941
Mask Size 3 Mask {'age', 'capital_gain', 'native_country'} Leakage 0.3807234603398624
Mask Size 3 Mask {'age', 'occupation', 'capital_gain'} Leakage 0.43736415669853557
Mask Size 3 Mask {'age', 'capital_gain', 'race'} Leakage 0.44350438935961045
Mask Size 3 Mask {'age', 'relationship', 'capital_gain'} Leakage 0.14386656997677605
Mask Size 3 Mask {'age', 'capital_gain', 'sex'} Leakage 0.23496232276474371
Mask Size 3 Mask {'age', 'capital_loss', 'class'} Leakage 0.43445021461511146
Mask Size 3 Mask {'age', 'capital_loss', 'education_num'} Leakage 0.45279581753154563
Mask Size 3 Mask {'age', 'hours_per_week', 'capital_loss'} Leakage 0.48395202391850733
Mask Size 3 Mask {'age', 'capital_loss', 'marital_status'} Leakage 0.48455166832797136
Mask Size 3 Mask {'age', 'capital_loss', 'native_country'} Leakage 0.39174618756594604
Mask Size 3 Mask {'age', 'occupation', 'capital_loss'} Leakage 0.4839317246711282
Mask Size 3 Mask {'age', 'capital_loss', 'race'} Leakage 0.48393962880690544
Mask Size 3 Mask {'age', 'relationship', 'capital_loss'} Leakage 0.3864597824872359
Mask Size 3 Mask {'age', 'capital_loss', 'sex'} Leakage 0.2658655086647318
Mask Size 3 Mask {'age', 'education_num', 'class'} Leakage 0.40009603458470133
Mask Size 3 Mask {'age', 'hours_per_week', 'class'} Leakage 0.4342419521004196
Mask Size 3 Mask {'age', 'marital_status', 'class'} Leakage 0.4426729207835076
Mask Size 3 Mask {'age', 'native_country', 'class'} Leakage 0.35679472346414165
Mask Size 3 Mask {'age', 'occupation', 'class'} Leakage 0.4341050146386227
Mask Size 3 Mask {'age', 'race', 'class'} Leakage 0.4342509440840602
Mask Size 3 Mask {'age', 'relationship', 'class'} Leakage 0.3358372145880798
Mask Size 3 Mask {'age', 'sex', 'class'} Leakage 0.1956500603666207
Mask Size 3 Mask {'age', 'hours_per_week', 'education_num'} Leakage 0.45279410585388713
Mask Size 3 Mask {'age', 'education_num', 'marital_status'} Leakage 0.4533261758134983
Mask Size 3 Mask {'age', 'education_num', 'native_country'} Leakage 0.35138192864031104
Mask Size 3 Mask {'age', 'occupation', 'education_num'} Leakage 0.4527523729267935
Mask Size 3 Mask {'age', 'education_num', 'race'} Leakage 0.45287149503025326
Mask Size 3 Mask {'age', 'relationship', 'education_num'} Leakage 0.35534291138220275
Mask Size 3 Mask {'age', 'education_num', 'sex'} Leakage 0.2572809301674086
Mask Size 3 Mask {'age', 'hours_per_week', 'marital_status'} Leakage 0.4845168021378995
Mask Size 3 Mask {'age', 'hours_per_week', 'native_country'} Leakage 0.3882759398946146
Mask Size 3 Mask {'age', 'hours_per_week', 'occupation'} Leakage 0.48392620978159184
Mask Size 3 Mask {'age', 'hours_per_week', 'race'} Leakage 0.4839341140018354
Mask Size 3 Mask {'age', 'hours_per_week', 'relationship'} Leakage 0.38571388162385756
Mask Size 3 Mask {'age', 'hours_per_week', 'sex'} Leakage 0.26394292761740623
Mask Size 3 Mask {'age', 'native_country', 'marital_status'} Leakage 0.3901737682096018
Mask Size 3 Mask {'age', 'occupation', 'marital_status'} Leakage 0.4846127757419578
Mask Size 3 Mask {'age', 'race', 'marital_status'} Leakage 0.4844884392083908
Mask Size 3 Mask {'age', 'relationship', 'marital_status'} Leakage 0.2621731654901589
Mask Size 3 Mask {'age', 'sex', 'marital_status'} Leakage 0.2893475406295293
Mask Size 3 Mask {'age', 'occupation', 'native_country'} Leakage 0.38825264639230594
Mask Size 3 Mask {'age', 'native_country', 'race'} Leakage 0.3889503350190944
Mask Size 3 Mask {'age', 'relationship', 'native_country'} Leakage 0.28834222626390116
Mask Size 3 Mask {'age', 'sex', 'native_country'} Leakage 0.12583362227877914
Mask Size 3 Mask {'age', 'occupation', 'race'} Leakage 0.483913191052453
Mask Size 3 Mask {'age', 'occupation', 'relationship'} Leakage 0.40652310102526945
Mask Size 3 Mask {'age', 'occupation', 'sex'} Leakage 0.2658297084417024
Mask Size 3 Mask {'age', 'relationship', 'race'} Leakage 0.38552203159829945
Mask Size 3 Mask {'age', 'sex', 'race'} Leakage 0.2638803033781554
Mask Size 3 Mask {'age', 'relationship', 'sex'} Leakage 0.259146774544155
Mask Size 3 Mask {'capital_loss', 'capital_gain', 'class'} Leakage 0.4111280294355777
Mask Size 3 Mask {'capital_loss', 'capital_gain', 'education_num'} Leakage 0.42089529738485065
Mask Size 3 Mask {'capital_loss', 'hours_per_week', 'capital_gain'} Leakage 0.46220822177552134
Mask Size 3 Mask {'capital_loss', 'capital_gain', 'marital_status'} Leakage 0.38746274486351806
Mask Size 3 Mask {'capital_loss', 'capital_gain', 'native_country'} Leakage 0.392628393579876
Mask Size 3 Mask {'capital_loss', 'occupation', 'capital_gain'} Leakage 0.4509615589922883
Mask Size 3 Mask {'capital_loss', 'capital_gain', 'race'} Leakage 0.4518823166938556
Mask Size 3 Mask {'capital_loss', 'relationship', 'capital_gain'} Leakage 0.12543292597522548
Mask Size 3 Mask {'capital_loss', 'capital_gain', 'sex'} Leakage 0.26052870277695894
Mask Size 3 Mask {'capital_gain', 'education_num', 'class'} Leakage 0.3734907841156846
Mask Size 3 Mask {'hours_per_week', 'capital_gain', 'class'} Leakage 0.412060300735161
Mask Size 3 Mask {'marital_status', 'capital_gain', 'class'} Leakage 0.36041181224578256
