OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9052833102896635
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginStateFips', 'OriginWac', 'OriginCityMarketID'} Leakage 0.90986426006549
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginStateName', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8975737772509275
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayOfWeek', 'OriginState', 'OriginStateFips'} Leakage 0.8843367659563826
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginState'} Leakage 0.8646611830255109
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayOfWeek', 'OriginState', 'OriginWac'} Leakage 0.8649453012404487
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginStateFips'} Leakage 0.9573645312928263
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayOfWeek', 'OriginStateFips', 'OriginWac'} Leakage 0.9574901562845286
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginWac'} Leakage 0.9502045716372846
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginStateFips'} Leakage 0.8634474941948084
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.8632188798069567
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginWac'} Leakage 0.8506572497913486
Mask Size 5 Mask {'OriginAirportSeqID', 'DayOfWeek', 'OriginStateName', 'OriginStateFips', 'OriginWac'} Leakage 0.9482049568251514
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9254023616086051
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginCityMarketID'} Leakage 0.9214979009005055
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.9339890247107498
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9179984806749243
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateFips', 'OriginWac', 'OriginCityMarketID'} Leakage 0.9190283979295332
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginWac', 'OriginCityMarketID'} Leakage 0.917953202618765
Mask Size 5 Mask {'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9423546681388314
Mask Size 5 Mask {'DayOfWeek', 'OriginState', 'OriginStateFips', 'OriginWac', 'OriginCityMarketID'} Leakage 0.945185744997376
Mask Size 5 Mask {'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.9420935152505401
Mask Size 5 Mask {'DayOfWeek', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'OriginCityMarketID'} Leakage 0.9447158031258734
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginStateFips'} Leakage 0.9843934730251752
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.985324515964372
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginWac'} Leakage 0.9844232979113766
Mask Size 5 Mask {'OriginCityName', 'DayOfWeek', 'OriginStateName', 'OriginStateFips', 'OriginWac'} Leakage 0.985174610041247
Mask Size 5 Mask {'DayOfWeek', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.9933932055238931
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'Month', 'FlightDate'} Leakage 0.6811385371059467
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'Month', 'FlightDate'} Leakage 0.6811912322217761
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginCityMarketID', 'FlightDate'} Leakage 0.607168703250587
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'Month', 'FlightDate'} Leakage 0.607168703250587
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginState', 'FlightDate'} Leakage 0.6460076727235042
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateFips', 'FlightDate'} Leakage 0.6644179851595879
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateName', 'FlightDate'} Leakage 0.6351572191012556
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginWac', 'FlightDate'} Leakage 0.633757589977629
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'Month', 'FlightDate'} Leakage 0.7410549628538013
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginCityMarketID', 'FlightDate'} Leakage 0.6730756643140547
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month', 'FlightDate'} Leakage 0.6811908294053601
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginState', 'FlightDate'} Leakage 0.6543269453371394
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateFips', 'FlightDate'} Leakage 0.6613975683019903
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateName', 'FlightDate'} Leakage 0.6529912301032619
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginWac', 'FlightDate'} Leakage 0.6513103775399236
