method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cells
delmin,airport,home_link,0.0881662368774414,0.013657093048095703,0.06999611854553223,0.0045130252838134766,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.024093151092529297,0.0056269168853759766,0.01593923568725586,0.002526998519897461,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.015540122985839844,0.0034317970275878906,0.0072650909423828125,0.004843235015869141,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.013928890228271484,0.0035462379455566406,0.007928848266601562,0.0024538040161132812,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014400720596313477,0.003587007522583008,0.008195877075195312,0.0026178359985351562,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.015522956848144531,0.0033159255981445312,0.008011817932128906,0.004195213317871094,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014145374298095703,0.0030879974365234375,0.007937192916870117,0.0031201839447021484,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014265298843383789,0.003561258316040039,0.007965087890625,0.00273895263671875,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.013942956924438477,0.00302886962890625,0.008175134658813477,0.00273895263671875,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.01678323745727539,0.0035910606384277344,0.008422136306762695,0.004770040512084961,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.01720881462097168,0.0035619735717773438,0.008756875991821289,0.004889965057373047,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.01696181297302246,0.003271818161010742,0.008934974670410156,0.0047550201416015625,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014434099197387695,0.0033440589904785156,0.008306026458740234,0.0027840137481689453,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014014720916748047,0.003245830535888672,0.00802302360534668,0.0027458667755126953,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.023154735565185547,0.003017902374267578,0.008306741714477539,0.01183009147644043,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.018582820892333984,0.0035691261291503906,0.010024785995483398,0.004988908767700195,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.017177581787109375,0.003584623336791992,0.008398056030273438,0.005194902420043945,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.016559123992919922,0.0036950111389160156,0.008458137512207031,0.004405975341796875,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.017128944396972656,0.0032799243927001953,0.008243083953857422,0.005605936050415039,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014053821563720703,0.0031087398529052734,0.008344888687133789,0.0026001930236816406,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014111042022705078,0.0031418800354003906,0.008217096328735352,0.002752065658569336,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.013206005096435547,0.003160715103149414,0.0076732635498046875,0.0023720264434814453,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.013360261917114258,0.003072023391723633,0.00772404670715332,0.0025641918182373047,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.014170169830322266,0.003734111785888672,0.008090019226074219,0.002346038818359375,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.01798391342163086,0.0036602020263671875,0.007725954055786133,0.006597757339477539,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.01186680793762207,0.0030028820037841797,0.006697893142700195,0.0021660327911376953,0.0,0.22337399647872114,-0.5,-1,5,1097,6
delmin,airport,home_link,0.012464761734008789,0.0032799243927001953,0.007187843322753906,0.0019969940185546875,0.0,0.22337399647872114,-0.5,-1,5,1097,6
