method,dataset,n_rows,T(ms)_mean,T(ms)_ci,T(ms)_n,|M|_mean,|M|_ci,|M|_n,Mem_mean,Mem_ci,Mem_n,η_mean,η_ci,η_n,L_mean,L_ci,L_n
del2ph,adult,100,1.5346002578734401,0.0680539542214473,100,6.07,0.353662316765572,100,320833.0,0.0,100,-0.5708333333333333,0.0280428519132152,100,0.16709776306373741,0.024059900774304487,100
del2ph,airport,100,1.4247035980224048,0.06781564865847303,100,2.97,0.22816969911298474,100,4356.0,0.0,100,-0.495,0.038028283185497454,100,0.07617601321708677,0.015974483982894985,100
del2ph,flight,100,2.108769416808984,0.07228459429485765,100,6.05,0.3458393261078893,100,651788.0,0.0,100,-0.6778846153846154,0.02730352063088305,100,0.8247347941026171,0.055188343819881046,100
del2ph,hospital,100,1.4858293533324607,0.04834922635283134,100,4.87,0.30978416756793614,100,76100.0,0.0,100,-0.7170000000000002,0.031029724674451455,100,0.46731451774342025,0.02478446383287666,100
del2ph,tax,100,1.5290689468383243,0.06652577783754526,100,1.6,0.1738514648755287,100,989.0,0.0,100,-0.7158333333333334,0.04623960238221003,100,0.3627814659901511,0.03958279738237032,100
delgum,adult,100,26.033730506896827,1.8043654529976911,100,6.21,0.3445951714066783,100,2858.0,0.0,100,-34.517500000000005,9.431659619525657,100,0.18969001037755912,0.02964797550149036,100
delgum,airport,100,1.8921661376951773,0.1395506302466649,100,3.05,0.23826465189578988,100,458.0,0.0,100,-0.5083333333333334,0.03971077531596498,100,0.07653877374304663,0.017188054889800884,100
delgum,flight,100,215.96177101135243,17.044906498219262,100,6.77,0.38551290257078485,100,5949.0,0.0,100,-74.52076923076923,8.735810238705698,100,0.7443269054416219,0.06884038500439751,100
delgum,hospital,100,9.415912628173684,0.7542698686022563,100,4.97,0.3120863812350049,100,1823.0,0.0,100,-89.49700000000001,6.227434403292942,100,0.4516071095340288,0.02890778186140001,100
delgum,tax,100,2.4742197990416277,0.1381616278239159,100,1.56,0.16760883350091701,100,201.0,0.0,100,-72.52,8.916604745386348,100,0.36908433350702,0.03865196456953586,100
delmin,adult,100,32.231507301330424,0.400219967347821,100,9.0,0.0,100,5603.13,2.6016120334502033,100,-0.409090909090909,2.214021266260891e-17,100,0.0,0.0,100
delmin,airport,100,10.80246210098252,1.0908285745754236,100,5.0,0.0,100,1097.0,0.0,100,-0.5,0.0,100,0.0,0.0,100
delmin,flight,100,48.78110408782943,0.6149369162227833,100,11.0,0.0,100,6924.0,0.0,100,-0.45833333333333337,1.1070106331304454e-17,100,0.0,0.0,100
delmin,hospital,100,16.996734142303314,0.6198188133849155,100,9.0,0.0,100,2884.0,0.0,100,-0.5,0.0,100,0.0,0.0,100
delmin,tax,100,7.828073501586763,0.5152855592227963,100,3.0,0.0,100,560.0,0.0,100,-0.75,0.0,100,0.0,0.0,100
