dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
flight,FlightDate,0.0,0.025,1000.0,MAX,49.250022
flight,FlightDate,0.0,0.05,1000.0,MAX,48.466905
flight,FlightDate,0.0,0.1,1000.0,MAX,49.311218
flight,FlightDate,0.0,0.2,1000.0,MAX,48.683825
flight,FlightDate,0.0,0.3,1000.0,MAX,49.379756
flight,FlightDate,0.0,0.4,1000.0,MAX,48.975102
flight,FlightDate,0.0,0.5,1000.0,MAX,49.554056
flight,FlightDate,0.0,0.6,1000.0,MAX,48.763676
flight,FlightDate,0.0,0.7,1000.0,MAX,48.171630
flight,FlightDate,0.0,0.8,1000.0,MAX,48.364781
flight,FlightDate,0.0,0.9,1000.0,MAX,48.153498
flight,FlightDate,0.1,0.025,1000.0,MAX,49.777521
flight,FlightDate,0.1,0.05,1000.0,MAX,50.228250
flight,FlightDate,0.1,0.1,1000.0,MAX,50.269997
flight,FlightDate,0.1,0.2,1000.0,MAX,49.522938
flight,FlightDate,0.1,0.3,1000.0,MAX,48.670332
flight,FlightDate,0.1,0.4,1000.0,MAX,48.510978
flight,FlightDate,0.1,0.5,1000.0,MAX,49.007856
flight,FlightDate,0.1,0.6,1000.0,MAX,48.791824
flight,FlightDate,0.1,0.7,1000.0,MAX,48.351251
flight,FlightDate,0.1,0.8,1000.0,MAX,49.045076
flight,FlightDate,0.1,0.9,1000.0,MAX,48.669676
flight,FlightDate,0.5,0.025,1000.0,MAX,49.054581
flight,FlightDate,0.5,0.05,1000.0,MAX,48.039811
flight,FlightDate,0.5,0.1,1000.0,MAX,48.893615
flight,FlightDate,0.5,0.2,1000.0,MAX,48.884841
flight,FlightDate,0.5,0.3,1000.0,MAX,48.097099
flight,FlightDate,0.5,0.4,1000.0,MAX,48.402770
flight,FlightDate,0.5,0.5,1000.0,MAX,48.997441
flight,FlightDate,0.5,0.6,1000.0,MAX,48.069761
flight,FlightDate,0.5,0.7,1000.0,MAX,48.465737
flight,FlightDate,0.5,0.8,1000.0,MAX,48.146293
flight,FlightDate,0.5,0.9,1000.0,MAX,48.279467
flight,FlightDate,0.75,0.025,1000.0,MAX,48.984151
flight,FlightDate,0.75,0.05,1000.0,MAX,48.450624
flight,FlightDate,0.75,0.1,1000.0,MAX,48.482860
flight,FlightDate,0.75,0.2,1000.0,MAX,48.555050
flight,FlightDate,0.75,0.3,1000.0,MAX,48.674819
flight,FlightDate,0.75,0.4,1000.0,MAX,48.946585
flight,FlightDate,0.75,0.5,1000.0,MAX,48.108058
flight,FlightDate,0.75,0.6,1000.0,MAX,48.816891
flight,FlightDate,0.75,0.7,1000.0,MAX,48.925494
flight,FlightDate,0.75,0.8,1000.0,MAX,47.999888
flight,FlightDate,0.75,0.9,1000.0,MAX,48.204612
flight,FlightDate,1.0,0.025,1000.0,MAX,48.964310
flight,FlightDate,1.0,0.05,1000.0,MAX,49.793279
flight,FlightDate,1.0,0.1,1000.0,MAX,49.184807
flight,FlightDate,1.0,0.2,1000.0,MAX,49.451895
flight,FlightDate,1.0,0.3,1000.0,MAX,48.284516
flight,FlightDate,1.0,0.4,1000.0,MAX,48.863375
flight,FlightDate,1.0,0.5,1000.0,MAX,48.390151
flight,FlightDate,1.0,0.6,1000.0,MAX,49.541506
flight,FlightDate,1.0,0.7,1000.0,MAX,50.867214
flight,FlightDate,1.0,0.8,1000.0,MAX,51.340976
flight,FlightDate,1.0,0.9,1000.0,MAX,50.580467
flight,FlightDate,1.5,0.025,1000.0,MAX,50.288040
flight,FlightDate,1.5,0.05,1000.0,MAX,50.396205
flight,FlightDate,1.5,0.1,1000.0,MAX,50.427139
flight,FlightDate,1.5,0.2,1000.0,MAX,50.619200
flight,FlightDate,1.5,0.3,1000.0,MAX,49.320569
flight,FlightDate,1.5,0.4,1000.0,MAX,49.040780
flight,FlightDate,1.5,0.5,1000.0,MAX,48.960200
flight,FlightDate,1.5,0.6,1000.0,MAX,52.312958
flight,FlightDate,1.5,0.7,1000.0,MAX,50.347777
flight,FlightDate,1.5,0.8,1000.0,MAX,49.479500
