beta,leakage,utility,mask_size
0.5,1.0,-4.5,8
0.5,1.0,-2.5,4
0.5,1.0,-2.5,4
0.5,1.0,-2.5,4
0.5,1.0,-2.0,3
0.5,1.0,-3.0,5
0.5,1.0,-2.0,3
0.5,1.0,-3.0,5
0.5,1.0,-3.5,6
0.5,1.0,-3.5,6
0.5,1.0,-1.5,2
0.5,1.0,-3.0,5
0.5,1.0,-2.0,3
0.5,1.0,-3.0,5
0.5,1.0,-3.5,6
0.5,1.0,-3.5,6
0.5,1.0,-3.0,5
0.5,1.0,-2.0,3
0.5,1.0,-2.0,3
0.5,1.0,-1.0,1
0.5,1.0,-3.5,6
0.5,1.0,-3.5,6
0.5,1.0,-2.0,3
0.5,1.0,-4.0,7
0.5,1.0,-3.5,6
0.5,1.0,-3.0,5
0.5,1.0,-3.0,5
0.5,1.0,-3.0,5
0.5,1.0,-4.0,7
0.5,1.0,-2.5,4
0.5,0.0,-2.5,5
0.5,1.0,-1.5,2
0.5,1.0,-1.5,2
0.5,1.0,-2.0,3
0.5,1.999955756559757e-12,-2.000000000001,4
0.5,1.0,-0.5,0
0.5,0.0,-2.0,4
0.5,1.0,-0.5,0
0.5,1.0,-2.0,3
0.5,1.0,-1.5,2
0.5,0.0,-1.5,3
0.5,1.0,-1.0,1
0.5,1.0,-0.5,0
0.5,1.0,-1.0,1
0.5,0.0,-1.5,3
0.5,0.0,-1.5,3
0.5,1.0,-1.5,2
0.5,1.0,-1.0,1
0.5,1.0,-1.0,1
0.5,1.0,-1.5,2
beta,leakage,utility,mask_size
1.0,1.0,-4.5,4
1.0,1.0,-1.5,1
1.0,1.0,-4.5,4
1.0,1.0,-4.5,4
1.0,1.0,-6.5,6
1.0,1.0,-5.5,5
1.0,1.0,-3.5,3
1.0,1.0,-6.5,6
1.0,1.0,-2.5,2
1.0,1.0,-4.5,4
1.0,1.0,-3.5,3
1.0,1.0,-3.5,3
1.0,1.0,-4.5,4
1.0,1.0,-3.5,3
1.0,1.0,-2.5,2
1.0,1.0,-2.5,2
1.0,1.0,-3.5,3
1.0,1.0,-6.5,6
1.0,1.0,-5.5,5
1.0,1.0,-5.5,5
1.0,1.0,-6.5,6
1.0,1.0,-5.5,5
1.0,1.0,-4.5,4
1.0,1.0,-5.5,5
1.0,1.0,-4.5,4
1.0,1.0,-4.5,4
1.0,1.0,-2.5,2
1.0,1.0,-6.5,6
1.0,1.0,-5.5,5
1.0,1.0,-2.5,2
1.0,1.0,-1.5,1
1.0,1.0,-0.5,0
1.0,1.0,-2.5,2
1.0,1.0,-1.5,1
1.0,1.0,-1.5,1
1.0,1.0,-1.5,1
1.0,1.0,-2.5,2
1.0,1.0,-3.5,3
1.0,1.0,-2.5,2
1.0,1.0,-2.5,2
1.0,0.0,-2.0,2
1.0,1.0,-0.5,0
1.0,0.0,-2.0,2
1.0,1.0,-2.5,2
1.0,1.0,-0.5,0
1.0,0.0,-3.0,3
1.0,1.0,-1.5,1
1.0,0.0,-4.0,4
1.0,1.0,-1.5,1
1.0,1.0,-1.5,1
beta,leakage,utility,mask_size
1.5,1.0,-3.5,2
1.5,1.0,-2.0,1
1.5,1.0,-3.5,2
1.5,1.0,-0.5,0
1.5,1.0,-6.5,4
1.5,1.0,-2.0,1
1.5,1.0,-3.5,2
1.5,1.0,-2.0,1
1.5,1.0,-0.5,0
1.5,1.0,-6.5,4
1.5,1.0,-3.5,2
1.5,1.0,-3.5,2
1.5,1.0,-2.0,1
1.5,1.0,-3.5,2
1.5,1.0,-2.0,1
1.5,1.0,-3.5,2
1.5,1.0,-2.0,1
1.5,1.0,-5.0,3
1.5,1.0,-2.0,1
1.5,1.0,-6.5,4
1.5,1.0,-3.5,2
1.5,1.0,-6.5,4
1.5,1.0,-5.0,3
1.5,1.0,-2.0,1
1.5,1.0,-2.0,1
1.5,1.0,-5.0,3
1.5,1.0,-2.0,1
1.5,1.0,-8.0,5
1.5,1.0,-2.0,1
1.5,1.0,-0.5,0
1.5,1.0,-3.5,2
1.5,1.0,-0.5,0
1.5,1.0,-0.5,0
1.5,1.0,-3.5,2
1.5,1.0,-5.0,3
1.5,1.0,-0.5,0
1.5,1.0,-5.0,3
1.5,1.0,-2.0,1
1.5,1.0,-2.0,1
1.5,1.0,-2.0,1
1.5,0.0,-4.5,3
1.5,1.0,-2.0,1
1.5,1.0,-0.5,0
1.5,1.0,-2.0,1
1.5,1.0,-2.0,1
1.5,1.0,-2.0,1
1.5,0.0,-3.0,2
1.5,1.0,-3.5,2
1.5,1.0,-2.0,1
1.5,1.0,-2.0,1
beta,leakage,utility,mask_size
2.0,1.0,-2.5,1
2.0,1.0,-2.5,1
2.0,1.0,-0.5,0
