dataset,target_cell,tau,rho,num_base_rdrs,num_surviving_rdrs,survival_rate,num_candidates,num_vertices,num_edges,min_leakage,max_leakage,mean_leakage,median_leakage,std_leakage,leakage_1.0_count,leakage_<0.5_count,compute_time
airport,home_link,0.2,1.0,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,1.0,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,1.0,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120829,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,1.0,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120851,0.136141,0.049984,0,2048,0.22
airport,home_link,0.6,1.0,38,22,0.5789,2048,12,22,0.000000,0.600735,0.468489,0.517748,0.132012,0,994,0.26
airport,home_link,0.7,1.0,38,23,0.6053,2048,12,23,0.000000,0.600735,0.469580,0.518366,0.131477,0,992,0.28
airport,home_link,0.8,1.0,38,24,0.6316,2048,12,24,0.000000,0.600735,0.476825,0.528209,0.129302,0,920,0.29
airport,home_link,0.9,1.0,38,26,0.6842,2048,12,26,0.000000,0.958318,0.916414,0.945437,0.095592,0,18,0.31
airport,home_link,1.0,1.0,38,38,1.0000,2048,12,38,0.000000,0.999998,0.998381,0.999931,0.027641,1486,2,0.59
adult,education,0.2,1.0,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,1.0,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,1.0,60,18,0.3000,512,10,18,0.000000,0.834307,0.790599,0.831477,0.116865,0,21,0.09
adult,education,0.5,1.0,60,30,0.5000,1024,11,30,0.000000,0.915357,0.901315,0.915309,0.061448,0,5,0.35
adult,education,0.6,1.0,60,42,0.7000,1024,11,42,0.000000,0.992165,0.988027,0.992165,0.042169,0,2,0.53
adult,education,0.7,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998109,0.999880,0.034063,0,1,0.88
adult,education,0.8,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998109,0.999880,0.034063,0,1,0.88
adult,education,0.9,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998109,0.999880,0.034063,0,1,0.88
adult,education,1.0,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998109,0.999880,0.034063,0,1,0.92
flight,OriginCityMarketId,0.2,1.0,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,1.0,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,1.0,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,1.0,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,1.0,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,1.0,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
