-----airport-----
attribute,time,row,cells
latitude_deg,0.11466193199157715,43891,8
type,0.12970876693725586,30974,9
longitude_deg,0.13040590286254883,14287,9
elevation_ft,0.32923078536987305,24573,7
scheduled_service,0.0930018424987793,1992,6
ident,0.020084142684936523,4947,1
name,0.11857199668884277,36592,8
latitude_deg,0.12040591239929199,22386,8
scheduled_service,0.08830904960632324,43865,6
municipality,0.06364274024963379,38859,4
type,0.13334989547729492,30428,9
scheduled_service,0.0915069580078125,18432,6
scheduled_service,0.09124898910522461,12438,6
iso_region,0.11617875099182129,328,8
iso_country,0.1195991039276123,23915,8
elevation_ft,0.3418407440185547,28619,7
iso_country,0.11793017387390137,9069,8
name,0.12503910064697266,44083,8
municipality,0.05919003486633301,20132,4
iso_country,0.11829304695129395,11005,8
latitude_deg,0.11400699615478516,39303,8
type,0.12706804275512695,41583,9
municipality,0.05872201919555664,5477,4
municipality,0.05836200714111328,9440,4
municipality,0.05794811248779297,36730,4
longitude_deg,0.12979698181152344,5588,9
name,0.11891603469848633,6411,8
municipality,0.06062793731689453,34206,4
scheduled_service,0.08622908592224121,38293,6
ident,0.02286219596862793,43481,1
municipality,0.05763983726501465,5012,4
longitude_deg,0.17470574378967285,37883,9
iso_region,0.11545705795288086,1448,8
elevation_ft,0.32901597023010254,341,7
type,0.12703704833984375,12858,9
elevation_ft,0.3346090316772461,44206,7
municipality,0.05815577507019043,35224,4
name,0.11225104331970215,4872,8
iso_country,0.11979198455810547,43048,8
name,0.12608814239501953,29546,8
iso_region,0.13072681427001953,24834,8
municipality,0.07656311988830566,478,4
longitude_deg,0.18228793144226074,18767,9
municipality,0.061556100845336914,15344,4
iso_country,0.11287498474121094,38228,8
latitude_deg,0.11118006706237793,37322,8
scheduled_service,0.0855722427368164,29471,6
latitude_deg,0.1139669418334961,27710,8
name,0.11689114570617676,6190,8
ident,0.02559804916381836,3178,1
ident,0.018498659133911133,24578,1
elevation_ft,0.3525071144104004,29927,7
type,0.13519525527954102,4125,9
type,0.13365674018859863,39195,9
iso_region,0.11166787147521973,20426,8
longitude_deg,0.13333702087402344,20188,9
name,0.11892390251159668,32254,8
longitude_deg,0.13161993026733398,6638,9
type,0.13328313827514648,6638,9
scheduled_service,0.09141373634338379,24564,6
iso_region,0.12200021743774414,11061,8
latitude_deg,0.1223752498626709,12757,8
latitude_deg,0.1217958927154541,3124,8
scheduled_service,0.09210705757141113,32754,6
scheduled_service,0.08965182304382324,29126,6
elevation_ft,0.3334798812866211,20569,7
iso_region,0.12238788604736328,17274,8
type,0.13183879852294922,19594,9
scheduled_service,0.09184575080871582,17553,6
municipality,0.06600093841552734,15757,4
iso_country,0.11891508102416992,40315,8
iso_region,0.12003302574157715,38982,8
longitude_deg,0.13638710975646973,4626,9
longitude_deg,0.13321924209594727,11196,9
ident,0.020700931549072266,34048,1
iso_country,0.11666202545166016,18938,8
elevation_ft,0.32665491104125977,12635,7
ident,0.022248268127441406,27083,1
scheduled_service,0.09185409545898438,26332,6
iso_country,0.11994194984436035,6567,8
elevation_ft,0.33194780349731445,41880,7
name,0.11780309677124023,33635,8
iso_region,0.11655688285827637,3123,8
iso_region,0.11714005470275879,28258,8
type,0.1333308219909668,39985,9
elevation_ft,0.3384287357330322,12115,7
iso_country,0.11873030662536621,12394,8
longitude_deg,0.13948488235473633,23557,9
type,0.13327312469482422,26066,9
type,0.1346268653869629,13250,9
iso_region,0.11982607841491699,36040,8
municipality,0.06489801406860352,40053,4
iso_country,0.11722493171691895,2672,8
elevation_ft,0.3264758586883545,29298,7
iso_country,0.1194760799407959,11779,8
name,0.11615991592407227,4423,8
ident,0.022127866744995117,38549,1
name,0.11720395088195801,30075,8
type,0.1342449188232422,21921,9
scheduled_service,0.09074735641479492,25384,6
-----hospital-----
attribute,time,row,cells
Condition,0.14420604705810547,21566,3
City,0.30812621116638184,69582,7
ProviderNumber,0.4347498416900635,21388,10
Sample,0.05017900466918945,86144,1
HospitalType,0.04965090751647949,100308,1
PhoneNumber,0.38553905487060547,34995,9
EmergencyService,0.21877598762512207,44819,5
HospitalType,0.04928779602050781,55504,1
ProviderNumber,0.42652130126953125,42422,10
Condition,0.13134002685546875,77457,3
MeasureName,0.25997424125671387,32178,6
StateAvg,0.2615509033203125,37546,6
City,0.29982686042785645,84968,7
ZIPCode,0.049906015396118164,77274,1
HospitalName,0.3475167751312256,22167,8
HospitalType,0.049453020095825195,76819,1
ProviderNumber,0.4277818202972412,15838,10
StateAvg,0.2600409984588623,71576,6
StateAvg,0.256929874420166,4225,6
Condition,0.13352298736572266,26066,3
StateAvg,0.257537841796875,44076,6
CountyName,0.30031514167785645,104703,7
City,0.29767513275146484,70569,7
City,0.29462695121765137,69945,7
HospitalOwner,0.3366551399230957,52326,8
Sample,0.04904508590698242,23608,1
MeasureName,0.25987982749938965,9835,6
City,0.2993900775909424,110063,7
ZIPCode,0.048397064208984375,73999,1
City,0.30081939697265625,30618,7
State,0.4251670837402344,3497,10
State,0.42351818084716797,100221,10
EmergencyService,0.22279882431030273,72397,5
CountyName,0.30277490615844727,46020,7
Condition,0.14391803741455078,88848,3
Condition,0.1308002471923828,103630,3
HospitalName,0.39878320693969727,40687,8
ZIPCode,0.045948028564453125,50736,1
CountyName,0.292788028717041,91914,7
CountyName,0.30596470832824707,54224,7
EmergencyService,0.21567893028259277,79182,5
EmergencyService,0.21691322326660156,76401,5
Sample,0.05214405059814453,76653,1
StateAvg,0.25766706466674805,10103,6
City,0.2982959747314453,42587,7
PhoneNumber,0.38724207878112793,26006,9
MeasureName,0.2635190486907959,105457,6
ZIPCode,0.05009794235229492,96896,1
StateAvg,0.26508498191833496,46032,6
ProviderNumber,0.4346780776977539,75225,10
MeasureName,0.2615518569946289,101597,6
EmergencyService,0.21876001358032227,15131,5
MeasureCode,0.050785064697265625,108236,1
ProviderNumber,0.4245429039001465,103633,10
HospitalType,0.04985499382019043,24084,1
MeasureCode,0.0487971305847168,5178,1
StateAvg,0.26071977615356445,14779,6
ProviderNumber,0.4283599853515625,30728,10
PhoneNumber,0.39278221130371094,13694,9
StateAvg,0.2642030715942383,50308,6
CountyName,0.3069462776184082,362,7
State,0.43181705474853516,53883,10
State,0.4252161979675293,106458,10
City,0.30361127853393555,53295,7
MeasureName,0.2599351406097412,66381,6
MeasureName,0.2576570510864258,82686,6
MeasureName,0.2578558921813965,4878,6
City,0.3003718852996826,27685,7
MeasureName,0.26132822036743164,70838,6
Condition,0.1311790943145752,36891,3
State,0.42272400856018066,50,10
HospitalOwner,0.3433990478515625,109464,8
CountyName,0.3015737533569336,85768,7
EmergencyService,0.21911883354187012,69987,5
State,0.42595410346984863,33042,10
StateAvg,0.25553011894226074,30774,6
PhoneNumber,0.3833808898925781,69489,9
ZIPCode,0.050071001052856445,64342,1
HospitalOwner,0.34322094917297363,76823,8
City,0.30158066749572754,55239,7
ProviderNumber,0.4256250858306885,57615,10
EmergencyService,0.22234320640563965,78153,5
Condition,0.13452792167663574,32739,3
Condition,0.13447928428649902,85766,3
CountyName,0.30510592460632324,100334,7
HospitalName,0.35004425048828125,30561,8
PhoneNumber,0.38802099227905273,38258,9
MeasureCode,0.049398183822631836,5255,1
ProviderNumber,0.4262378215789795,12042,10
Condition,0.13670802116394043,29273,3
HospitalOwner,0.34565210342407227,49923,8
City,0.32965731620788574,71194,7
State,0.48435306549072266,26951,10
PhoneNumber,0.3898279666900635,74489,9
StateAvg,0.2604949474334717,112555,6
HospitalOwner,0.35039210319519043,40595,8
HospitalOwner,0.34581685066223145,110113,8
State,0.43488097190856934,38260,10
City,0.30727720260620117,77536,7
Sample,0.050759077072143555,74462,1
-----ncvoter-----
attribute,time,row,cells
voter_reg_num,0.03338479995727539,663,14
street_address,0.02145695686340332,110,14
middle_name,0.010164976119995117,502,6
ethnic,0.007861137390136719,649,4
city,0.010271787643432617,226,6
zip_code,0.009434223175048828,76,6
full_phone_num,0.0053730010986328125,908,3
