method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
del2ph,airport,latitude_deg,0.00619196891784668,0.0,0.0010340213775634766,0.0,0.005157947540283203,0.0,-0.23076923076923078,24,6,24,14283404,14,1
del2ph,airport,latitude_deg,0.0046689510345458984,0.0,0.0009419918060302734,0.0,0.003726959228515625,0.0,-0.19230769230769232,24,5,24,14283361,14,0
del2ph,airport,latitude_deg,0.00579524040222168,0.0,0.0009701251983642578,0.0,0.004825115203857422,0.0,-0.23076923076923078,24,6,24,14283410,14,1
del2ph,airport,latitude_deg,0.005752086639404297,0.0,0.0008699893951416016,0.0,0.004882097244262695,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.005403995513916016,0.0,0.000926971435546875,0.0,0.004477024078369141,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.007582426071166992,0.0,0.0009181499481201172,0.0,0.006664276123046875,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005959272384643555,0.0,0.0008940696716308594,0.0,0.005065202713012695,0.0,-0.19230769230769232,24,5,24,14283355,14,1
del2ph,airport,latitude_deg,0.004180192947387695,0.0,0.000965118408203125,0.0,0.0032150745391845703,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.0050411224365234375,0.0,0.000865936279296875,0.0,0.0041751861572265625,0.0,-0.19230769230769232,24,5,24,14283359,14,1
del2ph,airport,latitude_deg,0.0048100948333740234,0.0,0.0008990764617919922,0.0,0.003911018371582031,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005908966064453125,0.0,0.0009379386901855469,0.0,0.004971027374267578,0.0,-0.19230769230769232,24,5,24,14283359,14,1
del2ph,airport,latitude_deg,0.0056610107421875,0.0,0.0009050369262695312,0.0,0.004755973815917969,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005542278289794922,0.0,0.0009300708770751953,0.0,0.0046122074127197266,0.0,-0.23076923076923078,24,6,24,14283404,14,1
del2ph,airport,latitude_deg,0.0053081512451171875,0.0,0.0009059906005859375,0.0,0.00440216064453125,0.0,-0.23076923076923078,24,6,24,14283408,14,1
del2ph,airport,latitude_deg,0.005338907241821289,0.0,0.0009438991546630859,0.0,0.004395008087158203,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.0051898956298828125,0.0,0.0009109973907470703,0.0,0.004278898239135742,0.0,-0.23076923076923078,24,6,24,14283406,14,1
del2ph,airport,latitude_deg,0.005374908447265625,0.0,0.0009069442749023438,0.0,0.004467964172363281,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005463838577270508,0.0,0.0009217262268066406,0.0,0.004542112350463867,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005299091339111328,0.0,0.0009131431579589844,0.0,0.004385948181152344,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.0051229000091552734,0.0,0.0008969306945800781,0.0,0.004225969314575195,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005196094512939453,0.0,0.0009431838989257812,0.0,0.004252910614013672,0.0,-0.2692307692307692,24,7,24,14283458,14,1
del2ph,airport,latitude_deg,0.005298137664794922,0.0,0.0009000301361083984,0.0,0.0043981075286865234,0.0,-0.23076923076923078,24,6,24,14283414,14,1
del2ph,airport,latitude_deg,0.004951000213623047,0.0,0.0008919239044189453,0.0,0.0040590763092041016,0.0,-0.23076923076923078,24,6,24,14283409,14,1
del2ph,airport,latitude_deg,0.005380868911743164,0.0,0.0009531974792480469,0.0,0.004427671432495117,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.005288839340209961,0.0,0.0008819103240966797,0.0,0.004406929016113281,0.0,-0.2692307692307692,24,7,24,14283458,14,1
del2ph,airport,latitude_deg,0.005414009094238281,0.0,0.0008990764617919922,0.0,0.004514932632446289,0.0,-0.23076923076923078,24,6,24,14283407,14,1
del2ph,airport,latitude_deg,0.005312919616699219,0.0,0.0009198188781738281,0.0,0.004393100738525391,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005413055419921875,0.0,0.000926971435546875,0.0,0.004486083984375,0.0,-0.2692307692307692,24,7,24,14283457,14,1
del2ph,airport,latitude_deg,0.005223989486694336,0.0,0.0009338855743408203,0.0,0.004290103912353516,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005555868148803711,0.0,0.000926971435546875,0.0,0.004628896713256836,0.0,-0.2692307692307692,24,7,24,14283458,14,1
del2ph,airport,latitude_deg,0.005389690399169922,0.0,0.0009458065032958984,0.0,0.0044438838958740234,0.0,-0.23076923076923078,24,6,24,14283414,14,1
del2ph,airport,latitude_deg,0.00530695915222168,0.0,0.0009419918060302734,0.0,0.004364967346191406,0.0,-0.23076923076923078,24,6,24,14283406,14,1
del2ph,airport,latitude_deg,0.005630970001220703,0.0,0.0009050369262695312,0.0,0.004725933074951172,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.005777835845947266,0.0,0.0009059906005859375,0.0,0.004871845245361328,0.0,-0.3076923076923077,24,8,24,14283774,14,1
del2ph,airport,latitude_deg,0.004897117614746094,0.0,0.0009889602661132812,0.0,0.0039081573486328125,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005764007568359375,0.0,0.0009169578552246094,0.0,0.004847049713134766,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.0049555301666259766,0.0,0.0009508132934570312,0.0,0.004004716873168945,0.0,-0.2692307692307692,24,7,24,14283460,14,1
del2ph,airport,latitude_deg,0.0054280757904052734,0.0,0.0009188652038574219,0.0,0.0045092105865478516,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.0055158138275146484,0.0,0.0009448528289794922,0.0,0.004570960998535156,0.0,-0.19230769230769232,24,5,24,14283363,14,1
del2ph,airport,latitude_deg,0.005676984786987305,0.0,0.000888824462890625,0.0,0.00478816032409668,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.005750179290771484,0.0,0.0009090900421142578,0.0,0.0048410892486572266,0.0,-0.15384615384615385,24,4,24,14283052,14,1
del2ph,airport,latitude_deg,0.004957914352416992,0.0,0.0009379386901855469,0.0,0.004019975662231445,0.0,-0.19230769230769232,24,5,24,14283357,14,1
del2ph,airport,latitude_deg,0.005270957946777344,0.0,0.0008859634399414062,0.0,0.0043849945068359375,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.0051190853118896484,0.0,0.0009050369262695312,0.0,0.004214048385620117,0.0,-0.19230769230769232,24,5,24,14283361,14,1
del2ph,airport,latitude_deg,0.0054090023040771484,0.0,0.0008950233459472656,0.0,0.004513978958129883,0.0,-0.19230769230769232,24,5,24,14283361,14,1
