method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delexp,airport,latitude_deg,1.1205730438232422,0.014037132263183594,1.100787878036499,0.0,0.00574803352355957,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,1.1156270503997803,0.004380941390991211,1.1057021617889404,0.0,0.005543947219848633,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.1320867538452148,0.005053997039794922,1.1208319664001465,0.0,0.0062007904052734375,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.1057727336883545,0.004436969757080078,1.0964529514312744,0.0,0.0048828125,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.1161930561065674,0.0047571659088134766,1.1053087711334229,0.0,0.006127119064331055,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.1186878681182861,0.004669904708862305,1.1088409423828125,0.0,0.005177021026611328,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.112999677658081,0.004108905792236328,1.103043794631958,0.0,0.005846977233886719,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.131042718887329,0.0046787261962890625,1.121466875076294,0.0,0.004897117614746094,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,1.1232988834381104,0.005342006683349609,1.1122748851776123,0.0,0.0056819915771484375,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.1341874599456787,0.004423856735229492,1.1230018138885498,0.0,0.006761789321899414,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.1413099765777588,0.006088733673095703,1.129286289215088,0.0,0.005934953689575195,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,1.127861499786377,0.004617929458618164,1.1165318489074707,0.0,0.006711721420288086,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.163257122039795,0.0044209957122802734,1.1522541046142578,0.0,0.006582021713256836,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.173602819442749,0.005612850189208984,1.162316083908081,0.0,0.005673885345458984,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.1397171020507812,0.005157947540283203,1.1280899047851562,0.0,0.006469249725341797,0.08333333333333333,-0.2916666666666667,22,7,24,9988008,16,1
delexp,airport,latitude_deg,1.1361119747161865,0.0049898624420166016,1.125196933746338,0.0,0.005925178527832031,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.13187575340271,0.004904985427856445,1.1227200031280518,0.0,0.004250764846801758,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,1.1381120681762695,0.005068778991699219,1.1280622482299805,0.0,0.004981040954589844,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,1.1448936462402344,0.004850864410400391,1.136199951171875,0.0,0.0038428306579589844,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,1.1612660884857178,0.006757020950317383,1.150475025177002,0.0,0.0040340423583984375,0.0,-0.25,24,7,24,9988008,16,1
