method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delexp,airport,latitude_deg,0.572615385055542,0.008634090423583984,0.5576612949371338,0.0,0.006319999694824219,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,0.5697996616363525,0.004750728607177734,0.5584859848022461,0.0,0.006562948226928711,0.0011215668363356568,-0.2148464977038821,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.5646662712097168,0.006561994552612305,0.551584005355835,0.0,0.006520271301269531,0.0,-0.14285714285714285,24,4,24,9987792,16,1
delexp,airport,latitude_deg,0.5829250812530518,0.0047338008880615234,0.5562472343444824,0.0,0.021944046020507812,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5626072883605957,0.0049207210540771484,0.5523519515991211,0.0,0.005334615707397461,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.5619392395019531,0.004566192626953125,0.5489311218261719,0.0,0.008441925048828125,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5676078796386719,0.0041790008544921875,0.5572957992553711,0.0,0.006133079528808594,0.0,-0.14285714285714285,24,4,24,9987792,16,1
delexp,airport,latitude_deg,0.5736830234527588,0.005074977874755859,0.5630581378936768,0.0,0.005549907684326172,0.0,-0.14285714285714285,24,4,24,9987792,16,1
delexp,airport,latitude_deg,0.5597002506256104,0.0043659210205078125,0.5496032238006592,0.0,0.005731105804443359,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5601637363433838,0.00458979606628418,0.5510299205780029,0.0,0.00454401969909668,0.0,-0.25,24,7,24,9988008,16,1
delexp,airport,latitude_deg,0.5718591213226318,0.005099058151245117,0.5626869201660156,0.0,0.004073143005371094,0.0,-0.14285714285714285,24,4,24,9987792,16,1
delexp,airport,latitude_deg,0.5808358192443848,0.005898952484130859,0.569504976272583,0.0,0.0054318904876708984,0.0,-0.14285714285714285,24,4,24,9987792,16,1
delexp,airport,latitude_deg,0.562481164932251,0.00501704216003418,0.5541660785675049,0.0,0.003298044204711914,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5710690021514893,0.005305051803588867,0.5612850189208984,0.0,0.004478931427001953,0.0,-0.32142857142857145,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.6089277267456055,0.005364894866943359,0.5959389209747314,0.0,0.007623910903930664,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5937891006469727,0.007075071334838867,0.5830631256103516,0.0,0.0036509037017822266,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.5947163105010986,0.03268933296203613,0.558089017868042,0.0,0.003937959671020508,0.0,-0.21428571428571427,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.570087194442749,0.004670858383178711,0.560157299041748,0.0,0.005259037017822266,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5620741844177246,0.004563093185424805,0.5537550449371338,0.0,0.0037560462951660156,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5646522045135498,0.005255937576293945,0.5543301105499268,0.0,0.0050661563873291016,0.0011215668363356568,-0.2148464977038821,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.5663700103759766,0.004693031311035156,0.5570759773254395,0.0,0.004601001739501953,0.0,-0.14285714285714285,24,4,24,9987792,16,1
delexp,airport,latitude_deg,0.5725643634796143,0.0050051212310791016,0.5638079643249512,0.0,0.0037512779235839844,0.004146696324480383,-0.2520733481622402,24,7,24,9988008,16,1
delexp,airport,latitude_deg,0.5648889541625977,0.0047910213470458984,0.5545051097869873,0.0,0.005592823028564453,0.0,-0.17857142857142858,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5843229293823242,0.00537109375,0.5746040344238281,0.0,0.004347801208496094,0.0,-0.2857142857142857,24,8,24,9988080,16,1
delexp,airport,latitude_deg,0.5777997970581055,0.004953861236572266,0.5671699047088623,0.0,0.0056760311126708984,0.0,-0.14285714285714285,24,4,24,9987792,16,1
