method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delgum,airport,latitude_deg,0.009816884994506836,0.0004558563232421875,0.00651097297668457,0.0,0.002850055694580078,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.01025700569152832,0.00022983551025390625,0.007383108139038086,0.0,0.002644062042236328,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.007944583892822266,0.00014781951904296875,0.005338907241821289,0.0,0.002457857131958008,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.00911092758178711,0.00013017654418945312,0.006574869155883789,0.0,0.002405881881713867,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.008254051208496094,0.00013065338134765625,0.005719184875488281,0.0,0.0024042129516601562,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006452083587646484,0.00012993812561035156,0.0038061141967773438,0.0,0.002516031265258789,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006686210632324219,0.0001418590545654297,0.004312276840209961,0.0,0.002232074737548828,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.007772922515869141,0.00013589859008789062,0.005387067794799805,0.0,0.0022499561309814453,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.0059092044830322266,0.00012803077697753906,0.0034880638122558594,0.0,0.002293109893798828,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006036996841430664,0.00012493133544921875,0.0034151077270507812,0.0,0.002496957778930664,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006478071212768555,0.00012803077697753906,0.003876924514770508,0.0,0.002473115921020508,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.00595402717590332,0.000141143798828125,0.0036458969116210938,0.0,0.0021669864654541016,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.0050199031829833984,0.0001289844512939453,0.0025458335876464844,0.0,0.0023450851440429688,1.0,-3.5,0,5,24,26392,16,1
delgum,airport,latitude_deg,0.006749153137207031,0.0001270771026611328,0.0037841796875,0.0,0.0028378963470458984,1.0,-5.5,0,9,24,26680,16,1
delgum,airport,latitude_deg,0.0069272518157958984,0.0001270771026611328,0.0044519901275634766,0.0,0.002348184585571289,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006628751754760742,0.00012302398681640625,0.004214763641357422,0.0,0.002290964126586914,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.00635981559753418,0.00012421607971191406,0.003914833068847656,0.0,0.0023207664489746094,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.0071446895599365234,0.00011992454528808594,0.0046389102935791016,0.0,0.002385854721069336,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.0060272216796875,0.00011801719665527344,0.004119873046875,0.0,0.0017893314361572266,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.0027229785919189453,0.00011897087097167969,0.0005381107330322266,0.0,0.002065896987915039,1.0,-1.5,0,1,24,26104,16,1
delgum,airport,latitude_deg,0.005358695983886719,0.00011897087097167969,0.003181934356689453,0.0,0.002057790756225586,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006087779998779297,0.00012087821960449219,0.003849029541015625,0.0,0.0021178722381591797,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.005960941314697266,0.00011706352233886719,0.003938913345336914,0.0,0.0019049644470214844,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.0067806243896484375,0.0001227855682373047,0.004309892654418945,0.0,0.0023479461669921875,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.00632023811340332,0.00011801719665527344,0.003994941711425781,0.0,0.0022072792053222656,0.0,-4.5,24,9,24,26680,16,1
delgum,airport,latitude_deg,0.00674891471862793,0.00011801719665527344,0.004058122634887695,0.0,0.002572774887084961,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.0068128108978271484,0.00014090538024902344,0.004150867462158203,0.0,0.002521038055419922,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006844043731689453,0.00012993812561035156,0.004355192184448242,0.0,0.0023589134216308594,1.0,-5.5,0,9,24,26680,16,1
delgum,airport,latitude_deg,0.007073879241943359,0.00012493133544921875,0.004503965377807617,0.0,0.0024449825286865234,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006478071212768555,0.000125885009765625,0.0040760040283203125,0.0,0.002276182174682617,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006577968597412109,0.00012302398681640625,0.00392603874206543,0.0,0.0025289058685302734,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.007137298583984375,0.00012111663818359375,0.00458216667175293,0.0,0.0024340152740478516,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006484031677246094,0.00011897087097167969,0.004346132278442383,0.0,0.0020189285278320312,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.00650787353515625,0.00011801719665527344,0.004174947738647461,0.0,0.0022149085998535156,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.0058917999267578125,0.00011992454528808594,0.003804922103881836,0.0,0.0019669532775878906,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.005588054656982422,0.00011920928955078125,0.003170013427734375,0.0,0.0022988319396972656,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.005327939987182617,0.00012111663818359375,0.0031387805938720703,0.0,0.002068042755126953,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.005903720855712891,0.00011992454528808594,0.003741025924682617,0.0,0.0020427703857421875,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.0061647891998291016,0.00011920928955078125,0.003597736358642578,0.0,0.002447843551635742,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.005708932876586914,0.00011873245239257812,0.003570079803466797,0.0,0.002020120620727539,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006140232086181641,0.00011920928955078125,0.004168987274169922,0.0,0.0018520355224609375,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.00661015510559082,0.00011920928955078125,0.004086971282958984,0.0,0.0024039745330810547,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.007090091705322266,0.00012612342834472656,0.004652976989746094,0.0,0.0023109912872314453,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.005827903747558594,0.00013017654418945312,0.0037338733673095703,0.0,0.0019638538360595703,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006072998046875,0.00012493133544921875,0.003679990768432617,0.0,0.002268075942993164,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006888389587402344,0.0001220703125,0.004458189010620117,0.0,0.0023081302642822266,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.0041332244873046875,0.00012421607971191406,0.0018949508666992188,0.0,0.0021140575408935547,1.0,-3.5,0,5,24,26392,16,1
delgum,airport,latitude_deg,0.00567936897277832,0.000125885009765625,0.003204822540283203,0.0,0.002348661422729492,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.004909992218017578,0.00012111663818359375,0.002602815628051758,0.0,0.0021860599517822266,1.0,-4.5,0,7,24,26536,16,1
delgum,airport,latitude_deg,0.006669044494628906,0.0001251697540283203,0.004431962966918945,0.0,0.0021119117736816406,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.007021903991699219,0.00014472007751464844,0.004472017288208008,0.0,0.0024051666259765625,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006289005279541016,0.0001227855682373047,0.004101276397705078,0.0,0.002064943313598633,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006826162338256836,0.0001201629638671875,0.004377841949462891,0.0,0.002328157424926758,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.007234811782836914,0.00012373924255371094,0.00475311279296875,0.0,0.002357959747314453,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.00682520866394043,0.0001201629638671875,0.004266023635864258,0.0,0.0024390220642089844,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.006585121154785156,0.00012373924255371094,0.0039522647857666016,0.0,0.0025091171264648438,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.005933046340942383,0.00013709068298339844,0.0033140182495117188,0.0,0.0024819374084472656,1.0,-5.0,0,8,24,26608,16,1
delgum,airport,latitude_deg,0.006407976150512695,0.0001289844512939453,0.0038340091705322266,0.0,0.0024449825286865234,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.006362199783325195,0.0001239776611328125,0.004084110260009766,0.0,0.002154111862182617,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.005844831466674805,0.00012373924255371094,0.0035829544067382812,0.0,0.0021381378173828125,1.0,-6.0,0,10,24,26752,16,1
delgum,airport,latitude_deg,0.005048990249633789,0.0001239776611328125,0.0026328563690185547,0.0,0.002292156219482422,1.0,-4.0,0,6,24,26464,16,1
delgum,airport,latitude_deg,0.0069425106048583984,0.00012803077697753906,0.004431247711181641,0.0,0.0023832321166992188,0.0,-5.0,24,10,24,26752,16,1
delgum,airport,latitude_deg,0.005888938903808594,0.00011992454528808594,0.0033731460571289062,0.0,0.0023958683013916016,0.0,-5.0,24,10,24,26752,16,1
