dataset,gamma_frac,S,seed,ci_level,nVmin,nEmin,dc_id,dc_str,m,nV,nE_best,best_head_j,best_base,weight
adult,0.5,300000,7,0.9,200,200,3,t0.Marital-status str UNEQUAL t1.Marital-status str AND t0.capital-gain float UNEQUAL t1.capital-gain float AND t0.relationship str EQUAL t1.relationship str,3,300000,14704,0,0.7950213388714078,0.2950213388714078
adult,0.5,300000,7,0.9,200,200,26,t0.education str EQUAL t1.education str AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,25407,1,0.559112501785081,0.059112501785080984
adult,0.5,300000,7,0.9,200,200,48,t0.capital-gain float LESS t1.capital-gain float AND t0.relationship str UNEQUAL t1.relationship str AND t0.Marital-status str EQUAL t1.Marital-status str,3,300000,8948,1,0.5902910639917912,0.09029106399179121
adult,0.5,300000,7,0.9,200,200,70,t0.Education-num int EQUAL t1.Education-num int AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,25407,1,0.559112501785081,0.059112501785080984
adult,0.5,300000,7,0.9,200,200,114,t0.Marital-status str UNEQUAL t1.Marital-status str AND t0.occupation str EQUAL t1.occupation str AND t0.relationship str EQUAL t1.relationship str,3,300000,9061,0,0.7308602616506709,0.23086026165067086
adult,0.5,300000,7,0.9,200,200,151,t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,8350,2,0.7054674181886055,0.20546741818860548
adult,0.5,300000,7,0.9,200,200,154,t0.Marital-status str UNEQUAL t1.Marital-status str AND t0.class str UNEQUAL t1.class str AND t0.relationship str EQUAL t1.relationship str,3,300000,74155,2,0.860912406419678,0.36091240641967803
adult,0.5,300000,7,0.9,200,200,194,t0.class str UNEQUAL t1.class str AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,29054,2,0.8268494341012528,0.3268494341012528
adult,0.5,300000,7,0.9,200,200,210,t0.Native-country str UNEQUAL t1.Native-country str AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,25832,1,0.6123585390618929,0.11235853906189286
adult,0.5,300000,7,0.9,200,200,229,t0.occupation str EQUAL t1.occupation str AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,9061,2,0.6583845853384793,0.15838458533847932
adult,0.5,300000,7,0.9,200,200,238,t0.Education-num int EQUAL t1.Education-num int AND t0.education str UNEQUAL t1.education str,2,300000,56940,1,0.9999412703532364,0.49994127035323643
adult,0.5,300000,7,0.9,200,200,239,t0.Education-num int UNEQUAL t1.Education-num int AND t0.education str EQUAL t1.education str,2,300000,56940,0,0.9999412703532364,0.49994127035323643
adult,0.5,300000,7,0.9,200,200,272,t0.capital-gain float UNEQUAL t1.capital-gain float AND t0.relationship str EQUAL t1.relationship str AND t0.sex str UNEQUAL t1.sex str,3,300000,14704,2,0.7467973742988931,0.24679737429889315
adult,0.5,300000,7,0.9,200,200,273,t0.Marital-status str UNEQUAL t1.Marital-status str AND t0.Native-country str UNEQUAL t1.Native-country str AND t0.relationship str EQUAL t1.relationship str,3,300000,38914,2,0.7095151021510749,0.20951510215107494
adult,0.5,300000,7,0.9,200,200,300,t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.relationship str UNEQUAL t1.relationship str AND t0.Marital-status str EQUAL t1.Marital-status str,3,300000,10199,1,0.5926733459465405,0.09267334594654053
adult,0.5,300000,7,0.9,200,200,301,t0.Marital-status str UNEQUAL t1.Marital-status str AND t0.capital-loss float UNEQUAL t1.capital-loss float AND t0.relationship str EQUAL t1.relationship str,3,300000,8350,0,0.788386546343929,0.288386546343929
