dataset,gamma_frac,S,seed,ci_level,nVmin,nEmin,dc_id,dc_str,m,nV,nE_best,best_head_j,best_base,weight
hospital,0.25,300000,7,0.9,200,50,1,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.HospitalName String EQUAL t1.HospitalName String AND t0.EmergencyService String UNEQUAL t1.EmergencyService String,3,300000,71,2,0.8345136510465716,0.5845136510465716
hospital,0.25,300000,7,0.9,200,50,2,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.HospitalName String EQUAL t1.HospitalName String AND t0.CountyName String UNEQUAL t1.CountyName String,3,299720,71,2,0.9631899286828981,0.7131899286828981
hospital,0.25,300000,7,0.9,200,50,3,t0.MeasureName String UNEQUAL t1.MeasureName String AND t0.StateAvg String EQUAL t1.StateAvg String,2,300000,360,0,0.9922273675185146,0.7422273675185146
hospital,0.25,300000,7,0.9,200,50,6,t0.MeasureCode String UNEQUAL t1.MeasureCode String AND t0.StateAvg String EQUAL t1.StateAvg String,2,300000,360,0,0.9922273675185146,0.7422273675185146
hospital,0.25,300000,7,0.9,200,50,7,t0.ProviderNumber String EQUAL t1.ProviderNumber String AND t0.City String UNEQUAL t1.City String,2,300000,71,1,0.9632541886686027,0.7132541886686027
hospital,0.25,300000,7,0.9,200,50,8,t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.State String UNEQUAL t1.State String,2,300000,72,1,0.9625993235499228,0.7125993235499228
hospital,0.25,300000,7,0.9,200,50,9,t0.HospitalName String EQUAL t1.HospitalName String AND t0.EmergencyService String UNEQUAL t1.EmergencyService String AND t0.City String EQUAL t1.City String,3,300000,71,1,0.8345136510465716,0.5845136510465716
hospital,0.25,300000,7,0.9,200,50,13,t0.ProviderNumber String UNEQUAL t1.ProviderNumber String AND t0.HospitalName String EQUAL t1.HospitalName String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String,3,300000,71,0,0.963281978133896,0.713281978133896
hospital,0.25,300000,7,0.9,200,50,14,t0.MeasureCode String EQUAL t1.MeasureCode String AND t0.MeasureName String UNEQUAL t1.MeasureName String,2,300000,11915,1,0.9997634463380568,0.7497634463380568
hospital,0.25,300000,7,0.9,200,50,15,t0.MeasureName String EQUAL t1.MeasureName String AND t0.MeasureCode String UNEQUAL t1.MeasureCode String,2,300000,11915,1,0.9997634463380568,0.7497634463380568
hospital,0.25,300000,7,0.9,200,50,16,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.City String UNEQUAL t1.City String,2,300000,87,1,0.9698082204336879,0.7198082204336879
hospital,0.25,300000,7,0.9,200,50,17,t0.StateAvg String UNEQUAL t1.StateAvg String AND t0.State String EQUAL t1.State String AND t0.MeasureName String EQUAL t1.MeasureName String,3,300000,360,0,0.9925308876184966,0.7425308876184966
hospital,0.25,300000,7,0.9,200,50,18,t0.EmergencyService String UNEQUAL t1.EmergencyService String AND t0.ProviderNumber String EQUAL t1.ProviderNumber String,2,300000,71,0,0.8345136510465716,0.5845136510465716
hospital,0.25,300000,7,0.9,200,50,19,t0.ProviderNumber String EQUAL t1.ProviderNumber String AND t0.HospitalType String UNEQUAL t1.HospitalType String,2,300000,71,1,0.9027979394907988,0.6527979394907988
hospital,0.25,300000,7,0.9,200,50,20,t0.Condition String UNEQUAL t1.Condition String AND t0.StateAvg String EQUAL t1.StateAvg String,2,300000,360,0,0.9898876843761008,0.7398876843761008
hospital,0.25,300000,7,0.9,200,50,21,t0.ZIPCode str UNEQUAL t1.ZIPCode str AND t0.ProviderNumber String EQUAL t1.ProviderNumber String,2,300000,71,0,0.9632798385310887,0.7132798385310887
hospital,0.25,300000,7,0.9,200,50,22,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.HospitalName String EQUAL t1.HospitalName String AND t0.HospitalOwner String UNEQUAL t1.HospitalOwner String,3,300000,71,2,0.955106349127061,0.705106349127061
hospital,0.25,300000,7,0.9,200,50,23,t0.EmergencyService String UNEQUAL t1.EmergencyService String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.HospitalType String UNEQUAL t1.HospitalType String,3,300000,34124,1,0.5991365892030063,0.3491365892030063
hospital,0.25,300000,7,0.9,200,50,24,t0.StateAvg String UNEQUAL t1.StateAvg String AND t0.State String EQUAL t1.State String AND t0.MeasureCode String EQUAL t1.MeasureCode String,3,300000,360,0,0.9925308876184966,0.7425308876184966
hospital,0.25,300000,7,0.9,200,50,25,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.HospitalName String EQUAL t1.HospitalName String AND t0.HospitalType String UNEQUAL t1.HospitalType String,3,300000,71,2,0.9027979394907988,0.6527979394907988
hospital,0.25,300000,7,0.9,200,50,26,t0.Condition String UNEQUAL t1.Condition String AND t0.MeasureCode String EQUAL t1.MeasureCode String,2,300000,11915,0,0.9996922400104139,0.7496922400104139
hospital,0.25,300000,7,0.9,200,50,28,t0.ZIPCode str UNEQUAL t1.ZIPCode str AND t0.PhoneNumber String EQUAL t1.PhoneNumber String,2,300000,72,0,0.9637713704813445,0.7137713704813445
hospital,0.25,300000,7,0.9,200,50,29,t0.PhoneNumber String UNEQUAL t1.PhoneNumber String AND t0.ProviderNumber String EQUAL t1.ProviderNumber String,2,300000,71,0,0.9632818438584263,0.7132818438584263
hospital,0.25,300000,7,0.9,200,50,30,t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.HospitalOwner String UNEQUAL t1.HospitalOwner String AND t0.HospitalType String UNEQUAL t1.HospitalType String,3,300000,96378,0,0.8580613463430209,0.6080613463430209
hospital,0.25,300000,7,0.9,200,50,31,t0.State String UNEQUAL t1.State String AND t0.StateAvg String EQUAL t1.StateAvg String,2,300000,360,0,0.992296677262923,0.742296677262923
