method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,adult,education,0,1000,0.025,0.0036230087280273438,0.0,0.00019121170043945312,0.0034317970275878906,0.2279649609237695,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.001905202865600586,0.0,0.00016307830810546875,0.0017421245574951172,0.022357120470564373,0.49122554744404323,-9.0,-1,9,231901,12
del2ph,adult,education,0,1000,0.025,0.0012798309326171875,0.0,0.0001697540283203125,0.001110076904296875,0.07568757850743024,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.001369476318359375,0.0,0.00016260147094726562,0.0012068748474121094,0.27142142629317934,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.001462697982788086,0.0,0.00017571449279785156,0.0012869834899902344,0.12520878807357239,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0015876293182373047,0.0,0.00017690658569335938,0.0014107227325439453,0.07788132858584484,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.00130462646484375,0.0,0.0001888275146484375,0.0011157989501953125,0.13634242367087324,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0015218257904052734,0.0,0.00019598007202148438,0.001325845718383789,0.1864234962965302,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.001695871353149414,0.0,0.00023484230041503906,0.001461029052734375,0.31000585477797515,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0012531280517578125,0.0,0.00020623207092285156,0.001046895980834961,0.21839367306015411,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.00152587890625,0.0,0.00019693374633789062,0.0013289451599121094,0.006707805661255728,0.49122554744404323,-8.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0014879703521728516,0.0,0.00019311904907226562,0.001294851303100586,0.055877911929705815,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0014469623565673828,0.0,0.0001900196075439453,0.0012569427490234375,0.1830352734275429,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0013427734375,0.0,0.00019788742065429688,0.0011448860168457031,0.11810326379252833,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0014560222625732422,0.0,0.00019693374633789062,0.0012590885162353516,0.20687236220212257,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0015399456024169922,0.0,0.0001990795135498047,0.0013408660888671875,0.1174966809805632,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.001708984375,0.0,0.00019407272338867188,0.0015149116516113281,0.1624257064579796,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0013632774353027344,0.0,0.00019931793212890625,0.0011639595031738281,0.062210468502462035,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0013053417205810547,0.0,0.0002071857452392578,0.0010981559753417969,0.07214991607853904,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0015058517456054688,0.0,0.0002148151397705078,0.001291036605834961,0.0538810470425658,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0017697811126708984,0.0,0.00021600723266601562,0.0015537738800048828,0.1624257064579796,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0014159679412841797,0.0,0.00021195411682128906,0.0012040138244628906,0.26371370493098534,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.001535654067993164,0.0,0.0002288818359375,0.001306772232055664,0.4837492874056374,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0012431144714355469,0.0,0.0001552104949951172,0.0010879039764404297,0.21836507959267193,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0011682510375976562,0.0,0.0001380443572998047,0.0010302066802978516,0.0,0.49122554744404323,-11.0,-1,11,231901,12
del2ph,adult,education,0,1000,0.025,0.0011510848999023438,0.0,0.00014019012451171875,0.001010894775390625,0.31112096706829984,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.001077890396118164,0.0,0.0001499652862548828,0.0009279251098632812,0.1302267998309552,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.001127004623413086,0.0,0.00014901161193847656,0.0009779930114746094,0.03678365128032379,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0013499259948730469,0.0,0.0001628398895263672,0.0011870861053466797,0.1864234962965302,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0011301040649414062,0.0,0.00016617774963378906,0.0009639263153076172,0.1758235488277866,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0015270709991455078,0.0,0.00019311904907226562,0.0013339519500732422,0.35125689310987174,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0014650821685791016,0.0,0.00019407272338867188,0.0012710094451904297,0.09917026085367997,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0017490386962890625,0.0,0.00020503997802734375,0.0015439987182617188,0.3698502358322284,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0014352798461914062,0.0,0.00021409988403320312,0.0012211799621582031,0.0010000749761468475,0.49122554744404323,-8.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0013751983642578125,0.0,0.0002110004425048828,0.0011641979217529297,0.062180243068847285,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0013947486877441406,0.0,0.00021696090698242188,0.0011777877807617188,0.3570682406971569,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0013222694396972656,0.0,0.00020694732666015625,0.0011153221130371094,0.08556485226132493,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.001560211181640625,0.0,0.0002219676971435547,0.0013382434844970703,0.1745553230710698,0.49122554744404323,-1003.0,-1,3,231901,12
del2ph,adult,education,0,1000,0.025,0.001583099365234375,0.0,0.00020694732666015625,0.0013761520385742188,0.36729045602441623,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0013377666473388672,0.0,0.00022983551025390625,0.001107931137084961,0.07214991607853904,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0015308856964111328,0.0,0.0002319812774658203,0.0012989044189453125,0.07123114870903602,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0013070106506347656,0.0,0.00021195411682128906,0.0010950565338134766,0.27142142629317934,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0013322830200195312,0.0,0.0002181529998779297,0.0011141300201416016,0.22646561173524504,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0014579296112060547,0.0,0.0002548694610595703,0.0012030601501464844,0.08101368251350205,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0023484230041503906,0.0,0.00021123886108398438,0.0021371841430664062,0.12520878807357239,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0013401508331298828,0.0,0.00021600723266601562,0.0011241436004638672,0.3292430677445122,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.00173187255859375,0.0,0.00023889541625976562,0.0014929771423339844,0.021089799059135328,0.49122554744404323,-9.0,-1,9,231901,12
del2ph,adult,education,0,1000,0.025,0.0016188621520996094,0.0,0.00028061866760253906,0.0013382434844970703,0.06305060421076658,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0012631416320800781,0.0,0.00021600723266601562,0.0010471343994140625,0.07123114870903602,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0015442371368408203,0.0,0.0002040863037109375,0.0013401508331298828,0.11275526499423527,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0015010833740234375,0.0,0.0002110004425048828,0.0012900829315185547,0.0034582910227277663,0.49122554744404323,-9.0,-1,9,231901,12
del2ph,adult,education,0,1000,0.025,0.0015399456024169922,0.0,0.00020885467529296875,0.0013310909271240234,0.007426165546169039,0.49122554744404323,-6.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0014829635620117188,0.0,0.00019097328186035156,0.0012919902801513672,0.43187055559681353,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0013890266418457031,0.0,0.00019598007202148438,0.0011930465698242188,0.04088153160590102,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.001239776611328125,0.0,0.00019478797912597656,0.0010449886322021484,0.2607152226933749,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.001554727554321289,0.0,0.00020694732666015625,0.0013477802276611328,0.43187055559681353,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0015292167663574219,0.0,0.00023508071899414062,0.0012941360473632812,0.36729045602441623,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0016448497772216797,0.0,0.0002448558807373047,0.001399993896484375,0.13430630454735304,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0017156600952148438,0.0,0.00023984909057617188,0.0014758110046386719,0.12809943965902804,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0014688968658447266,0.0,0.00022077560424804688,0.0012481212615966797,0.2607152226933749,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.001331329345703125,0.0,0.0002231597900390625,0.0011081695556640625,0.13658661466960142,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0014908313751220703,0.0,0.00021982192993164062,0.0012710094451904297,0.2607152226933749,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0013179779052734375,0.0,0.00021195411682128906,0.0011060237884521484,0.05549770254077413,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0016629695892333984,0.0,0.00021696090698242188,0.0014460086822509766,0.13948406023756588,0.49122554744404323,-1007.0,-1,7,231901,12
del2ph,adult,education,0,1000,0.025,0.0013689994812011719,0.0,0.00020885467529296875,0.0011601448059082031,0.12520878807357239,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0012149810791015625,0.0,0.00021409988403320312,0.0010008811950683594,0.1524620991231389,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.0014905929565429688,0.0,0.00021076202392578125,0.0012798309326171875,0.3292601046160202,0.49122554744404323,-1008.0,-1,8,231901,12
del2ph,adult,education,0,1000,0.025,0.0013997554779052734,0.0,0.00017380714416503906,0.0012259483337402344,0.3514304689713095,0.49122554744404323,-1005.0,-1,5,231901,12
del2ph,adult,education,0,1000,0.025,0.0012881755828857422,0.0,0.00021004676818847656,0.0010781288146972656,0.40803444525214194,0.49122554744404323,-1006.0,-1,6,231901,12
del2ph,adult,education,0,1000,0.025,0.00150299072265625,0.0,0.0002110004425048828,0.0012919902801513672,0.459832406379585,0.49122554744404323,-1004.0,-1,4,231901,12
del2ph,adult,education,0,1000,0.025,0.0015277862548828125,0.0,0.00021076202392578125,0.0013170242309570312,0.25289423910089825,0.49122554744404323,-1006.0,-1,6,231901,12
