method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cells
del2ph,adult,education,11.574350833892822,0.0,0.0003559589385986328,0.0018780231475830078,0.07123114870903602,0.49122554744404323,-3.0,25,3,320833,12
del2ph,adult,education,0.001931905746459961,0.0,0.00030303001403808594,0.001628875732421875,0.07214991607853904,0.49122554744404323,-7.0,265,7,320833,12
del2ph,adult,education,0.002329111099243164,0.0,0.0002911090850830078,0.0020380020141601562,0.06714669956426,0.49122554744404323,-7.0,197,7,320833,12
del2ph,adult,education,0.002474069595336914,0.0,0.00026798248291015625,0.002206087112426758,0.09037219074490865,0.49122554744404323,-5.0,53,5,320833,12
del2ph,adult,education,0.0017502307891845703,0.0,0.00029921531677246094,0.0014510154724121094,0.07568757850743024,0.49122554744404323,-7.0,187,7,320833,12
del2ph,adult,education,0.0019040107727050781,0.0,0.0002789497375488281,0.00162506103515625,0.07214991607853904,0.49122554744404323,-3.0,20,3,320833,12
del2ph,adult,education,0.001997232437133789,0.0,0.0002849102020263672,0.0017123222351074219,0.07292335260564409,0.49122554744404323,-5.0,66,5,320833,12
del2ph,adult,education,0.0015478134155273438,0.0,0.0002689361572265625,0.0012788772583007812,0.08871178627349474,0.49122554744404323,-5.0,58,5,320833,12
del2ph,adult,education,0.0019981861114501953,0.0,0.0002989768981933594,0.001699209213256836,0.09037219074490865,0.49122554744404323,-4.0,34,4,320833,12
del2ph,adult,education,0.0019099712371826172,0.0,0.0002779960632324219,0.0016319751739501953,0.06504180472959031,0.49122554744404323,-5.0,65,5,320833,12
del2ph,adult,education,0.0019140243530273438,0.0,0.00030517578125,0.0016088485717773438,0.03501672510755238,0.49122554744404323,-5.0,88,5,320833,12
del2ph,adult,education,0.0022988319396972656,0.0,0.00030684471130371094,0.0019919872283935547,0.07568757850743024,0.49122554744404323,-5.0,67,5,320833,12
del2ph,adult,education,0.0017185211181640625,0.0,0.0002753734588623047,0.0014431476593017578,0.07875627310112487,0.49122554744404323,-5.0,95,5,320833,12
del2ph,adult,education,0.0017333030700683594,0.0,0.0002753734588623047,0.0014579296112060547,0.08268886916965512,0.49122554744404323,-6.0,58,6,320833,12
del2ph,adult,education,0.001932382583618164,0.0,0.0002961158752441406,0.0016362667083740234,0.07214991607853904,0.49122554744404323,-6.0,124,6,320833,12
del2ph,adult,education,0.0019328594207763672,0.0,0.0002830028533935547,0.0016498565673828125,0.07123114870903602,0.49122554744404323,-7.0,319,7,320833,12
