method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
delmin,tax,city,,,,0.01734757423400879,0.013488054275512695,0.0023686885833740234,0.0014908313751220703,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.01195526123046875,0.0054399967193603516,0.004433155059814453,0.0020821094512939453,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.01215362548828125,0.00789785385131836,0.0026307106018066406,0.00162506103515625,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007933855056762695,0.004518985748291016,0.0022928714752197266,0.0011219978332519531,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.008652925491333008,0.005276918411254883,0.002146005630493164,0.001230001449584961,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007341146469116211,0.003950834274291992,0.002226114273071289,0.0011641979217529297,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.008687734603881836,0.004931926727294922,0.002591848373413086,0.0011639595031738281,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.008207082748413086,0.004544973373413086,0.002454042434692383,0.0012080669403076172,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007525205612182617,0.003933906555175781,0.002270936965942383,0.0013203620910644531,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007066249847412109,0.0037529468536376953,0.001950979232788086,0.0013623237609863281,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007233858108520508,0.0037109851837158203,0.0022890567779541016,0.001233816146850586,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.006793975830078125,0.0037200450897216797,0.0021190643310546875,0.0009548664093017578,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007322788238525391,0.0037126541137695312,0.002292156219482422,0.0013179779052734375,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007025003433227539,0.0037271976470947266,0.0020139217376708984,0.001283884048461914,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007045745849609375,0.003956794738769531,0.0021457672119140625,0.0009431838989257812,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007460832595825195,0.004182100296020508,0.002129793167114258,0.0011489391326904297,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.00733494758605957,0.004011869430541992,0.002313852310180664,0.001009225845336914,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007219076156616211,0.0038619041442871094,0.0021131038665771484,0.0012440681457519531,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.0070476531982421875,0.003693819046020508,0.002131938934326172,0.0012218952178955078,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.006836891174316406,0.0037877559661865234,0.0019099712371826172,0.0011391639709472656,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.0074121952056884766,0.003818035125732422,0.002275228500366211,0.0013189315795898438,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007009029388427734,0.003673076629638672,0.0022249221801757812,0.0011110305786132812,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007999897003173828,0.004255056381225586,0.0024340152740478516,0.0013108253479003906,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.00705718994140625,0.0038721561431884766,0.0022478103637695312,0.0009372234344482422,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.00753021240234375,0.0038771629333496094,0.0022780895233154297,0.001374959945678711,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007524967193603516,0.004121065139770508,0.0021059513092041016,0.0012979507446289062,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.006885528564453125,0.0037026405334472656,0.002048969268798828,0.0011339187622070312,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007399320602416992,0.0038442611694335938,0.0022461414337158203,0.0013089179992675781,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007646083831787109,0.004137992858886719,0.0022640228271484375,0.0012440681457519531,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.0075685977935791016,0.0042569637298583984,0.002077817916870117,0.001233816146850586,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007966995239257812,0.004166841506958008,0.0023040771484375,0.0014960765838623047,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.0073108673095703125,0.004021167755126953,0.002173900604248047,0.0011157989501953125,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007286548614501953,0.0039348602294921875,0.0020318031311035156,0.00131988525390625,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.00732111930847168,0.0040340423583984375,0.0021750926971435547,0.0011119842529296875,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007294893264770508,0.004102945327758789,0.002009153366088867,0.0011827945709228516,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.0073070526123046875,0.0039060115814208984,0.002190113067626953,0.001210927963256836,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007200956344604492,0.00400090217590332,0.002201080322265625,0.0009989738464355469,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007441043853759766,0.003885030746459961,0.002310037612915039,0.0012459754943847656,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007120847702026367,0.003987789154052734,0.0019888877868652344,0.0011441707611083984,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007052421569824219,0.0039272308349609375,0.0021131038665771484,0.0010120868682861328,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.007322072982788086,0.0038781166076660156,0.002135038375854492,0.0013089179992675781,0.0,0.5548418449270073,-0.75,0,3,560,3
delmin,tax,city,,,,0.0072290897369384766,0.00427699089050293,0.0018849372863769531,0.0010671615600585938,0.0,0.5548418449270073,-0.75,0,3,560,3
