method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0026140213012695312,0.0,7.605552673339844e-05,0.002537965774536133,0.5468475106079831,0.6623992294064142,-1004.0,-1,4,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.00156402587890625,0.0,6.914138793945312e-05,0.0014948844909667969,0.5468475106079831,0.6623992294064142,-1003.0,-1,3,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0015532970428466797,0.0,9.512901306152344e-05,0.0014581680297851562,0.2902622119955647,0.6623992294064142,-1007.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0016300678253173828,0.0,8.702278137207031e-05,0.0015430450439453125,0.5422684587046469,0.6623992294064142,-1003.0,-1,3,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0013110637664794922,0.0,8.726119995117188e-05,0.0012238025665283203,0.17183457703769034,0.6623992294064142,-1006.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0014908313751220703,0.0,6.508827209472656e-05,0.0014257431030273438,0.46992211475481305,0.6623992294064142,-1005.0,-1,5,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0015249252319335938,0.0,0.0001289844512939453,0.0013959407806396484,0.6623992294064142,0.6623992294064142,-1003.0,-1,3,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.001264333724975586,0.0,6.127357482910156e-05,0.0012030601501464844,0.5065005929742044,0.6623992294064142,-1005.0,-1,5,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0014128684997558594,0.0,6.198883056640625e-05,0.0013508796691894531,0.6623992294064142,0.6623992294064142,-1003.0,-1,3,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0013918876647949219,0.0,5.698204040527344e-05,0.0013349056243896484,0.42853421735144903,0.6623992294064142,-1005.0,-1,5,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0016629695892333984,0.0,6.985664367675781e-05,0.0015931129455566406,0.3594889549228737,0.6623992294064142,-1006.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0012099742889404297,0.0,0.00012302398681640625,0.0010869503021240234,0.4967909547833075,0.6623992294064142,-1004.0,-1,4,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0011639595031738281,0.0,5.793571472167969e-05,0.0011060237884521484,0.029167650999047168,0.6623992294064142,-1008.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0014679431915283203,0.0,7.581710815429688e-05,0.0013921260833740234,0.2629936790618288,0.6623992294064142,-1006.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0022835731506347656,0.0,0.0003178119659423828,0.001965761184692383,0.3764851312661076,0.6623992294064142,-1004.0,-1,4,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0030384063720703125,0.0,0.0004563331604003906,0.002582073211669922,0.42853421735144903,0.6623992294064142,-1007.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.006952524185180664,0.0,8.177757263183594e-05,0.006870746612548828,0.46992211475481305,0.6623992294064142,-1005.0,-1,5,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.002404928207397461,0.0,0.0002951622009277344,0.0021097660064697266,0.3764851312661076,0.6623992294064142,-1005.0,-1,5,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.002269268035888672,0.0,0.0003399848937988281,0.0019292831420898438,0.42850099142022324,0.6623992294064142,-1007.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0,1000,0.025,0.0027408599853515625,0.0,0.0003619194030761719,0.0023789405822753906,0.5468475106079831,0.6623992294064142,-1003.0,-1,3,54661,10
