method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em_random,adult,education,0,1000,0.025,0.038379669189453125,0.0028328895568847656,0.03261899948120117,0.0029277801513671875,0.14340383413236968,,-1002.0,7,2,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.045890092849731445,0.00034999847412109375,0.042922019958496094,0.002618074417114258,0.0015484762382850237,,-10.0,7,10,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.03270101547241211,0.0003147125244140625,0.02925705909729004,0.003129243850708008,0.0008797358684643486,,-10.0,7,10,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.023250818252563477,0.0003039836883544922,0.020592927932739258,0.0023539066314697266,0.13947309085243442,,-1006.0,7,6,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.0658879280090332,0.0003142356872558594,0.06301999092102051,0.002553701400756836,0.4400981151104615,,-1004.0,7,4,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.05021786689758301,0.0003178119659423828,0.044814109802246094,0.005085945129394531,0.0,,-11.0,7,11,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.039357900619506836,0.0003027915954589844,0.03515219688415527,0.003902912139892578,0.0,,-12.0,7,12,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.06577110290527344,0.0002961158752441406,0.06088089942932129,0.004594087600708008,0.4516656596995132,,-1005.0,7,5,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.03779792785644531,0.00032782554626464844,0.03393888473510742,0.003531217575073242,0.0,,-12.0,7,12,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.05153632164001465,0.0002980232238769531,0.046668052673339844,0.0045702457427978516,0.013693383409343451,,-8.0,7,8,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.04343724250793457,0.0002999305725097656,0.03916501998901367,0.003972291946411133,0.49122554744404323,,-1000.0,7,0,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.046221017837524414,0.0003330707550048828,0.042146921157836914,0.003741025924682617,0.06625078169897192,,-1006.0,7,6,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.0656137466430664,0.0003418922424316406,0.06061077117919922,0.004661083221435547,0.49122554744404323,,-1000.0,7,0,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.03749895095825195,0.00039386749267578125,0.032839059829711914,0.004266023635864258,0.08428179474348707,,-1007.0,7,7,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.04106593132019043,0.00043392181396484375,0.03650307655334473,0.004128932952880859,0.4400981151104615,,-1001.0,7,1,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.06656599044799805,0.00030493736267089844,0.06356382369995117,0.0026972293853759766,0.12486866579692091,,-1005.0,7,5,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.0556178092956543,0.00032210350036621094,0.05166292190551758,0.003632783889770508,0.13249648641337675,,-1003.0,7,3,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.042324066162109375,0.00030684471130371094,0.03753328323364258,0.004483938217163086,0.13754217745055075,,-1003.0,7,3,2858,12
marginal_em_random,adult,education,0,1000,0.025,0.06602811813354492,0.00029587745666503906,0.06198906898498535,0.0037431716918945312,0.0,,-11.0,7,11,2858,12
