method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em_random,airport,continent,0,1000,0.025,0.01126861572265625,0.004582881927490234,0.0027468204498291016,0.003938913345336914,0.423727723289243,,-1002.0,2,2,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.002969026565551758,9.799003601074219e-05,0.0003619194030761719,0.0025091171264648438,0.23807295734272593,,-1003.0,2,3,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.005429983139038086,0.0001552104949951172,0.0007188320159912109,0.004555940628051758,0.4037116649754706,,-1005.0,2,5,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.003269672393798828,0.00023674964904785156,0.0005962848663330078,0.0024366378784179688,0.0,,-4.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0037698745727539062,0.00019598007202148438,0.0007729530334472656,0.0028009414672851562,0.024793890495394266,,-5.0,2,5,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0038323402404785156,0.0002071857452392578,0.0007078647613525391,0.0029172897338867188,0.4021581592014304,,-1004.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.003345966339111328,0.00017786026000976562,0.0005950927734375,0.0025730133056640625,0.0,,-4.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.003648042678833008,0.0002090930938720703,0.0008599758148193359,0.0025789737701416016,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.008212804794311523,0.0001537799835205078,0.0008161067962646484,0.007242918014526367,0.0,,-6.0,2,6,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004030942916870117,0.00022912025451660156,0.0008268356323242188,0.002974987030029297,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.003926992416381836,0.00020575523376464844,0.0006582736968994141,0.0030629634857177734,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0051381587982177734,0.00028514862060546875,0.0009920597076416016,0.003860950469970703,0.23807295734272593,,-1002.0,2,2,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.006474971771240234,0.0001838207244873047,0.0007989406585693359,0.005492210388183594,0.0,,-6.0,2,6,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004165172576904297,0.00012373924255371094,0.0005681514739990234,0.0034732818603515625,0.0,,-6.0,2,6,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0041882991790771484,0.00016880035400390625,0.0007481575012207031,0.003271341323852539,0.12466526184245019,,-1004.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004081249237060547,0.00019097328186035156,0.0007390975952148438,0.0031511783599853516,0.4236357747645122,,-1001.0,2,1,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.007235050201416016,0.00016427040100097656,0.0006656646728515625,0.0064051151275634766,0.024793890495394266,,-4.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0064966678619384766,0.00019502639770507812,0.0009248256683349609,0.0053768157958984375,0.12480490572438319,,-1004.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0030913352966308594,8.797645568847656e-05,0.0003712177276611328,0.00263214111328125,0.03592524660768637,,-1004.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.00292205810546875,6.175041198730469e-05,0.0002532005310058594,0.002607107162475586,0.024793890495394266,,-4.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.003846406936645508,0.0003457069396972656,0.0006368160247802734,0.0028638839721679688,0.12466526184245019,,-1004.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.00429224967956543,0.0001800060272216797,0.0005869865417480469,0.003525257110595703,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004106760025024414,0.0001678466796875,0.0005950927734375,0.003343820571899414,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0034155845642089844,0.00013971328735351562,0.00048613548278808594,0.002789735794067383,0.0,,-6.0,2,6,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0031609535217285156,7.700920104980469e-05,0.0003020763397216797,0.0027818679809570312,0.4241653878016389,,-1001.0,2,1,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004709959030151367,0.00019979476928710938,0.0006961822509765625,0.0038139820098876953,0.4037116649754706,,-1005.0,2,5,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004632234573364258,0.0002040863037109375,0.0007998943328857422,0.003628253936767578,0.01135310516149557,,-5.0,2,5,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.003951311111450195,0.00014495849609375,0.0005261898040771484,0.003280162811279297,0.23807295734272593,,-1003.0,2,3,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0054378509521484375,0.000225067138671875,0.0011339187622070312,0.004078865051269531,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0036308765411376953,0.0002391338348388672,0.0006756782531738281,0.002716064453125,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.005263805389404297,0.00018405914306640625,0.0006248950958251953,0.004454851150512695,0.024793890495394266,,-4.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0028591156005859375,0.00014019012451171875,0.0005729198455810547,0.002146005630493164,0.024793890495394266,,-3.0,2,3,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004866361618041992,0.000179290771484375,0.0007090568542480469,0.00397801399230957,0.0,,-6.0,2,6,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.006508827209472656,0.0002617835998535156,0.0010869503021240234,0.005160093307495117,0.4070950471803544,,-1003.0,2,3,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.005059480667114258,0.0001678466796875,0.0008349418640136719,0.004056692123413086,0.0,,-6.0,2,6,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004396915435791016,0.0001780986785888672,0.0006227493286132812,0.003596067428588867,0.49830908053361767,,-1002.0,2,2,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.005794048309326172,0.0006718635559082031,0.0011281967163085938,0.003993988037109375,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.004048585891723633,0.00029778480529785156,0.0007979869842529297,0.0029528141021728516,0.13031538913726992,,-1004.0,2,4,458,6
marginal_em_random,airport,continent,0,1000,0.025,0.0030901432037353516,7.581710815429688e-05,0.00029921531677246094,0.0027151107788085938,0.4070950471803544,,-1003.0,2,3,458,6
