method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.021711111068725586,0.0014491081237792969,0.016787052154541016,0.0034749507904052734,0.6090400455538584,,-1002.0,4,2,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.01607489585876465,0.00021505355834960938,0.010690927505493164,0.005168914794921875,0.6623992294064142,,-1002.0,4,2,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.010823726654052734,0.0002129077911376953,0.007720947265625,0.002889871597290039,0.458343505445294,,-1004.0,4,4,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.02813720703125,0.00023889541625976562,0.013824224472045898,0.014074087142944336,0.44440927545847886,,-1006.0,4,6,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.015341758728027344,0.0003750324249267578,0.00718379020690918,0.007782936096191406,0.385599188513301,,-1008.0,4,8,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.016704082489013672,0.0002880096435546875,0.013751983642578125,0.0026640892028808594,0.6623992294064142,,-1001.0,4,1,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.010938882827758789,0.00021791458129882812,0.007864952087402344,0.002856016159057617,0.3592419527878562,,-1008.0,4,8,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.012457132339477539,0.00019931793212890625,0.0069158077239990234,0.005342006683349609,0.5422684587046469,,-1007.0,4,7,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.008969306945800781,0.0002040863037109375,0.006482124328613281,0.0022830963134765625,0.6090400455538584,,-1003.0,4,3,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.015213966369628906,0.0002429485321044922,0.011219978332519531,0.003751039505004883,0.6090400455538584,,-1003.0,4,3,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.012315988540649414,0.00021719932556152344,0.009896993637084961,0.0022017955780029297,0.6623992294064142,,-1001.0,4,1,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.012678861618041992,0.0002200603485107422,0.007429838180541992,0.005028963088989258,0.6086948858179753,,-1001.0,4,1,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.020158052444458008,0.0002460479736328125,0.016766071319580078,0.003145933151245117,0.0,,-10.0,4,10,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.010560750961303711,0.00022172927856445312,0.00786590576171875,0.002473115921020508,0.3592419527878562,,-1007.0,4,7,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.012199163436889648,0.00021696090698242188,0.008839130401611328,0.0031430721282958984,0.21940735109689347,,-1007.0,4,7,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.0157773494720459,0.00024199485778808594,0.010170221328735352,0.005365133285522461,0.21940735109689347,,-1009.0,4,9,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.020578861236572266,0.00019693374633789062,0.016872882843017578,0.003509044647216797,0.6090400455538584,,-1002.0,4,2,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.010312080383300781,0.00023102760314941406,0.0074748992919921875,0.0026061534881591797,0.5468475106079831,,-1008.0,4,8,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.013038158416748047,0.00017714500427246094,0.010296821594238281,0.0025641918182373047,0.6623992294064142,,-1001.0,4,1,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.011021137237548828,0.0002269744873046875,0.008639097213745117,0.0021550655364990234,0.44440927545847886,,-1007.0,4,7,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.013150930404663086,0.00022602081298828125,0.010299921035766602,0.002624988555908203,0.5468475106079831,,-1005.0,4,5,1823,10
marginal_em_random,hospital,ProviderNumber,0,1000,0.025,0.016956567764282227,0.00020313262939453125,0.013691186904907227,0.0030622482299804688,0.6623992294064142,,-1004.0,4,4,1823,10
