method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em_zero,airport,continent,0,1000,0.025,0.0069179534912109375,0.00023889541625976562,0.0007622241973876953,0.0059168338775634766,0.0,,-6.0,2,6,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003690958023071289,0.00015091896057128906,0.0009350776672363281,0.002604961395263672,0.40707400180527975,,-1004.0,2,4,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0030460357666015625,0.00016689300537109375,0.000885009765625,0.0019941329956054688,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003178119659423828,0.00016617774963378906,0.0008120536804199219,0.002199888229370117,0.4037116649754706,,-1005.0,2,5,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0036499500274658203,0.0001957416534423828,0.0010731220245361328,0.0023810863494873047,0.4241653878016389,,-1003.0,2,3,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003695964813232422,0.00029087066650390625,0.0010690689086914062,0.0023360252380371094,0.4037116649754706,,-1005.0,2,5,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003966808319091797,0.00023102760314941406,0.0009398460388183594,0.0027959346771240234,0.49830908053361767,,-1002.0,2,2,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0038559436798095703,0.00029015541076660156,0.0013458728790283203,0.0022199153900146484,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.004570960998535156,0.00021886825561523438,0.0010349750518798828,0.003317117691040039,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0034220218658447266,0.0002129077911376953,0.0007219314575195312,0.0024871826171875,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0031709671020507812,0.00017881393432617188,0.0008952617645263672,0.002096891403198242,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.002926349639892578,0.000164031982421875,0.0006871223449707031,0.0020751953125,0.4241653878016389,,-1003.0,2,3,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003805398941040039,0.0001671314239501953,0.00080108642578125,0.0028371810913085938,0.40707400180527975,,-1004.0,2,4,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.006232261657714844,0.00016689300537109375,0.0005881786346435547,0.005477190017700195,0.49830908053361767,,-1000.0,2,0,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.002974987030029297,0.00018477439880371094,0.0008561611175537109,0.001934051513671875,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003468036651611328,0.00018525123596191406,0.0008387565612792969,0.002444028854370117,0.0,,-6.0,2,6,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0024461746215820312,0.00012421607971191406,0.0006320476531982422,0.001689910888671875,0.49830908053361767,,-1002.0,2,2,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0027921199798583984,0.00014019012451171875,0.0006618499755859375,0.001990079879760742,0.0,,-6.0,2,6,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003921031951904297,0.00013709068298339844,0.0007569789886474609,0.0030269622802734375,0.4241653878016389,,-1003.0,2,3,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.003802776336669922,0.00013899803161621094,0.0007309913635253906,0.0029327869415283203,0.49830908053361767,,-1001.0,2,1,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.0034732818603515625,0.00013327598571777344,0.0007150173187255859,0.002624988555908203,0.4241653878016389,,-1003.0,2,3,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.00410008430480957,0.00017714500427246094,0.0007460117340087891,0.0031769275665283203,0.4241653878016389,,-1003.0,2,3,458,6
marginal_em_zero,airport,continent,0,1000,0.025,0.00319671630859375,0.00016188621520996094,0.0010499954223632812,0.001984834671020508,0.49830908053361767,,-1001.0,2,1,458,6
