method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em_zero,tax,city,0,1000,0.025,0.0047342777252197266,0.0002722740173339844,0.0005629062652587891,0.003899097442626953,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003828763961791992,0.00029921531677246094,0.0005156993865966797,0.0030138492584228516,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0036318302154541016,0.0004341602325439453,0.0007607936859130859,0.0024368762969970703,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0036270618438720703,0.0004191398620605469,0.0006258487701416016,0.002582073211669922,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0036711692810058594,0.00040221214294433594,0.0006759166717529297,0.0025930404663085938,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002830982208251953,0.00038909912109375,0.0006208419799804688,0.0018210411071777344,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0028870105743408203,0.0002079010009765625,0.0003170967102050781,0.0023620128631591797,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0023908615112304688,0.000202178955078125,0.00030803680419921875,0.001880645751953125,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.00249481201171875,0.00020194053649902344,0.000431060791015625,0.0018618106842041016,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0024220943450927734,0.00019097328186035156,0.0002980232238769531,0.0019330978393554688,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002813100814819336,0.00022602081298828125,0.0004241466522216797,0.002162933349609375,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.00284576416015625,0.00021386146545410156,0.0003230571746826172,0.0023088455200195312,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002382040023803711,0.00021004676818847656,0.00031495094299316406,0.0018570423126220703,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002851724624633789,0.0004019737243652344,0.00033402442932128906,0.0021157264709472656,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002499818801879883,0.00021386146545410156,0.0003228187561035156,0.0019631385803222656,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0025129318237304688,0.00020194053649902344,0.00030493736267089844,0.002006053924560547,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004013776779174805,0.0004220008850097656,0.0007758140563964844,0.0028159618377685547,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003796815872192383,0.00043892860412597656,0.0008249282836914062,0.002532958984375,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0035333633422851562,0.0003960132598876953,0.0007243156433105469,0.002413034439086914,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003747224807739258,0.0003960132598876953,0.0005860328674316406,0.002765178680419922,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002992868423461914,0.00018286705017089844,0.0003681182861328125,0.002441883087158203,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002850055694580078,0.0003859996795654297,0.0005650520324707031,0.0018990039825439453,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0029370784759521484,0.0004019737243652344,0.0006620883941650391,0.001873016357421875,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004667043685913086,0.00041222572326660156,0.0007228851318359375,0.003531932830810547,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003576040267944336,0.00038909912109375,0.0006899833679199219,0.002496957778930664,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003474712371826172,0.0001862049102783203,0.0004086494445800781,0.0028798580169677734,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0034639835357666016,0.00032401084899902344,0.0006411075592041016,0.0024988651275634766,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.002508878707885742,0.00023794174194335938,0.0003609657287597656,0.0019099712371826172,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0023651123046875,0.0002079010009765625,0.0003230571746826172,0.0018341541290283203,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0030820369720458984,0.00019693374633789062,0.00030684471130371094,0.002578258514404297,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0034105777740478516,0.00038886070251464844,0.0006289482116699219,0.0023927688598632812,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004264116287231445,0.0004858970642089844,0.0008599758148193359,0.002918243408203125,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003345012664794922,0.0003159046173095703,0.0005970001220703125,0.002432107925415039,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004286766052246094,0.00024509429931640625,0.0005338191986083984,0.003507852554321289,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004209995269775391,0.0002598762512207031,0.0005249977111816406,0.003425121307373047,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0038747787475585938,0.00025391578674316406,0.0005879402160644531,0.0030329227447509766,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004461765289306641,0.0005559921264648438,0.000985860824584961,0.002919912338256836,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.005515098571777344,0.0003058910369873047,0.0008261203765869141,0.004383087158203125,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.005075693130493164,0.0002288818359375,0.0005040168762207031,0.004342794418334961,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004285097122192383,0.00046324729919433594,0.0007939338684082031,0.0030279159545898438,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0031812191009521484,0.000225067138671875,0.0004780292510986328,0.0024781227111816406,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003640890121459961,0.00035190582275390625,0.0005359649658203125,0.002753019332885742,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004819154739379883,0.0002701282501220703,0.0010879039764404297,0.003461122512817383,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003595113754272461,0.00040602684020996094,0.0005469322204589844,0.0026421546936035156,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0034601688385009766,0.0004930496215820312,0.0008041858673095703,0.002162933349609375,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0031011104583740234,0.00030684471130371094,0.0005161762237548828,0.0022780895233154297,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0043621063232421875,0.0002510547637939453,0.0006508827209472656,0.0034601688385009766,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.005448818206787109,0.0004858970642089844,0.0010678768157958984,0.0038950443267822266,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.006720304489135742,0.00047278404235839844,0.0039691925048828125,0.0022783279418945312,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0027399063110351562,0.0002818107604980469,0.0004169940948486328,0.0020411014556884766,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003611326217651367,0.0004298686981201172,0.0005512237548828125,0.0026302337646484375,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004719972610473633,0.0004458427429199219,0.0008280277252197266,0.0034461021423339844,0.5548418449270073,,-1002.0,1,2,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0046939849853515625,0.00023794174194335938,0.0005929470062255859,0.003863096237182617,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003910064697265625,0.0003757476806640625,0.0007431507110595703,0.002791166305541992,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.005201816558837891,0.0002429485321044922,0.0004949569702148438,0.004463911056518555,0.0,,-3.0,1,3,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003074169158935547,0.0004811286926269531,0.0005660057067871094,0.0020270347595214844,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0034449100494384766,0.0002460479736328125,0.0003237724304199219,0.002875089645385742,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0034477710723876953,0.00042700767517089844,0.0008080005645751953,0.0022127628326416016,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004188060760498047,0.0004379749298095703,0.0006251335144042969,0.0031249523162841797,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003620624542236328,0.0004367828369140625,0.0006470680236816406,0.002536773681640625,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0038030147552490234,0.0004360675811767578,0.0007240772247314453,0.0026428699493408203,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.004456758499145508,0.0002727508544921875,0.00035309791564941406,0.0038309097290039062,0.5548418449270073,,-1000.0,1,0,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.003431558609008789,0.00032830238342285156,0.0005412101745605469,0.0025620460510253906,0.5548418449270073,,-1001.0,1,1,201,3
marginal_em_zero,tax,city,0,1000,0.025,0.0032820701599121094,0.00046372413635253906,0.0007021427154541016,0.0021162033081054688,0.0,,-3.0,1,3,201,3
