method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,adult,education,0.1,1000,0.2,0.0030612945556640625,0.0,0.0002040863037109375,0.002857208251953125,0.14771563937891363,0.49122554744404323,-4.0,-1,4,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0023202896118164062,0.0,0.00015592575073242188,0.0021643638610839844,0.12550773875577992,0.49122554744404323,-5.0,-1,5,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0017790794372558594,0.0,0.00017595291137695312,0.0016031265258789062,0.1982055807652513,0.49122554744404323,-3.0,-1,3,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0017118453979492188,0.0,0.00017881393432617188,0.0015330314636230469,0.12520878807357239,0.49122554744404323,-2.0,-1,2,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0016319751739501953,0.0,0.0002079010009765625,0.0014240741729736328,0.07867250966578732,0.49122554744404323,-7.0,-1,7,231901,12
del2ph,adult,education,0.1,1000,0.2,0.001972198486328125,0.0,0.00022125244140625,0.001750946044921875,0.06012839460448982,0.49122554744404323,-6.0,-1,6,231901,12
del2ph,adult,education,0.1,1000,0.2,0.001977682113647461,0.0,0.00021195411682128906,0.0017657279968261719,0.1864234962965302,0.49122554744404323,-5.0,-1,5,231901,12
del2ph,adult,education,0.1,1000,0.2,0.024555206298828125,0.0,0.00026798248291015625,0.02428722381591797,0.06296199010796566,0.49122554744404323,-7.0,-1,7,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0024251937866210938,0.0,0.000308990478515625,0.0021162033081054688,0.18972330006657356,0.49122554744404323,-6.0,-1,6,231901,12
del2ph,adult,education,0.1,1000,0.2,0.001980304718017578,0.0,0.00025010108947753906,0.001730203628540039,0.1864234962965302,0.49122554744404323,-3.0,-1,3,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0016429424285888672,0.0,0.00027298927307128906,0.0013699531555175781,0.12520878807357239,0.49122554744404323,-4.0,-1,4,231901,12
del2ph,adult,education,0.1,1000,0.2,0.001741647720336914,0.0,0.0002448558807373047,0.0014967918395996094,0.08054494612165852,0.49122554744404323,-6.0,-1,6,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0017158985137939453,0.0,0.0002529621124267578,0.0014629364013671875,0.12520878807357239,0.49122554744404323,-5.0,-1,5,231901,12
del2ph,adult,education,0.1,1000,0.2,0.00173187255859375,0.0,0.0002548694610595703,0.0014770030975341797,0.12520878807357239,0.49122554744404323,-3.0,-1,3,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0018253326416015625,0.0,0.00027823448181152344,0.001547098159790039,0.09691344011356284,0.49122554744404323,-4.0,-1,4,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0020389556884765625,0.0,0.0002827644348144531,0.0017561912536621094,0.12520878807357239,0.49122554744404323,-4.0,-1,4,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0020182132720947266,0.0,0.00032711029052734375,0.0016911029815673828,0.07638974902252749,0.49122554744404323,-7.0,-1,7,231901,12
del2ph,adult,education,0.1,1000,0.2,0.0020220279693603516,0.0,0.00028705596923828125,0.0017349720001220703,0.12520878807357239,0.49122554744404323,-3.0,-1,3,231901,12
