method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,airport,continent,0.1,1000,0.2,0.0019741058349609375,0.0,0.00016999244689941406,0.0018041133880615234,0.03592524660768637,0.49830908053361767,-3.0,-1,3,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.002382516860961914,0.0,0.00014734268188476562,0.0022351741790771484,0.13031538913726992,0.49830908053361767,-4.0,-1,4,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0025739669799804688,0.0,0.0001380443572998047,0.002435922622680664,0.12466526184245019,0.49830908053361767,-4.0,-1,4,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.001880645751953125,0.0,0.00015878677368164062,0.0017218589782714844,0.04332145489246653,0.49830908053361767,-4.0,-1,4,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0020728111267089844,0.0,0.00015997886657714844,0.001912832260131836,0.0,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0017211437225341797,0.0,0.00016307830810546875,0.001558065414428711,0.03592524660768637,0.49830908053361767,-2.0,-1,2,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0019621849060058594,0.0,0.0001971721649169922,0.0017650127410888672,0.10235490787551138,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0022699832916259766,0.0,0.000125885009765625,0.0021440982818603516,0.0,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0016422271728515625,0.0,0.00010013580322265625,0.0015420913696289062,0.03592524660768637,0.49830908053361767,-2.0,-1,2,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.001560211181640625,0.0,9.298324584960938e-05,0.0014672279357910156,0.0,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0015099048614501953,0.0,8.797645568847656e-05,0.0014219284057617188,0.0,0.49830908053361767,-4.0,-1,4,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.002344369888305664,0.0,0.00011110305786132812,0.002233266830444336,0.0,0.49830908053361767,-5.0,-1,5,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0016548633575439453,0.0,9.489059448242188e-05,0.0015599727630615234,0.12466526184245019,0.49830908053361767,-2.0,-1,2,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.003216981887817383,0.0,0.00013589859008789062,0.003081083297729492,0.12466526184245019,0.49830908053361767,-3.0,-1,3,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0022695064544677734,0.0,0.00018262863159179688,0.0020868778228759766,0.04332145489246653,0.49830908053361767,-4.0,-1,4,3057,6
del2ph,airport,continent,0.1,1000,0.2,0.0037038326263427734,0.0,0.0001678466796875,0.0035359859466552734,0.03592524660768637,0.49830908053361767,-4.0,-1,4,3057,6
