method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.004030942916870117,0.0,0.00011086463928222656,0.003920078277587891,0.04096074580812714,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002457141876220703,0.0,9.298324584960938e-05,0.0023641586303710938,0.1616508089511316,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0019752979278564453,0.0,0.00013017654418945312,0.0018451213836669922,0.1616508089511316,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0014507770538330078,0.0,0.00010776519775390625,0.0013430118560791016,0.1455166996776397,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0013909339904785156,0.0,8.082389831542969e-05,0.001310110092163086,0.029167650999047168,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0016751289367675781,0.0,7.700920104980469e-05,0.0015981197357177734,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.001359701156616211,0.0,7.462501525878906e-05,0.0012850761413574219,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0023910999298095703,0.0,7.033348083496094e-05,0.0023207664489746094,0.15602677522732178,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0013282299041748047,0.0,8.106231689453125e-05,0.0012471675872802734,0.035544277937330504,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0014278888702392578,0.0,6.890296936035156e-05,0.0013589859008789062,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0014390945434570312,0.0,8.916854858398438e-05,0.0013499259948730469,0.0002521225070323263,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.001453399658203125,0.0,0.00011420249938964844,0.0013391971588134766,0.035544277937330504,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.001483917236328125,0.0,0.00011491775512695312,0.0013689994812011719,0.04096074580812714,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0026972293853759766,0.0,0.00013709068298339844,0.002560138702392578,0.15602677522732178,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0018620491027832031,0.0,7.82012939453125e-05,0.0017838478088378906,0.029167650999047168,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0014617443084716797,0.0,7.987022399902344e-05,0.0013818740844726562,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0020110607147216797,0.0,0.00019097328186035156,0.0018200874328613281,0.0002521225070323263,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0025572776794433594,0.0,0.00028514862060546875,0.0022721290588378906,0.1616508089511316,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0030171871185302734,0.0,0.0003781318664550781,0.0026390552520751953,0.04096074580812714,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0019252300262451172,0.0,0.0002391338348388672,0.00168609619140625,0.14051562447887778,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002489805221557617,0.0,0.00032591819763183594,0.0021638870239257812,0.16715725920573166,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0026950836181640625,0.0,0.0003349781036376953,0.002360105514526367,0.0002521225070323263,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0024633407592773438,0.0,0.0003273487091064453,0.0021359920501708984,0.1455166996776397,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0034246444702148438,0.0,0.00025177001953125,0.0031728744506835938,0.04096074580812714,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0033593177795410156,0.0,0.0003821849822998047,0.002977132797241211,0.14051562447887778,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002498626708984375,0.0,0.0002796649932861328,0.002218961715698242,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.003210783004760742,0.0,0.0004887580871582031,0.002722024917602539,0.01818233333891406,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0020151138305664062,0.0,0.00028514862060546875,0.0017299652099609375,0.14051562447887778,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002143383026123047,0.0,0.0002911090850830078,0.001852273941040039,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.00284576416015625,0.0,0.00029778480529785156,0.0025479793548583984,0.14540885463656628,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002195119857788086,0.0,0.0002818107604980469,0.001913309097290039,0.0,0.6623992294064142,-9.0,-1,9,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0024957656860351562,0.0,0.00022983551025390625,0.00226593017578125,0.04096074580812714,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002471923828125,0.0,0.0002989768981933594,0.0021729469299316406,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0028672218322753906,0.0,0.00036716461181640625,0.0025000572204589844,0.01818233333891406,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0022139549255371094,0.0,0.0002911090850830078,0.0019228458404541016,0.14051562447887778,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.003104686737060547,0.0,0.001325845718383789,0.0017788410186767578,0.15602677522732178,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0026595592498779297,0.0,0.00031685829162597656,0.002342700958251953,0.15602677522732178,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0027513504028320312,0.0,0.0003750324249267578,0.0023763179779052734,0.16715725920573166,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.002543926239013672,0.0,0.00035500526428222656,0.0021889209747314453,0.04096074580812714,0.6623992294064142,-7.0,-1,7,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0023691654205322266,0.0,0.0002951622009277344,0.002074003219604492,0.1455166996776397,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0029349327087402344,0.0,0.00034117698669433594,0.0025937557220458984,0.01818233333891406,0.6623992294064142,-8.0,-1,8,54661,10
del2ph,hospital,ProviderNumber,0.1,1000,0.2,0.0023391246795654297,0.0,0.00018930435180664062,0.002149820327758789,0.17183457703769034,0.6623992294064142,-6.0,-1,6,54661,10
