method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cells
del2ph,tax,city,0.005477190017700195,0.0,4.9114227294921875e-05,0.0017819404602050781,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0015652179718017578,0.0,3.814697265625e-05,0.0015270709991455078,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0018630027770996094,0.0,3.2901763916015625e-05,0.0018301010131835938,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0019621849060058594,0.0,2.8133392333984375e-05,0.001934051513671875,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0021207332611083984,0.0,2.6941299438476562e-05,0.002093791961669922,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.003695249557495117,0.0,2.5033950805664062e-05,0.003670215606689453,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0015347003936767578,0.0,0.00015282630920410156,0.0013818740844726562,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0017287731170654297,0.0,4.982948303222656e-05,0.0016789436340332031,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0025577545166015625,0.0,0.0001049041748046875,0.002452850341796875,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0026433467864990234,0.0,0.0001380443572998047,0.0025053024291992188,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0034685134887695312,0.0,0.0002276897430419922,0.003240823745727539,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0058057308197021484,0.0,0.00024890899658203125,0.005556821823120117,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.004321098327636719,0.0,0.00021219253540039062,0.004108905792236328,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0033211708068847656,0.0,0.0002071857452392578,0.003113985061645508,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.004212856292724609,0.0,0.00025582313537597656,0.003957033157348633,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0040149688720703125,0.0,0.0003349781036376953,0.003679990768432617,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.003390073776245117,0.0,0.0002899169921875,0.003100156784057617,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.002873659133911133,0.0,0.00015687942504882812,0.0027167797088623047,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.002763032913208008,0.0,0.00021886825561523438,0.0025441646575927734,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0019638538360595703,0.0,0.00015091896057128906,0.0018129348754882812,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0018706321716308594,0.0,0.00018358230590820312,0.0016870498657226562,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0022192001342773438,0.0,0.00023102760314941406,0.0019881725311279297,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0023603439331054688,0.0,0.00012636184692382812,0.0022339820861816406,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0025491714477539062,0.0,0.0003211498260498047,0.0022280216217041016,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0036773681640625,0.0,0.0002281665802001953,0.0034492015838623047,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0024399757385253906,0.0,0.0002968311309814453,0.0021431446075439453,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0019078254699707031,0.0,0.00019407272338867188,0.0017137527465820312,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0014858245849609375,0.0,0.0001838207244873047,0.0013020038604736328,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.0026781558990478516,0.0,6.008148193359375e-05,0.002618074417114258,0.0,0.5548418449270073,-3.0,-1,3,989,3
del2ph,tax,city,0.003965854644775391,0.0,0.00023984909057617188,0.0037260055541992188,0.0,0.5548418449270073,-3.0,-1,3,989,3
