dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
airport,continent,0.0,0.025,1000.0,MAX,0.005337
airport,continent,0.0,0.05,1000.0,MAX,0.005415
airport,continent,0.0,0.1,1000.0,MAX,0.004571
airport,continent,0.0,0.2,1000.0,MAX,0.004780
airport,continent,0.0,0.3,1000.0,MAX,0.007414
airport,continent,0.0,0.4,1000.0,MAX,0.007927
airport,continent,0.0,0.5,1000.0,MAX,0.006491
airport,continent,0.0,0.6,1000.0,MAX,0.005615
airport,continent,0.0,0.7,1000.0,MAX,0.007995
airport,continent,0.0,0.8,1000.0,MAX,0.006492
airport,continent,0.0,0.9,1000.0,MAX,0.007066
airport,continent,0.1,0.025,1000.0,MAX,0.010506
airport,continent,0.1,0.05,1000.0,MAX,0.007894
airport,continent,0.1,0.1,1000.0,MAX,0.004797
airport,continent,0.1,0.2,1000.0,MAX,0.005930
airport,continent,0.1,0.3,1000.0,MAX,0.002691
airport,continent,0.1,0.4,1000.0,MAX,0.001621
airport,continent,0.1,0.5,1000.0,MAX,0.001966
airport,continent,0.1,0.6,1000.0,MAX,0.005712
airport,continent,0.1,0.7,1000.0,MAX,0.007806
airport,continent,0.1,0.8,1000.0,MAX,0.005349
airport,continent,0.1,0.9,1000.0,MAX,0.004913
airport,continent,0.5,0.025,1000.0,MAX,0.007360
airport,continent,0.5,0.05,1000.0,MAX,0.005959
airport,continent,0.5,0.1,1000.0,MAX,0.006143
airport,continent,0.5,0.2,1000.0,MAX,0.006793
airport,continent,0.5,0.3,1000.0,MAX,0.005519
airport,continent,0.5,0.4,1000.0,MAX,0.001692
airport,continent,0.5,0.5,1000.0,MAX,0.001715
airport,continent,0.5,0.6,1000.0,MAX,0.008012
airport,continent,0.5,0.7,1000.0,MAX,0.006686
airport,continent,0.5,0.8,1000.0,MAX,0.011086
airport,continent,0.5,0.9,1000.0,MAX,0.009961
airport,continent,0.75,0.025,1000.0,MAX,0.009299
airport,continent,0.75,0.05,1000.0,MAX,0.004469
airport,continent,0.75,0.1,1000.0,MAX,0.008201
airport,continent,0.75,0.2,1000.0,MAX,0.006377
airport,continent,0.75,0.3,1000.0,MAX,0.004348
airport,continent,0.75,0.4,1000.0,MAX,0.005498
airport,continent,0.75,0.5,1000.0,MAX,0.006903
airport,continent,0.75,0.6,1000.0,MAX,0.008664
airport,continent,0.75,0.7,1000.0,MAX,0.006018
airport,continent,0.75,0.8,1000.0,MAX,0.005331
airport,continent,0.75,0.9,1000.0,MAX,0.006769
airport,continent,1.0,0.025,1000.0,MAX,0.006505
airport,continent,1.0,0.05,1000.0,MAX,0.006017
airport,continent,1.0,0.1,1000.0,MAX,0.008106
airport,continent,1.0,0.2,1000.0,MAX,0.005906
airport,continent,1.0,0.3,1000.0,MAX,0.006177
airport,continent,1.0,0.4,1000.0,MAX,0.007138
airport,continent,1.0,0.5,1000.0,MAX,0.007029
airport,continent,1.0,0.6,1000.0,MAX,0.008597
airport,continent,1.0,0.7,1000.0,MAX,0.001991
airport,continent,1.0,0.8,1000.0,MAX,0.004727
airport,continent,1.0,0.9,1000.0,MAX,0.003935
airport,continent,1.5,0.025,1000.0,MAX,0.004610
airport,continent,1.5,0.05,1000.0,MAX,0.005429
airport,continent,1.5,0.1,1000.0,MAX,0.004267
airport,continent,1.5,0.2,1000.0,MAX,0.004413
airport,continent,1.5,0.3,1000.0,MAX,0.001874
airport,continent,1.5,0.4,1000.0,MAX,0.001826
airport,continent,1.5,0.5,1000.0,MAX,0.002613
airport,continent,1.5,0.6,1000.0,MAX,0.008699
airport,continent,1.5,0.7,1000.0,MAX,0.005789
airport,continent,1.5,0.8,1000.0,MAX,0.002841
airport,continent,1.5,0.9,1000.0,MAX,0.001773
airport,continent,2.0,0.025,1000.0,MAX,0.004664
airport,continent,2.0,0.05,1000.0,MAX,0.005256
airport,continent,2.0,0.1,1000.0,MAX,0.009048
airport,continent,2.0,0.2,1000.0,MAX,0.009780
airport,continent,2.0,0.3,1000.0,MAX,0.010660
airport,continent,2.0,0.4,1000.0,MAX,0.004614
airport,continent,2.0,0.5,1000.0,MAX,0.001732
airport,continent,2.0,0.6,1000.0,MAX,0.004909
airport,continent,2.0,0.7,1000.0,MAX,0.004374
airport,continent,2.0,0.8,1000.0,MAX,0.004516
