dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
tax,city,0.0,0.025,1000.0,MAX,0.003610
tax,city,0.0,0.05,1000.0,MAX,0.003352
tax,city,0.0,0.1,1000.0,MAX,0.003921
tax,city,0.0,0.2,1000.0,MAX,0.004521
tax,city,0.0,0.3,1000.0,MAX,0.004162
tax,city,0.0,0.4,1000.0,MAX,0.005096
tax,city,0.0,0.5,1000.0,MAX,0.004865
tax,city,0.0,0.6,1000.0,MAX,0.005297
tax,city,0.0,0.7,1000.0,MAX,0.003960
tax,city,0.0,0.8,1000.0,MAX,0.005664
tax,city,0.0,0.9,1000.0,MAX,0.004725
tax,city,0.1,0.025,1000.0,MAX,0.004653
tax,city,0.1,0.05,1000.0,MAX,0.004426
tax,city,0.1,0.1,1000.0,MAX,0.004437
tax,city,0.1,0.2,1000.0,MAX,0.002713
tax,city,0.1,0.3,1000.0,MAX,0.005226
tax,city,0.1,0.4,1000.0,MAX,0.001074
tax,city,0.1,0.5,1000.0,MAX,0.003543
tax,city,0.1,0.6,1000.0,MAX,0.004876
tax,city,0.1,0.7,1000.0,MAX,0.006784
tax,city,0.1,0.8,1000.0,MAX,0.008452
tax,city,0.1,0.9,1000.0,MAX,0.005351
tax,city,0.5,0.025,1000.0,MAX,0.010045
tax,city,0.5,0.05,1000.0,MAX,0.009287
tax,city,0.5,0.1,1000.0,MAX,0.004853
tax,city,0.5,0.2,1000.0,MAX,0.003850
tax,city,0.5,0.3,1000.0,MAX,0.002340
tax,city,0.5,0.4,1000.0,MAX,0.001026
tax,city,0.5,0.5,1000.0,MAX,0.001099
tax,city,0.5,0.6,1000.0,MAX,0.001268
tax,city,0.5,0.7,1000.0,MAX,0.007574
tax,city,0.5,0.8,1000.0,MAX,0.007101
tax,city,0.5,0.9,1000.0,MAX,0.008600
tax,city,0.75,0.025,1000.0,MAX,0.002902
tax,city,0.75,0.05,1000.0,MAX,0.007608
tax,city,0.75,0.1,1000.0,MAX,0.003447
tax,city,0.75,0.2,1000.0,MAX,0.008199
tax,city,0.75,0.3,1000.0,MAX,0.007530
tax,city,0.75,0.4,1000.0,MAX,0.007699
tax,city,0.75,0.5,1000.0,MAX,0.005300
tax,city,0.75,0.6,1000.0,MAX,0.007820
tax,city,0.75,0.7,1000.0,MAX,0.003954
tax,city,0.75,0.8,1000.0,MAX,0.000964
tax,city,0.75,0.9,1000.0,MAX,0.001223
tax,city,1.0,0.025,1000.0,MAX,0.001974
tax,city,1.0,0.05,1000.0,MAX,0.005236
tax,city,1.0,0.1,1000.0,MAX,0.006965
tax,city,1.0,0.2,1000.0,MAX,0.005233
tax,city,1.0,0.3,1000.0,MAX,0.003674
tax,city,1.0,0.4,1000.0,MAX,0.005949
tax,city,1.0,0.5,1000.0,MAX,0.003557
tax,city,1.0,0.6,1000.0,MAX,0.002781
tax,city,1.0,0.7,1000.0,MAX,0.001015
tax,city,1.0,0.8,1000.0,MAX,0.001200
tax,city,1.0,0.9,1000.0,MAX,0.002844
tax,city,1.5,0.025,1000.0,MAX,0.007476
tax,city,1.5,0.05,1000.0,MAX,0.002755
tax,city,1.5,0.1,1000.0,MAX,0.003063
tax,city,1.5,0.2,1000.0,MAX,0.001131
tax,city,1.5,0.3,1000.0,MAX,0.010658
tax,city,1.5,0.4,1000.0,MAX,0.005831
tax,city,1.5,0.5,1000.0,MAX,0.006142
tax,city,1.5,0.6,1000.0,MAX,0.004801
tax,city,1.5,0.7,1000.0,MAX,0.004047
tax,city,1.5,0.8,1000.0,MAX,0.001787
tax,city,1.5,0.9,1000.0,MAX,0.003558
tax,city,2.0,0.025,1000.0,MAX,0.001265
tax,city,2.0,0.05,1000.0,MAX,0.003951
tax,city,2.0,0.1,1000.0,MAX,0.003932
tax,city,2.0,0.2,1000.0,MAX,0.006878
tax,city,2.0,0.3,1000.0,MAX,0.003189
tax,city,2.0,0.4,1000.0,MAX,0.002697
tax,city,2.0,0.5,1000.0,MAX,0.003460
tax,city,2.0,0.6,1000.0,MAX,0.001147
tax,city,2.0,0.7,1000.0,MAX,0.005926
tax,city,2.0,0.8,1000.0,MAX,0.005117
tax,city,2.0,0.9,1000.0,MAX,0.008031
tax,city,2.5,0.025,1000.0,MAX,0.003098
tax,city,2.5,0.05,1000.0,MAX,0.003671
tax,city,2.5,0.1,1000.0,MAX,0.001035
tax,city,2.5,0.2,1000.0,MAX,0.006787
tax,city,2.5,0.3,1000.0,MAX,0.002062
tax,city,2.5,0.4,1000.0,MAX,0.001419
tax,city,2.5,0.5,1000.0,MAX,0.001497
tax,city,2.5,0.6,1000.0,MAX,0.004815
tax,city,2.5,0.7,1000.0,MAX,0.007779
tax,city,2.5,0.8,1000.0,MAX,0.001650
tax,city,2.5,0.9,1000.0,MAX,0.003515
tax,city,5.0,0.025,1000.0,MAX,0.003585
tax,city,5.0,0.05,1000.0,MAX,0.006119
tax,city,5.0,0.1,1000.0,MAX,0.001784
tax,city,5.0,0.2,1000.0,MAX,0.004442
tax,city,5.0,0.3,1000.0,MAX,0.005799
tax,city,5.0,0.4,1000.0,MAX,0.010965
tax,city,5.0,0.5,1000.0,MAX,0.001680
tax,city,5.0,0.6,1000.0,MAX,0.003874
tax,city,5.0,0.7,1000.0,MAX,0.008178
tax,city,5.0,0.8,1000.0,MAX,0.004743
tax,city,5.0,0.9,1000.0,MAX,0.005523
tax,city,10.0,0.025,1000.0,MAX,0.001852
tax,city,10.0,0.05,1000.0,MAX,0.006386
tax,city,10.0,0.1,1000.0,MAX,0.006593
tax,city,10.0,0.2,1000.0,MAX,0.003661
tax,city,10.0,0.3,1000.0,MAX,0.002903
tax,city,10.0,0.4,1000.0,MAX,0.007348
tax,city,10.0,0.5,1000.0,MAX,0.003153
tax,city,10.0,0.6,1000.0,MAX,0.003682
tax,city,10.0,0.7,1000.0,MAX,0.007002
tax,city,10.0,0.8,1000.0,MAX,0.007325
tax,city,10.0,0.9,1000.0,MAX,0.006846
