method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delexp,airport,latitude_deg,2.458615779876709,0.00014710426330566406,2.4545607566833496,0.0,0.003907918930053711,1.0,-4.0,0,6,24,9987936,16,1
delexp,airport,latitude_deg,2.459618330001831,0.00017309188842773438,2.452022075653076,0.0,0.0074231624603271484,1.0,-4.0,0,6,24,9987936,16,1
delexp,airport,latitude_deg,2.4423680305480957,0.0001437664031982422,2.4359371662139893,0.0,0.006287097930908203,1.0,-3.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,2.4304263591766357,0.00014019012451171875,2.424340009689331,0.0,0.005946159362792969,1.0,-4.5,0,7,24,9988008,16,1
delexp,airport,latitude_deg,2.4501891136169434,0.00014019012451171875,2.444211959838867,0.0,0.005836963653564453,1.0,-4.5,0,7,24,9988008,16,1
delexp,airport,latitude_deg,2.467862606048584,0.00014090538024902344,2.4600558280944824,0.0,0.007665872573852539,1.0,-4.0,0,6,24,9987936,16,1
delexp,airport,latitude_deg,2.445366144180298,0.0001418590545654297,2.439326286315918,0.0,0.005897998809814453,1.0,-5.5,0,9,24,9988152,16,1
delexp,airport,latitude_deg,2.4760689735412598,0.00013899803161621094,2.4692389965057373,0.0,0.00669097900390625,1.0,-2.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,2.472679615020752,0.00014591217041015625,2.4651877880096436,0.0,0.007345914840698242,0.0,-3.5,24,7,24,9988008,16,1
delexp,airport,latitude_deg,2.4522955417633057,0.00014281272888183594,2.446143865585327,0.0,0.00600886344909668,1.0,-4.0,0,6,24,9987936,16,1
delexp,hospital,ProviderNumber,0.17403721809387207,9.703636169433594e-05,0.1693570613861084,0.0,0.004583120346069336,0.9999999991795151,-3.499999999179515,0,5,13,1046040,13,1
delexp,hospital,ProviderNumber,0.17654633522033691,9.512901306152344e-05,0.17054390907287598,0.0,0.005907297134399414,0.9999999990494735,-3.4999999990494732,0,5,13,1046040,13,1
delexp,hospital,ProviderNumber,0.17792677879333496,8.606910705566406e-05,0.1717057228088379,0.0,0.006134986877441406,0.9999999990481017,-3.499999999048102,0,5,13,1046040,13,1
delexp,hospital,ProviderNumber,0.17650890350341797,8.797645568847656e-05,0.17053699493408203,0.0,0.005883932113647461,0.9999999990481014,-2.9999999990481014,0,4,13,1045968,13,1
delexp,hospital,ProviderNumber,0.1767890453338623,8.392333984375e-05,0.170640230178833,0.0,0.006064891815185547,0.9999999991805892,-2.9999999991805892,0,4,13,1045968,13,1
delexp,hospital,ProviderNumber,0.1758112907409668,8.606910705566406e-05,0.17128205299377441,0.0,0.004443168640136719,0.9999999990478464,-4.499999999047846,0,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.17737913131713867,9.417533874511719e-05,0.17338085174560547,0.0,0.003904104232788086,0.999999999048112,-2.999999999048112,0,4,13,1045968,13,1
delexp,hospital,ProviderNumber,0.17690777778625488,0.00010371208190917969,0.17133426666259766,0.0,0.005469799041748047,0.999999999180799,-1.9999999991807988,0,2,13,1045824,13,1
delexp,hospital,ProviderNumber,0.17514896392822266,9.298324584960938e-05,0.1701209545135498,0.0,0.004935026168823242,0.999999999179532,-2.999999999179532,0,4,13,1045968,13,1
delexp,hospital,ProviderNumber,0.17629790306091309,8.797645568847656e-05,0.17074894905090332,0.0,0.005460977554321289,0.9999999990494458,-3.9999999990494457,0,6,13,1046112,13,1
