method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delexp,airport,latitude_deg,0.6575698852539062,0.0034818649291992188,0.6478099822998047,0.0,0.006278038024902344,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6404142379760742,0.0001590251922607422,0.6356141567230225,0.0,0.004641056060791016,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6390199661254883,0.0001499652862548828,0.6349549293518066,0.0,0.003915071487426758,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6385440826416016,0.00015497207641601562,0.6341421604156494,0.0,0.004246950149536133,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6586928367614746,0.00015807151794433594,0.6546816825866699,0.0,0.0038530826568603516,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6445443630218506,0.00015735626220703125,0.6399669647216797,0.0,0.004420042037963867,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6470301151275635,0.00015807151794433594,0.6429140567779541,0.0,0.003957986831665039,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.651451826095581,0.0001628398895263672,0.6475849151611328,0.0,0.003704071044921875,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.633723258972168,0.00015211105346679688,0.6285130977630615,0.0,0.0050580501556396484,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6389777660369873,0.00014591217041015625,0.6287801265716553,0.0,0.010051727294921875,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6444737911224365,0.0001499652862548828,0.6389200687408447,0.0,0.005403757095336914,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6369030475616455,0.00015592575073242188,0.632317066192627,0.0,0.004430055618286133,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6484286785125732,0.0001583099365234375,0.644052267074585,0.0,0.004218101501464844,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6351830959320068,0.00014901161193847656,0.6309890747070312,0.0,0.004045009613037109,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.75150465965271,0.0001468658447265625,0.7472779750823975,0.0,0.0040798187255859375,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6396698951721191,0.00015211105346679688,0.6343138217926025,0.0,0.005203962326049805,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6337506771087646,0.0001418590545654297,0.6292510032653809,0.0,0.004357814788818359,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6390647888183594,0.00015783309936523438,0.6345269680023193,0.0,0.004379987716674805,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6292574405670166,0.00015115737915039062,0.624885082244873,0.0,0.004221200942993164,1.0,-6.5,0,6,24,9987936,16,1
delexp,airport,latitude_deg,0.6331038475036621,0.00015687942504882812,0.6277198791503906,0.0,0.005227088928222656,0.0,-10.0,24,10,24,9988224,16,1
delexp,airport,latitude_deg,0.6261129379272461,0.00015091896057128906,0.6227810382843018,0.0,0.003180980682373047,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6532337665557861,0.00015211105346679688,0.6490907669067383,0.0,0.003990888595581055,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6465668678283691,0.00015211105346679688,0.6424078941345215,0.0,0.004006862640380859,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6404802799224854,0.00015497207641601562,0.6364281177520752,0.0,0.0038971900939941406,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.633857011795044,0.00014901161193847656,0.6297359466552734,0.0,0.003972053527832031,1.0,-6.5,0,6,24,9987936,16,1
delexp,airport,latitude_deg,0.6461880207061768,0.0001499652862548828,0.6410930156707764,0.0,0.004945039749145508,1.0,-6.5,0,6,24,9987936,16,1
delexp,airport,latitude_deg,0.6391656398773193,0.00014901161193847656,0.6339027881622314,0.0,0.005113840103149414,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6361899375915527,0.0001499652862548828,0.6302120685577393,0.0,0.005827903747558594,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6436607837677002,0.00014781951904296875,0.6370320320129395,0.0,0.0064809322357177734,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6396276950836182,0.0001499652862548828,0.6341009140014648,0.0,0.0053768157958984375,1.0,-1.5,0,1,24,9987576,16,1
delexp,airport,latitude_deg,0.6328458786010742,0.00014781951904296875,0.6264050006866455,0.0,0.006293058395385742,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6422379016876221,0.00015401840209960938,0.6359128952026367,0.0,0.006170988082885742,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6409308910369873,0.0001556873321533203,0.6347372531890869,0.0,0.00603795051574707,1.0,-6.5,0,6,24,9987936,16,1
delexp,airport,latitude_deg,0.6328632831573486,0.00015425682067871094,0.6277549266815186,0.0,0.004954099655151367,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6417512893676758,0.00015306472778320312,0.6355462074279785,0.0,0.0060520172119140625,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6403713226318359,0.00015115737915039062,0.6342971324920654,0.0,0.005923032760620117,1.0,-6.5,0,6,24,9987936,16,1
delexp,airport,latitude_deg,0.637221097946167,0.0001480579376220703,0.6343350410461426,0.0,0.0027379989624023438,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6401679515838623,0.0001461505889892578,0.6337668895721436,0.0,0.006254911422729492,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6415534019470215,0.00015425682067871094,0.6360039710998535,0.0,0.005395174026489258,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6372692584991455,0.00015115737915039062,0.6344051361083984,0.0,0.0027129650115966797,1.0,-8.5,0,8,24,9988080,16,1
delexp,airport,latitude_deg,0.6315245628356934,0.0001571178436279297,0.6257164478302002,0.0,0.005650997161865234,1.0,-6.5,0,6,24,9987936,16,1
delexp,airport,latitude_deg,0.6306958198547363,0.00015807151794433594,0.6251158714294434,0.0,0.005421876907348633,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6330242156982422,0.00015115737915039062,0.6273958683013916,0.0,0.005477190017700195,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6387732028961182,0.00014472007751464844,0.6329562664031982,0.0,0.0056722164154052734,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6310298442840576,0.00015592575073242188,0.6252729892730713,0.0,0.005600929260253906,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6402709484100342,0.00015783309936523438,0.6352419853210449,0.0,0.0048711299896240234,1.0,-4.5,0,4,24,9987792,16,1
delexp,airport,latitude_deg,0.6373889446258545,0.00015473365783691406,0.632493257522583,0.0,0.00474095344543457,1.0,-2.5,0,2,24,9987648,16,1
delexp,airport,latitude_deg,0.6399531364440918,0.0001499652862548828,0.6337442398071289,0.0,0.006058931350708008,1.0,-5.5,0,5,24,9987864,16,1
delexp,airport,latitude_deg,0.6305174827575684,0.00015211105346679688,0.6249711513519287,0.0,0.0053942203521728516,1.0,-3.5,0,3,24,9987720,16,1
delexp,airport,latitude_deg,0.6379854679107666,0.0001468658447265625,0.6318747997283936,0.0,0.005963802337646484,1.0,-3.5,0,3,24,9987720,16,1
