-----airport-----
epsilon,leakage,utility,mask_size
1,1.0,-6.0,10
1,1.0,-6.0,10
1,0.0,-5.0,10
1,0.0,-5.0,10
1,1.0,-6.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
1,1.0,-6.0,10
1,1.0,-1.5,1
1,1.0,-2.0,2
1,1.0,-6.0,10
1,1.0,-5.5,9
-----ncvoter-----
epsilon,leakage,utility,mask_size
1,1.0,-5.5,9
1,1.0,-6.0,10
1,1.0,-3.0,4
1,1.0,-2.0,2
1,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
1,0.96,-4.46,7
1,0.96,-4.46,7
1,0.96,-3.96,6
1,0.96,-3.46,5
1,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
1,1.0,-1.0,0
1,1.0,-3.0,4
1,1.0,-2.0,2
1,1.0,-2.0,2
1,1.0,-1.5,1
-----airport-----
epsilon,leakage,utility,mask_size
2,1.0,-6.0,10
2,1.0,-6.0,10
2,1.0,-5.0,8
2,0.0,-5.0,10
2,1.0,-4.5,7
-----hospital-----
epsilon,leakage,utility,mask_size
2,1.0,-5.5,9
2,1.0,-6.0,10
2,1.0,-6.0,10
2,1.0,-4.0,6
2,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
2,1.0,-5.5,9
2,1.0,-6.0,10
2,1.0,-2.5,3
2,1.0,-6.0,10
2,1.0,-5.5,9
-----Onlineretail-----
epsilon,leakage,utility,mask_size
2,0.96,-4.46,7
2,0.99999997952,-1.49999997952,1
2,0.96,-4.46,7
2,0.99999997952,-0.99999997952,0
2,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
2,1.0,-2.5,3
2,1.0,-3.0,4
2,1.0,-2.5,3
2,1.0,-1.0,0
2,1.0,-2.5,3
-----airport-----
epsilon,leakage,utility,mask_size
3,0.0,-5.0,10
3,1.0,-6.0,10
3,1.0,-6.0,10
3,1.0,-6.0,10
3,1.0,-6.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
3,1.0,-5.0,8
3,1.0,-4.5,7
3,1.0,-5.5,9
3,1.0,-4.5,7
3,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
3,1.0,-6.0,10
3,1.0,-6.0,10
3,1.0,-6.0,10
3,1.0,-6.0,10
3,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
3,0.96,-4.46,7
3,0.96,-2.96,4
3,0.96,-4.46,7
3,0.99999997952,-0.99999997952,0
3,0.96,-4.46,7
-----adult-----
epsilon,leakage,utility,mask_size
3,1.0,-3.5,5
3,1.0,-3.0,4
3,1.0,-2.0,2
3,1.0,-3.0,4
3,1.0,-3.0,4
-----airport-----
epsilon,leakage,utility,mask_size
4,1.0,-5.0,8
4,1.0,-6.0,10
4,0.0,-5.0,10
4,1.0,-5.0,8
4,1.0,-6.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
4,1.0,-6.0,10
4,1.0,-6.0,10
4,1.0,-5.5,9
4,1.0,-4.0,6
4,1.0,-5.5,9
-----ncvoter-----
epsilon,leakage,utility,mask_size
4,1.0,-1.0,0
4,1.0,-6.0,10
4,1.0,-2.5,3
4,1.0,-6.0,10
4,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
4,0.96,-3.46,5
4,0.96,-3.96,6
4,0.96,-4.46,7
4,0.96,-4.46,7
4,0.96,-2.96,4
-----adult-----
epsilon,leakage,utility,mask_size
4,1.0,-1.5,1
4,1.0,-2.0,2
4,1.0,-3.5,5
4,1.0,-3.5,5
4,1.0,-3.0,4
-----airport-----
epsilon,leakage,utility,mask_size
5,1.0,-5.0,8
5,0.0,-5.0,10
5,0.0,-5.0,10
5,0.0,-5.0,10
5,1.0,-6.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
5,1.0,-6.0,10
5,1.0,-6.0,10
5,1.0,-5.5,9
5,1.0,-5.5,9
5,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
5,1.0,-6.0,10
5,1.0,-6.0,10
5,1.0,-4.5,7
5,1.0,-6.0,10
5,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
5,0.99999997952,-1.49999997952,1
5,0.96,-3.96,6
5,0.96,-4.46,7
5,0.96,-3.96,6
5,0.96,-4.46,7
-----adult-----
epsilon,leakage,utility,mask_size
5,1.0,-3.5,5
5,1.0,-3.0,4
5,1.0,-3.5,5
5,1.0,-3.0,4
5,1.0,-3.0,4
-----airport-----
epsilon,leakage,utility,mask_size
6,1.0,-6.0,10
6,1.0,-6.0,10
6,1.0,-6.0,10
6,0.95,-5.95,10
6,1.0,-5.0,8
-----hospital-----
epsilon,leakage,utility,mask_size
6,1.0,-6.0,10
6,1.0,-6.0,10
6,1.0,-6.0,10
6,1.0,-4.0,6
6,1.0,-4.5,7
-----ncvoter-----
epsilon,leakage,utility,mask_size
6,1.0,-4.5,7
6,1.0,-6.0,10
6,1.0,-6.0,10
6,1.0,-3.0,4
6,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
6,0.96,-3.96,6
6,0.99999997952,-1.49999997952,1
6,0.999936,-2.499936,3
6,0.99999997952,-1.49999997952,1
6,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
6,1.0,-2.0,2
6,1.0,-2.0,2
6,1.0,-2.0,2
6,1.0,-1.0,0
6,1.0,-1.5,1
-----airport-----
epsilon,leakage,utility,mask_size
7,0.0,-5.0,10
7,1.0,-4.0,6
7,0.0,-5.0,10
7,1.0,-6.0,10
7,1.0,-6.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
7,1.0,-5.5,9
7,1.0,-5.5,9
7,1.0,-5.5,9
7,1.0,-3.5,5
7,1.0,-2.0,2
-----ncvoter-----
epsilon,leakage,utility,mask_size
7,1.0,-2.0,2
7,1.0,-5.5,9
7,1.0,-6.0,10
7,1.0,-4.0,6
7,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
7,0.96,-4.46,7
7,0.96,-3.96,6
7,0.96,-2.96,4
7,0.96,-4.46,7
7,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
7,1.0,-3.5,5
7,1.0,-2.0,2
7,1.0,-3.0,4
7,1.0,-3.5,5
7,1.0,-2.5,3
-----airport-----
epsilon,leakage,utility,mask_size
8,1.0,-6.0,10
8,1.0,-1.5,1
8,1.0,-5.0,8
8,0.0,-5.0,10
8,0.0,-5.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
8,1.0,-2.5,3
8,1.0,-6.0,10
8,1.0,-5.0,8
8,1.0,-2.5,3
8,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
8,1.0,-6.0,10
8,1.0,-5.5,9
8,1.0,-5.0,8
8,1.0,-6.0,10
8,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
8,0.96,-4.46,7
8,0.99999997952,-0.99999997952,0
8,0.96,-3.46,5
8,0.96,-2.96,4
8,0.999936,-2.499936,3
-----adult-----
epsilon,leakage,utility,mask_size
8,1.0,-3.5,5
8,1.0,-3.0,4
8,1.0,-3.5,5
8,1.0,-2.0,2
8,1.0,-3.0,4
-----airport-----
epsilon,leakage,utility,mask_size
9,0.0,-4.0,8
9,1.0,-3.5,5
9,1.0,-4.0,6
9,0.0,-5.0,10
9,1.0,-3.0,4
-----hospital-----
epsilon,leakage,utility,mask_size
9,1.0,-2.5,3
9,1.0,-6.0,10
9,1.0,-5.5,9
9,1.0,-6.0,10
9,1.0,-4.0,6
-----ncvoter-----
epsilon,leakage,utility,mask_size
9,1.0,-6.0,10
9,1.0,-6.0,10
9,1.0,-6.0,10
9,1.0,-1.0,0
9,1.0,-4.0,6
-----Onlineretail-----
epsilon,leakage,utility,mask_size
9,0.96,-3.96,6
9,0.9984,-1.9984,2
9,0.992,-3.492,5
9,0.96,-3.96,6
9,0.9984,-2.4984,3
-----adult-----
epsilon,leakage,utility,mask_size
9,1.0,-3.0,4
9,1.0,-3.0,4
9,1.0,-3.5,5
9,1.0,-1.5,1
9,1.0,-2.5,3
-----airport-----
epsilon,leakage,utility,mask_size
10,1.0,-6.0,10
10,0.0,-5.0,10
10,0.9999994047619047,-5.999999404761905,10
10,0.0,-5.0,10
10,0.0,-5.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
10,1.0,-3.5,5
10,1.0,-1.0,0
10,1.0,-5.0,8
10,1.0,-5.0,8
10,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
10,1.0,-6.0,10
10,1.0,-6.0,10
10,1.0,-6.0,10
10,1.0,-6.0,10
10,1.0,-3.5,5
-----Onlineretail-----
epsilon,leakage,utility,mask_size
10,0.96,-4.46,7
10,0.96,-4.46,7
10,0.96,-2.96,4
10,0.9984,-2.9984,4
10,0.992,-2.492,3
-----adult-----
epsilon,leakage,utility,mask_size
10,1.0,-3.5,5
10,1.0,-3.5,5
10,1.0,-2.5,3
10,1.0,-3.0,4
10,1.0,-2.5,3
-----airport-----
epsilon,leakage,utility,mask_size
11,1.0,-6.0,10
11,0.95,-5.95,10
11,1.0,-6.0,10
11,1.0,-6.0,10
11,1.0,-3.0,4
-----hospital-----
epsilon,leakage,utility,mask_size
11,1.0,-4.5,7
11,1.0,-4.0,6
11,1.0,-4.5,7
11,1.0,-5.5,9
11,1.0,-4.5,7
-----ncvoter-----
epsilon,leakage,utility,mask_size
11,1.0,-6.0,10
11,1.0,-6.0,10
11,1.0,-6.0,10
11,1.0,-6.0,10
11,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
11,0.96,-4.46,7
11,0.96,-3.96,6
11,0.96,-3.96,6
11,0.99968,-2.49968,3
11,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
11,1.0,-2.5,3
11,1.0,-2.0,2
11,1.0,-3.0,4
11,1.0,-3.5,5
11,1.0,-3.5,5
-----airport-----
epsilon,leakage,utility,mask_size
12,0.0,-5.0,10
12,1.0,-4.5,7
12,1.0,-6.0,10
12,1.0,-5.5,9
12,1.0,-2.5,3
-----hospital-----
epsilon,leakage,utility,mask_size
12,1.0,-4.5,7
12,1.0,-5.5,9
12,1.0,-5.5,9
12,1.0,-5.5,9
12,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
12,1.0,-3.5,5
12,1.0,-6.0,10
12,1.0,-5.0,8
12,1.0,-6.0,10
12,1.0,-4.0,6
-----Onlineretail-----
epsilon,leakage,utility,mask_size
12,0.96,-2.96,4
12,0.9984,-2.9984,4
12,0.96,-3.96,6
12,0.96,-3.96,6
12,0.9984,-2.9984,4
-----adult-----
epsilon,leakage,utility,mask_size
12,1.0,-3.0,4
12,1.0,-3.5,5
12,1.0,-1.0,0
12,1.0,-2.5,3
12,1.0,-3.5,5
-----airport-----
epsilon,leakage,utility,mask_size
13,1.0,-1.0,0
13,0.9047619047619048,-5.904761904761905,10
13,0.9047619047619048,-5.904761904761905,10
13,1.0,-5.5,9
13,0.8823529411764706,-5.882352941176471,10
-----hospital-----
epsilon,leakage,utility,mask_size
13,1.0,-3.5,5
13,1.0,-4.5,7
13,1.0,-5.0,8
13,1.0,-6.0,10
13,1.0,-4.5,7
-----ncvoter-----
epsilon,leakage,utility,mask_size
13,1.0,-6.0,10
13,1.0,-6.0,10
13,1.0,-5.5,9
13,1.0,-6.0,10
13,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
13,0.96,-3.96,6
13,0.99999997952,-1.49999997952,1
13,0.96,-3.46,5
13,0.96,-4.46,7
13,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
13,1.0,-2.5,3
13,1.0,-3.0,4
13,1.0,-3.5,5
13,1.0,-2.5,3
13,1.0,-3.5,5
-----airport-----
epsilon,leakage,utility,mask_size
14,1.0,-1.5,1
14,1.0,-3.0,4
14,1.0,-6.0,10
14,1.0,-1.0,0
14,0.0,-5.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
14,1.0,-5.5,9
14,1.0,-3.0,4
14,1.0,-5.0,8
14,1.0,-6.0,10
14,1.0,-4.5,7
-----ncvoter-----
epsilon,leakage,utility,mask_size
14,1.0,-6.0,10
14,1.0,-2.0,2
14,1.0,-6.0,10
14,1.0,-6.0,10
14,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
14,0.96,-3.96,6
14,0.96,-3.96,6
14,0.96,-3.46,5
14,0.96,-3.96,6
14,0.96,-3.46,5
-----adult-----
epsilon,leakage,utility,mask_size
14,1.0,-3.5,5
14,1.0,-2.0,2
14,1.0,-3.0,4
14,1.0,-3.0,4
14,1.0,-3.0,4
-----airport-----
epsilon,leakage,utility,mask_size
15,0.0,-5.0,10
15,1.0,-6.0,10
15,0.0,-5.0,10
15,1.0,-4.5,7
15,1.0,-4.5,7
-----hospital-----
epsilon,leakage,utility,mask_size
15,1.0,-5.0,8
15,1.0,-5.5,9
15,1.0,-5.0,8
15,1.0,-6.0,10
15,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
15,1.0,-5.0,8
15,1.0,-5.5,9
15,1.0,-6.0,10
15,1.0,-6.0,10
15,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
15,0.96,-4.46,7
15,0.992,-3.492,5
15,0.99968,-2.49968,3
15,0.96,-2.96,4
15,0.96,-2.96,4
-----adult-----
epsilon,leakage,utility,mask_size
15,1.0,-2.5,3
15,1.0,-2.5,3
15,1.0,-3.5,5
15,1.0,-3.0,4
15,1.0,-2.0,2
-----airport-----
epsilon,leakage,utility,mask_size
16,0.0,-5.0,10
16,1.0,-3.5,5
16,1.0,-6.0,10
16,1.0,-3.0,4
16,0.0,-5.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
16,1.0,-6.0,10
16,1.0,-4.0,6
16,1.0,-5.5,9
16,1.0,-3.5,5
16,1.0,-6.0,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
16,1.0,-4.5,7
16,1.0,-5.5,9
16,1.0,-6.0,10
16,1.0,-3.0,4
16,1.0,-6.0,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
16,0.96,-4.46,7
16,0.96,-4.46,7
16,0.9999998976,-1.9999998976,2
16,0.96,-3.96,6
16,0.999936,-2.499936,3
-----adult-----
epsilon,leakage,utility,mask_size
16,1.0,-1.5,1
16,1.0,-2.0,2
16,1.0,-1.5,1
16,1.0,-1.5,1
16,1.0,-2.0,2
-----airport-----
epsilon,leakage,utility,mask_size
17,1.0,-4.0,6
17,1.0,-6.0,10
17,0.0,-5.0,10
17,1.0,-6.0,10
17,1.0,-5.0,8
-----hospital-----
epsilon,leakage,utility,mask_size
17,1.0,-6.0,10
17,1.0,-6.0,10
17,1.0,-6.0,10
17,1.0,-6.0,10
17,1.0,-5.5,9
-----ncvoter-----
epsilon,leakage,utility,mask_size
17,1.0,-6.0,10
17,1.0,-6.0,10
17,1.0,-4.0,6
17,1.0,-6.0,10
17,1.0,-2.0,2
-----Onlineretail-----
epsilon,leakage,utility,mask_size
17,0.96,-3.96,6
17,0.96,-4.46,7
17,0.9999998976,-1.9999998976,2
17,0.96,-3.96,6
17,0.992,-2.492,3
-----adult-----
epsilon,leakage,utility,mask_size
17,1.0,-1.5,1
17,1.0,-1.0,0
17,1.0,-2.0,2
17,1.0,-3.5,5
17,1.0,-1.5,1
-----airport-----
epsilon,leakage,utility,mask_size
18,1.0,-5.0,8
18,0.0,-5.0,10
18,1.0,-5.5,9
18,1.0,-6.0,10
18,1.0,-3.0,4
-----hospital-----
epsilon,leakage,utility,mask_size
18,1.0,-6.0,10
18,1.0,-5.5,9
18,1.0,-4.5,7
18,1.0,-6.0,10
18,1.0,-4.0,6
-----ncvoter-----
epsilon,leakage,utility,mask_size
