-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes
latitude_deg,0.03286099433898926,0.0005321502685546875,0.03232884407043457,0.0,1.0,-6.0,10,24,21832
latitude_deg,0.03166484832763672,9.703636169433594e-05,0.03156781196594238,0.0,0.0,-5.0,10,24,21832
latitude_deg,0.03064131736755371,9.918212890625e-05,0.03054213523864746,0.0,0.0,-5.0,10,24,21832
latitude_deg,0.032027244567871094,9.918212890625e-05,0.031928062438964844,0.0,0.0,-5.0,10,24,21832
latitude_deg,0.031037092208862305,9.703636169433594e-05,0.03094005584716797,0.0,1.0,-6.0,10,24,21832
latitude_deg,0.032282114028930664,9.107589721679688e-05,0.03219103813171387,0.0,0.0,-5.0,10,24,21832
latitude_deg,0.03194093704223633,9.584426879882812e-05,0.0318450927734375,0.0,0.0,-5.0,10,24,21832
latitude_deg,0.030846595764160156,9.989738464355469e-05,0.0307466983795166,0.0,1.0,-6.0,10,24,21832
latitude_deg,0.03068709373474121,8.988380432128906e-05,0.030597209930419922,0.0,0.0,-5.0,10,24,21832
latitude_deg,0.0321502685546875,9.417533874511719e-05,0.03205609321594238,0.0,1.0,-6.0,10,24,21832
-----hospital-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes
ProviderNumber,0.015813112258911133,0.0006480216979980469,0.015165090560913086,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.01430964469909668,7.390975952148438e-05,0.014235734939575195,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.014146089553833008,7.510185241699219e-05,0.014070987701416016,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.014599084854125977,6.699562072753906e-05,0.014532089233398438,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.01450967788696289,7.081031799316406e-05,0.014438867568969727,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.014947175979614258,7.200241088867188e-05,0.014875173568725586,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.013808012008666992,7.295608520507812e-05,0.013735055923461914,0.0,1.0,-5.0,8,13,15716
ProviderNumber,0.014389753341674805,6.4849853515625e-05,0.01432490348815918,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.014677762985229492,5.984306335449219e-05,0.014617919921875,0.0,1.0,-6.0,10,13,15716
ProviderNumber,0.01468205451965332,6.604194641113281e-05,0.014616012573242188,0.0,1.0,-6.0,10,13,15716
-----ncvoter-----
